#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31480at6656_39758_0:00101b|TRINITY_DN79780_c7_g2_i2:5-642|-        -            130 31480at6656          -            350   1.3e-21   74.0   2.2   1   1     3e-23   3.4e-21   72.6   2.2   220   313     1   130     1   130 0.74 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i1:226-1794|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   1   3      0.01       1.2    5.1   0.1     1    32    82   117    82   121 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i1:226-1794|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   2   3   1.5e-17   1.7e-15   53.8   0.0    28   107   132   219   127   238 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i1:226-1794|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   3   3     0.033       3.7    3.4   0.0   242   301   436   505   430   516 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i2:226-1794|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   1   3      0.01       1.2    5.1   0.1     1    32    82   117    82   121 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i2:226-1794|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   2   3   1.5e-17   1.7e-15   53.8   0.0    28   107   132   219   127   238 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i2:226-1794|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   3   3     0.033       3.7    3.4   0.0   242   301   436   505   430   516 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i5:213-1781|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   1   3      0.01       1.2    5.1   0.1     1    32    82   117    82   121 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i5:213-1781|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   2   3   1.5e-17   1.7e-15   53.8   0.0    28   107   132   219   127   238 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i5:213-1781|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   3   3     0.033       3.7    3.4   0.0   242   301   436   505   430   516 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i6:213-1781|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   1   3      0.01       1.2    5.1   0.1     1    32    82   117    82   121 0.86 -
