#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+        -            106 83303at6656          -            284   2.4e-62  207.7   1.5   1   1   1.4e-63   2.8e-62  207.5   1.5    27   126     5   106     2   106 0.97 -
83303at6656_121845_0:000632|TRINITY_DN91732_c5_g4_i1:75-347|+     -             91 83303at6656          -            284   7.2e-27   91.3   0.5   1   1   4.9e-28     1e-26   90.8   0.5     2    69    12    91    11    91 0.86 -
83303at6656_218467_0:0012e6|TRINITY_DN92254_c0_g4_i1:101-712|+    -            204 83303at6656          -            284   5.8e-16   55.5   8.9   1   2   8.3e-09   1.7e-07   27.7   1.9    35   101     2    70     1    77 0.88 -
83303at6656_218467_0:0012e6|TRINITY_DN92254_c0_g4_i1:101-712|+    -            204 83303at6656          -            284   5.8e-16   55.5   8.9   2   2   2.2e-09   4.6e-08   29.6   1.1    22   133    78   189    71   204 0.81 -
83303at6656_41427_0:000fb4|TRINITY_DN86682_c13_g1_i1:712-1515|-   -            268 83303at6656          -            284     4e-13   46.2   7.4   1   3    0.0031     0.065    9.4   0.0    35    69    19    53    13    55 0.74 -
83303at6656_41427_0:000fb4|TRINITY_DN86682_c13_g1_i1:712-1515|-   -            268 83303at6656          -            284     4e-13   46.2   7.4   2   3   3.6e-06   7.6e-05   19.0   0.1    27   106    52   129    47   134 0.84 -
83303at6656_41427_0:000fb4|TRINITY_DN86682_c13_g1_i1:712-1515|-   -            268 83303at6656          -            284     4e-13   46.2   7.4   3   3   6.8e-07   1.4e-05   21.4   0.5    27   151   135   264   130   268 0.82 -
83303at6656_41427_0:000fb4|TRINITY_DN86682_c13_g1_i5:712-1515|-   -            268 83303at6656          -            284     4e-13   46.2   7.4   1   3    0.0031     0.065    9.4   0.0    35    69    19    53    13    55 0.74 -
83303at6656_41427_0:000fb4|TRINITY_DN86682_c13_g1_i5:712-1515|-   -            268 83303at6656          -            284     4e-13   46.2   7.4   2   3   3.6e-06   7.6e-05   19.0   0.1    27   106    52   129    47   134 0.84 -
83303at6656_41427_0:000fb4|TRINITY_DN86682_c13_g1_i5:712-1515|-   -            268 83303at6656          -            284     4e-13   46.2   7.4   3   3   6.8e-07   1.4e-05   21.4   0.5    27   151   135   264   130   268 0.82 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-   -            194 83303at6656          -            284   1.9e-11   40.6   2.5   1   2    0.0059      0.12    8.5   0.0    36    69     1    34     1    36 0.74 -
