#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69403at6656_294128_0:002eec|TRINITY_DN76693_c10_g2_i5:360-1037|- -            226 69403at6656          -            315   2.6e-85  283.2   0.4   1   1   5.8e-87     5e-85  282.2   0.4   120   314     1   222     1   223 0.89 -
69403at6656_6945_0:001315|TRINITY_DN76693_c10_g2_i3:360-989|-    -            210 69403at6656          -            315   3.5e-77  256.5   0.1   1   1   8.3e-79   7.1e-77  255.5   0.1   136   314     1   206     1   207 0.89 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315   2.3e-56  188.1   4.9   1   3   1.3e-40   1.1e-38  130.0   1.0     2    79    12    89    11    95 0.97 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315   2.3e-56  188.1   4.9   2   3   1.1e-16   9.5e-15   51.4   0.0    78   118   126   166    98   177 0.86 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315   2.3e-56  188.1   4.9   3   3    0.0029      0.25    7.3   0.0   116   134   221   239   210   239 0.82 -
69403at6656_79782_0:002942|TRINITY_DN79443_c10_g3_i1:458-1666|-  -            403 69403at6656          -            315   8.7e-47  156.6   0.3   1   2   5.3e-10   4.5e-08   29.4   0.0    11    79     6    73     1    96 0.88 -
69403at6656_79782_0:002942|TRINITY_DN79443_c10_g3_i1:458-1666|-  -            403 69403at6656          -            315   8.7e-47  156.6   0.3   2   2   4.1e-39   3.5e-37  125.0   0.1   151   313   227   402   168   403 0.83 -
69403at6656_79782_0:002942|TRINITY_DN78694_c6_g1_i8:302-1624|+   -            441 69403at6656          -            315   3.2e-45  151.5   0.0   1   3   2.6e-06   0.00022   17.3   0.0     9    64     4    59     1    73 0.87 -
69403at6656_79782_0:002942|TRINITY_DN78694_c6_g1_i8:302-1624|+   -            441 69403at6656          -            315   3.2e-45  151.5   0.0   2   3      0.14        12    1.8   0.0    80   102   147   169   141   215 0.81 -
69403at6656_79782_0:002942|TRINITY_DN78694_c6_g1_i8:302-1624|+   -            441 69403at6656          -            315   3.2e-45  151.5   0.0   3   3   3.1e-40   2.7e-38  128.7   0.0   120   315   218   441   212   441 0.79 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315   7.5e-45  150.2   0.0   1   3   4.8e-11   4.1e-09   32.8   0.0     7    70     2    66     1    84 0.88 -
