#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
91468at6656_1049336_0:001070|TRINITY_DN81005_c8_g3_i2:2-367|+    -            122 91468at6656          -            286   3.3e-50  167.6   9.3   1   1   1.1e-51   6.8e-50  166.6   9.3    29   129    17   121     1   122 0.87 -
91468at6656_7004_0:003a40|TRINITY_DN87796_c12_g1_i1:69-542|+     -            158 91468at6656          -            286     1e-36  123.3   0.0   1   1   2.1e-38   1.3e-36  123.0   0.0   151   283    17   149    14   151 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i1:771-1298|+    -            176 91468at6656          -            286   2.3e-32  109.0   5.9   1   1   4.8e-34   2.9e-32  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i4:830-1357|+    -            176 91468at6656          -            286   2.3e-32  109.0   5.9   1   1   4.8e-34   2.9e-32  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i7:656-1183|+    -            176 91468at6656          -            286   2.3e-32  109.0   5.9   1   1   4.8e-34   2.9e-32  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i8:585-1112|+    -            176 91468at6656          -            286   2.3e-32  109.0   5.9   1   1   4.8e-34   2.9e-32  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_62324_0:002a6a|TRINITY_DN92645_c5_g1_i3:656-1270|+   -            205 91468at6656          -            286   4.4e-32  108.1   6.8   1   1   9.4e-34   5.7e-32  107.7   6.8    97   281     3   172     1   176 0.86 -
77987at6656_62324_0:002a6a|TRINITY_DN92645_c5_g1_i6:279-893|+    -            205 91468at6656          -            286   4.4e-32  108.1   6.8   1   1   9.4e-34   5.7e-32  107.7   6.8    97   281     3   172     1   176 0.86 -
91468at6656_1049336_0:00106f|TRINITY_DN87796_c12_g1_i6:239-493|+ -             85 91468at6656          -            286   3.9e-31  105.0   0.0   1   1   6.9e-33   4.2e-31  104.9   0.0   199   281     1    85     1    85 0.97 -
77987at6656_7536_0:00482b|TRINITY_DN73426_c15_g1_i1:196-747|-    -            184 91468at6656          -            286   2.7e-30  102.2   3.6   1   1     5e-32     3e-30  102.1   3.6    97   229    50   178    16   184 0.74 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i5:585-1037|+    -            151 91468at6656          -            286   8.1e-30  100.7   8.1   1   1   1.6e-31   9.7e-30  100.4   8.1    97   224     3   120     1   150 0.87 -
77987at6656_91411_0:0000b2|TRINITY_DN90811_c11_g1_i3:1048-1653|- -            202 91468at6656          -            286   9.8e-26   87.3  11.4   1   1   1.9e-27   1.2e-25   87.0  11.4    97   249     3   145     1   155 0.86 -
77987at6656_91411_0:0000b2|TRINITY_DN90811_c11_g1_i6:1048-1653|- -            202 91468at6656          -            286   9.8e-26   87.3  11.4   1   1   1.9e-27   1.2e-25   87.0  11.4    97   249     3   145     1   155 0.86 -
77987at6656_126957_0:002aaf|TRINITY_DN86807_c11_g1_i2:810-1295|+ -            162 91468at6656          -            286   3.1e-25   85.6   5.6   1   1   6.4e-27   3.9e-25   85.3   5.6    43   158    26   151    14   161 0.74 -
77987at6656_126957_0:002aaf|TRINITY_DN86807_c11_g1_i4:810-1295|+ -            162 91468at6656          -            286   3.1e-25   85.6   5.6   1   1   6.4e-27   3.9e-25   85.3   5.6    43   158    26   151    14   161 0.74 -
77987at6656_113334_0:0037ad|TRINITY_DN81902_c9_g1_i2:1744-2112|- -            123 91468at6656          -            286   7.9e-25   84.3   9.6   1   1   2.6e-26   1.6e-24   83.3   9.6    94   154    56   116     6   121 0.91 -
77987at6656_37001_0:002320|TRINITY_DN82036_c4_g2_i2:502-963|+    -            154 91468at6656          -            286     1e-23   80.6  11.3   1   1   2.2e-25   1.4e-23   80.2  11.3    98   230     3   142     1   152 0.81 -
77987at6656_37001_0:002320|TRINITY_DN82036_c4_g2_i3:1269-1730|+  -            154 91468at6656          -            286     1e-23   80.6  11.3   1   1   2.2e-25   1.4e-23   80.2  11.3    98   230     3   142     1   152 0.81 -
77987at6656_6832_0:002284|TRINITY_DN81294_c8_g2_i3:1149-1847|+   -            233 91468at6656          -            286   3.9e-22   75.5  10.8   1   1     1e-23   6.3e-22   74.8  10.8    97   259    57   220    52   229 0.73 -
77987at6656_6832_0:002284|TRINITY_DN81294_c8_g2_i4:1354-2052|+   -            233 91468at6656          -            286   3.9e-22   75.5  10.8   1   1     1e-23   6.3e-22   74.8  10.8    97   259    57   220    52   229 0.73 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i3:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   1   2       3.9   2.4e+02   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i3:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   2   2   3.2e-22   1.9e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i4:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   1   2       3.9   2.4e+02   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i4:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   2   2   3.2e-22   1.9e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i5:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   1   2       3.9   2.4e+02   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i5:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   2   2   3.2e-22   1.9e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i7:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   1   2       3.9   2.4e+02   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i7:106-543|+   -            146 91468at6656          -            286   1.9e-20   69.9  16.1   2   2   3.2e-22   1.9e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
