#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80693at6656_13249_0:00256d|TRINITY_DN91554_c9_g11_i1:1518-2240|-  -            241 80693at6656          -            259     1e-49  166.2   0.0   1   1   2.9e-51   1.3e-49  165.8   0.0   164   259    74   174    66   174 0.94 -
80693at6656_38123_0:000727|TRINITY_DN63131_c0_g2_i1:528-914|-     -            129 80693at6656          -            259   1.4e-34  116.5   1.2   1   2   0.00019    0.0085   12.4   0.2    47    63     1    17     1    28 0.87 -
80693at6656_38123_0:000727|TRINITY_DN63131_c0_g2_i1:528-914|-     -            129 80693at6656          -            259   1.4e-34  116.5   1.2   2   2   3.1e-32   1.4e-30  103.4   0.0    57   137    38   128    30   129 0.91 -
80693at6656_1218281_0:0015f5|TRINITY_DN78099_c7_g1_i1:86-388|-    -            101 80693at6656          -            259   1.6e-16   57.3   0.0   1   1   3.7e-18   1.7e-16   57.3   0.0   163   252     4    92     1    98 0.93 -
80693at6656_1218281_0:0015f5|TRINITY_DN78099_c7_g1_i5:86-388|-    -            101 80693at6656          -            259   1.6e-16   57.3   0.0   1   1   3.7e-18   1.7e-16   57.3   0.0   163   252     4    92     1    98 0.93 -
80693at6656_88015_0:002e10|TRINITY_DN81655_c9_g1_i5:210-851|+     -            214 80693at6656          -            259   1.3e-13   47.8   0.0   1   2    0.0028      0.13    8.5   0.0   164   212    21    72    18   110 0.86 -
80693at6656_88015_0:002e10|TRINITY_DN81655_c9_g1_i5:210-851|+     -            214 80693at6656          -            259   1.3e-13   47.8   0.0   2   2   3.5e-12   1.6e-10   37.7   0.0   161   242   124   209   110   214 0.87 -
80693at6656_88015_0:002e10|TRINITY_DN81655_c9_g1_i7:210-851|+     -            214 80693at6656          -            259   1.3e-13   47.8   0.0   1   2    0.0028      0.13    8.5   0.0   164   212    21    72    18   110 0.86 -
80693at6656_88015_0:002e10|TRINITY_DN81655_c9_g1_i7:210-851|+     -            214 80693at6656          -            259   1.3e-13   47.8   0.0   2   2   3.5e-12   1.6e-10   37.7   0.0   161   242   124   209   110   214 0.87 -
80693at6656_197043_0:001eae|TRINITY_DN81655_c9_g1_i10:434-694|+   -             87 80693at6656          -            259   1.1e-10   38.2   0.0   1   1   2.6e-12   1.2e-10   38.1   0.0   165   242     1    82     1    87 0.89 -
80693at6656_197043_0:001eae|TRINITY_DN81655_c9_g1_i6:434-694|+    -             87 80693at6656          -            259   1.1e-10   38.2   0.0   1   1   2.6e-12   1.2e-10   38.1   0.0   165   242     1    82     1    87 0.89 -
