#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54527at6656_294128_0:002acd|TRINITY_DN76475_c5_g3_i1:49-930|-    -            294 54527at6656          -            350  6.7e-117  387.2   0.0   1   1    9e-118  2.7e-116  385.2   0.0   110   350     1   292     1   292 0.87 -
54527at6656_13249_0:002cd0|TRINITY_DN76475_c5_g1_i2:104-496|+    -            131 54527at6656          -            350     4e-74  246.5   0.1   1   1   1.5e-75   4.5e-74  246.4   0.1     1   117     5   131     5   131 0.95 -
54527at6656_88015_0:001816|TRINITY_DN86583_c11_g1_i1:109-1173|+  -            355 54527at6656          -            350   7.3e-62  206.2   0.0   1   1     3e-63   9.1e-62  205.9   0.0     5   330     1   335     1   348 0.86 -
54527at6656_88015_0:001816|TRINITY_DN86583_c11_g1_i3:109-1173|+  -            355 54527at6656          -            350   7.3e-62  206.2   0.0   1   1     3e-63   9.1e-62  205.9   0.0     5   330     1   335     1   348 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN89898_c8_g1_i3:2618-3736|-  -            373 54527at6656          -            350   3.4e-57  190.9   0.0   1   1   1.3e-58     4e-57  190.6   0.0     4   301     1   319     1   359 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN89898_c8_g1_i1:2618-3953|-  -            370 54527at6656          -            350   8.5e-56  186.3   0.0   1   1   3.4e-57     1e-55  186.0   0.0     4   301     1   316     1   356 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN89898_c8_g1_i2:2618-3739|-  -            374 54527at6656          -            350   1.3e-54  182.3   0.0   1   1   5.2e-56   1.6e-54  182.1   0.0    10   301     8   320     1   360 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN89898_c8_g1_i4:2618-3956|-  -            371 54527at6656          -            350   3.4e-53  177.7   0.0   1   1   1.3e-54     4e-53  177.5   0.0    10   301     8   317     1   357 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i14:5-829|-     -            275 54527at6656          -            350   1.2e-52  175.9   0.0   1   1   4.7e-54   1.4e-52  175.7   0.0    67   329     1   272     1   275 0.89 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i12:5-829|-     -            275 54527at6656          -            350     2e-52  175.2   0.0   1   1   7.9e-54   2.4e-52  174.9   0.0    67   329     1   272     1   275 0.89 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i13:5-829|-     -            275 54527at6656          -            350     2e-52  175.2   0.0   1   1   8.2e-54   2.5e-52  174.9   0.0    67   329     1   272     1   275 0.89 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i17:5-829|-     -            275 54527at6656          -            350   3.3e-52  174.4   0.0   1   1   1.3e-53     4e-52  174.2   0.0    67   329     1   272     1   275 0.89 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i18:5-829|-     -            275 54527at6656          -            350   3.4e-52  174.4   0.0   1   1   1.4e-53   4.1e-52  174.2   0.0    67   329     1   272     1   275 0.89 -
54527at6656_34638_0:00160a|TRINITY_DN86583_c11_g1_i2:106-1000|+  -            295 54527at6656          -            350   3.9e-51  170.9   0.0   1   1   1.5e-52   4.5e-51  170.7   0.0     4   287     1   295     1   295 0.86 -
54527at6656_6973_0:00155a|TRINITY_DN76475_c5_g3_i2:2-316|-       -            105 54527at6656          -            350   3.3e-50  167.9   0.0   1   1   1.3e-51   3.9e-50  167.6   0.0   116   210     1   101     1   104 0.95 -
54527at6656_1507135_0:000cd7|TRINITY_DN83555_c2_g1_i9:5-778|-    -            258 54527at6656          -            350   3.4e-47  158.0   0.0   1   1   1.4e-48   4.2e-47  157.7   0.0    86   329     3   255     1   258 0.88 -
54527at6656_103372_0:001b91|TRINITY_DN83555_c2_g1_i7:5-778|-     -            258 54527at6656          -            350   7.9e-47  156.8   0.0   1   1   3.3e-48   9.8e-47  156.5   0.0    86   329     3   255     1   258 0.88 -
54527at6656_1507135_0:000cd7|TRINITY_DN83555_c2_g1_i1:23-751|-   -            243 54527at6656          -            350   6.7e-45  150.4   0.0   1   1   2.7e-46     8e-45  150.2   0.0    73   294     6   243     1   243 0.88 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i16:5-724|-     -            240 54527at6656          -            350   1.5e-41  139.4   0.0   1   1   6.4e-43   1.9e-41  139.1   0.0   102   329     1   237     1   240 0.87 -
54527at6656_103372_0:001b91|TRINITY_DN83555_c2_g1_i11:23-649|-   -            209 54527at6656          -            350   3.5e-37  125.0   0.0   1   1   1.4e-38   4.4e-37  124.7   0.0   102   294     1   209     1   209 0.87 -
54527at6656_1507135_0:000cd7|TRINITY_DN83555_c2_g1_i4:23-649|-   -            209 54527at6656          -            350   3.6e-37  125.0   0.0   1   1   1.5e-38   4.4e-37  124.7   0.0   102   294     1   209     1   209 0.87 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i3:84-443|-     -            120 54527at6656          -            350   1.7e-35  119.5   0.0   1   1     6e-37   1.8e-35  119.4   0.0    46   160     4   120     1   120 0.93 -
54527at6656_116153_0:001375|TRINITY_DN91750_c9_g3_i1:265-1449|+  -            395 54527at6656          -            350   4.7e-35  118.0   0.0   1   2   2.4e-30   7.3e-29   97.7   0.0     4   217     2   213     1   258 0.86 -
54527at6656_116153_0:001375|TRINITY_DN91750_c9_g3_i1:265-1449|+  -            395 54527at6656          -            350   4.7e-35  118.0   0.0   2   2   2.6e-06     8e-05   18.6   0.0   253   328   300   371   266   387 0.78 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i1:84-443|-     -            120 54527at6656          -            350   2.1e-34  115.9   0.0   1   1   7.5e-36   2.3e-34  115.8   0.0    46   160     4   120     1   120 0.93 -
54527at6656_6958_0:002b6d|TRINITY_DN91443_c2_g1_i1:2-376|+       -            125 54527at6656          -            350   4.1e-29   98.5   0.0   1   1   1.5e-30   4.4e-29   98.4   0.0    86   209     3   124     1   125 0.95 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i6:29-328|-     -            100 54527at6656          -            350   1.1e-28   97.1   0.0   1   1     4e-30   1.2e-28   97.0   0.0    46   138     4   100     1   100 0.93 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i2:9-308|-      -            100 54527at6656          -            350   2.5e-28   95.9   0.0   1   1   9.1e-30   2.7e-28   95.8   0.0    46   138     4   100     1   100 0.93 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i12:8-376|-     -            123 54527at6656          -            350   3.4e-27   92.2   0.0   1   1   1.3e-28   3.8e-27   92.0   0.0     2   120     2   123     1   123 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i9:8-376|-      -            123 54527at6656          -            350   3.4e-27   92.2   0.0   1   1   1.3e-28   3.8e-27   92.0   0.0     2   120     2   123     1   123 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i5:16-315|-     -            100 54527at6656          -            350   4.2e-27   91.9   0.0   1   1   1.5e-28   4.5e-27   91.8   0.0    46   138     4   100     1   100 0.93 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i23:8-364|-     -            119 54527at6656          -            350   3.6e-26   88.8   0.0   1   1   1.3e-27     4e-26   88.7   0.0     5   120     1   119     1   119 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i3:8-364|-      -            119 54527at6656          -            350   3.6e-26   88.8   0.0   1   1   1.3e-27     4e-26   88.7   0.0     5   120     1   119     1   119 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i36:8-370|-     -            121 54527at6656          -            350   8.5e-26   87.6   0.0   1   1   3.1e-27   9.4e-26   87.4   0.0     3   120     1   121     1   121 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN92367_c1_g1_i10:22-300|-    -             93 54527at6656          -            350   1.4e-25   86.9   0.0   1   1   5.1e-27   1.5e-25   86.8   0.0    50   138     1    93     1    93 0.93 -
54527at6656_6958_0:002b6d|TRINITY_DN85904_c1_g1_i8:20-376|+      -            119 54527at6656          -            350   1.3e-24   83.7   0.0   1   1   4.6e-26   1.4e-24   83.6   0.0    94   212     2   118     1   119 0.97 -
54527at6656_28612_0:003366|TRINITY_DN83555_c2_g1_i2:23-538|-     -            172 54527at6656          -            350   4.4e-24   82.0   0.0   1   1   1.8e-25   5.4e-24   81.7   0.0   143   294     3   172     1   172 0.84 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i4:0-272|-      -             91 54527at6656          -            350   6.7e-24   81.4   0.0   1   1   2.4e-25   7.2e-24   81.3   0.0    46   129     4    91     1    91 0.92 -
