#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68491at6656_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+      -             51 68491at6656          -            382   1.1e-21   74.2   0.1   1   1   1.1e-23   1.1e-21   74.1   0.1   237   284     1    51     1    51 0.89 -
68491at6656_217634_0:002f49|TRINITY_DN93210_c8_g2_i7:965-1735|-   -            257 68491at6656          -            382   7.5e-06   22.0   3.2   1   3    0.0015      0.16    7.8   0.0   172   236     2    65     1   102 0.86 -
68491at6656_217634_0:002f49|TRINITY_DN93210_c8_g2_i7:965-1735|-   -            257 68491at6656          -            382   7.5e-06   22.0   3.2   2   3   1.6e-05    0.0016   14.3   0.7   245   291   123   169   112   181 0.86 -
68491at6656_217634_0:002f49|TRINITY_DN93210_c8_g2_i7:965-1735|-   -            257 68491at6656          -            382   7.5e-06   22.0   3.2   3   3       2.6   2.6e+02   -2.8   0.0     7    32   195   220   192   245 0.60 -
60468at6656_123851_0:001bba|TRINITY_DN82081_c6_g1_i2:1440-2000|+  -            187 68491at6656          -            382   1.5e-05   21.0   1.1   1   1   4.9e-07     5e-05   19.3   1.1   213   335    26   152    13   159 0.88 -
60468at6656_123851_0:001bba|TRINITY_DN82081_c6_g1_i5:1440-2000|+  -            187 68491at6656          -            382   1.5e-05   21.0   1.1   1   1   4.9e-07     5e-05   19.3   1.1   213   335    26   152    13   159 0.88 -
60468at6656_123851_0:001bba|TRINITY_DN82081_c6_g1_i6:550-1110|+   -            187 68491at6656          -            382   1.5e-05   21.0   1.1   1   1   4.9e-07     5e-05   19.3   1.1   213   335    26   152    13   159 0.88 -
60468at6656_123851_0:001bba|TRINITY_DN82081_c6_g1_i8:1440-2000|+  -            187 68491at6656          -            382   1.5e-05   21.0   1.1   1   1   4.9e-07     5e-05   19.3   1.1   213   335    26   152    13   159 0.88 -
68491at6656_1629725_0:000e35|TRINITY_DN89800_c11_g2_i1:856-1275|+ -            140 68491at6656          -            382   3.7e-05   19.8   0.1   1   1   4.3e-07   4.4e-05   19.5   0.1   165   271    15   130     2   137 0.78 -
68491at6656_1629725_0:000e35|TRINITY_DN89800_c11_g2_i3:505-924|+  -            140 68491at6656          -            382   3.7e-05   19.8   0.1   1   1   4.3e-07   4.4e-05   19.5   0.1   165   271    15   130     2   137 0.78 -
68491at6656_1629725_0:000e35|TRINITY_DN89800_c11_g2_i5:430-849|+  -            140 68491at6656          -            382   3.7e-05   19.8   0.1   1   1   4.3e-07   4.4e-05   19.5   0.1   165   271    15   130     2   137 0.78 -
60468at6656_125945_0:000cc9|TRINITY_DN88265_c10_g1_i1:1492-2331|+ -            280 68491at6656          -            382    0.0003   16.8   0.0   1   2    0.0082      0.84    5.4   0.0   172   257    15   109    13   152 0.72 -
60468at6656_125945_0:000cc9|TRINITY_DN88265_c10_g1_i1:1492-2331|+ -            280 68491at6656          -            382    0.0003   16.8   0.0   2   2   0.00033     0.033   10.0   0.1   171   259   118   215   108   227 0.75 -
60468at6656_125945_0:000cc9|TRINITY_DN88265_c10_g1_i3:1492-2331|+ -            280 68491at6656          -            382    0.0003   16.8   0.0   1   2    0.0082      0.84    5.4   0.0   172   257    15   109    13   152 0.72 -
60468at6656_125945_0:000cc9|TRINITY_DN88265_c10_g1_i3:1492-2331|+ -            280 68491at6656          -            382    0.0003   16.8   0.0   2   2   0.00033     0.033   10.0   0.1   171   259   118   215   108   227 0.75 -
60468at6656_125945_0:000cc9|TRINITY_DN88265_c10_g1_i4:652-1491|+  -            280 68491at6656          -            382    0.0003   16.8   0.0   1   2    0.0082      0.84    5.4   0.0   172   257    15   109    13   152 0.72 -
60468at6656_125945_0:000cc9|TRINITY_DN88265_c10_g1_i4:652-1491|+  -            280 68491at6656          -            382    0.0003   16.8   0.0   2   2   0.00033     0.033   10.0   0.1   171   259   118   215   108   227 0.75 -
60468at6656_610380_0:000152|TRINITY_DN92866_c9_g1_i9:540-1460|+   -            307 68491at6656          -            382   0.00057   15.8   7.1   1   2      0.91        93   -1.3   0.0   166   197    69   100    59   104 0.76 -
60468at6656_610380_0:000152|TRINITY_DN92866_c9_g1_i9:540-1460|+   -            307 68491at6656          -            382   0.00057   15.8   7.1   2   2   9.3e-06   0.00095   15.1   4.6   248   333   220   306   124   307 0.78 -
60468at6656_197043_0:000c15|TRINITY_DN76637_c9_g1_i1:208-498|+    -             97 68491at6656          -            382   0.00076   15.4   0.1   1   1   8.2e-06   0.00084   15.3   0.1   275   336    16    78     5    95 0.87 -
60468at6656_197043_0:000c15|TRINITY_DN76637_c9_g1_i2:1960-2250|+  -             97 68491at6656          -            382   0.00076   15.4   0.1   1   1   8.2e-06   0.00084   15.3   0.1   275   336    16    78     5    95 0.87 -
60468at6656_197043_0:000c15|TRINITY_DN76637_c9_g1_i3:1960-2250|+  -             97 68491at6656          -            382   0.00076   15.4   0.1   1   1   8.2e-06   0.00084   15.3   0.1   275   336    16    78     5    95 0.87 -
60468at6656_197043_0:000c15|TRINITY_DN76637_c9_g1_i4:208-498|+    -             97 68491at6656          -            382   0.00076   15.4   0.1   1   1   8.2e-06   0.00084   15.3   0.1   275   336    16    78     5    95 0.87 -
68491at6656_197043_0:004bea|TRINITY_DN90170_c5_g2_i1:168-1285|+   -            102 68491at6656          -            382    0.0018   14.2   0.0   1   1   2.6e-05    0.0027   13.6   0.0   338   366     8    38     4    56 0.78 -
68491at6656_126957_0:000d67|TRINITY_DN89176_c7_g1_i5:457-1209|+   -            251 68491at6656          -            382    0.0092   11.9   2.0   1   2   0.00017     0.017   11.0   0.0   240   323    12    96    10   100 0.90 -
68491at6656_126957_0:000d67|TRINITY_DN89176_c7_g1_i5:457-1209|+   -            251 68491at6656          -            382    0.0092   11.9   2.0   2   2      0.64        65   -0.8   0.4   266   321   181   237   157   243 0.48 -
68491at6656_126957_0:000d67|TRINITY_DN89176_c7_g1_i6:457-1209|+   -            251 68491at6656          -            382    0.0092   11.9   2.0   1   2   0.00017     0.017   11.0   0.0   240   323    12    96    10   100 0.90 -
68491at6656_126957_0:000d67|TRINITY_DN89176_c7_g1_i6:457-1209|+   -            251 68491at6656          -            382    0.0092   11.9   2.0   2   2      0.64        65   -0.8   0.4   266   321   181   237   157   243 0.48 -
68491at6656_126957_0:000d67|TRINITY_DN89176_c7_g1_i7:457-1209|+   -            251 68491at6656          -            382    0.0092   11.9   2.0   1   2   0.00017     0.017   11.0   0.0   240   323    12    96    10   100 0.90 -
68491at6656_126957_0:000d67|TRINITY_DN89176_c7_g1_i7:457-1209|+   -            251 68491at6656          -            382    0.0092   11.9   2.0   2   2      0.64        65   -0.8   0.4   266   321   181   237   157   243 0.48 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/68491at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/68491at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/68491at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:48 2026
# [ok]
