knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN84871_c5_g1_i3	TRINITY_DN88490_c2_g1_i3
TRINITY_DN89789_c6_g1_i11	TRINITY_DN93342_c12_g1_i2
TRINITY_DN92575_c5_g5_i1	TRINITY_DN88242_c8_g1_i4
TRINITY_DN86722_c7_g1_i4	TRINITY_DN80947_c0_g1_i8
TRINITY_DN89208_c0_g1_i6	TRINITY_DN92073_c7_g1_i2
TRINITY_DN92052_c4_g1_i8	TRINITY_DN92057_c1_g1_i8
TRINITY_DN88471_c2_g3_i2	TRINITY_DN76831_c11_g2_i1
TRINITY_DN92343_c5_g1_i4	TRINITY_DN90876_c10_g1_i2
TRINITY_DN92872_c1_g1_i4	TRINITY_DN85878_c16_g2_i3
TRINITY_DN92834_c4_g1_i4	TRINITY_DN91852_c8_g2_i4
TRINITY_DN93814_c9_g1_i4	TRINITY_DN81098_c13_g1_i2
TRINITY_DN92331_c2_g1_i2	TRINITY_DN78704_c2_g1_i7
TRINITY_DN89314_c12_g1_i1	TRINITY_DN85768_c21_g1_i5
TRINITY_DN92958_c1_g1_i12	TRINITY_DN85477_c3_g1_i6
TRINITY_DN74687_c7_g1_i6	TRINITY_DN81829_c8_g1_i2
TRINITY_DN75844_c7_g4_i1	TRINITY_DN92073_c7_g1_i3
TRINITY_DN88649_c7_g2_i4	TRINITY_DN93239_c4_g1_i6
TRINITY_DN83957_c6_g2_i1	TRINITY_DN84821_c0_g1_i7
TRINITY_DN79105_c8_g3_i4	TRINITY_DN80219_c1_g1_i3
TRINITY_DN87574_c7_g1_i4	TRINITY_DN93556_c6_g1_i10
TRINITY_DN89204_c5_g4_i13	TRINITY_DN86021_c5_g5_i5
TRINITY_DN90331_c8_g1_i3	TRINITY_DN73011_c13_g3_i1
TRINITY_DN78730_c7_g2_i8	TRINITY_DN91335_c7_g2_i1
TRINITY_DN92912_c3_g1_i12	TRINITY_DN90095_c11_g1_i1
TRINITY_DN82996_c8_g5_i1	TRINITY_DN84130_c4_g2_i19
TRINITY_DN92958_c1_g1_i15	TRINITY_DN92810_c0_g2_i4
TRINITY_DN76306_c12_g3_i1	TRINITY_DN82218_c12_g1_i3
TRINITY_DN92221_c13_g1_i1	TRINITY_DN84628_c8_g2_i2
TRINITY_DN74189_c6_g1_i2	TRINITY_DN89599_c4_g1_i14
TRINITY_DN90866_c10_g4_i3	TRINITY_DN77007_c2_g1_i8
TRINITY_DN90071_c4_g3_i1	TRINITY_DN79974_c0_g2_i8
TRINITY_DN91729_c1_g2_i4	TRINITY_DN89594_c2_g1_i10
TRINITY_DN86565_c13_g1_i9	TRINITY_DN89667_c8_g1_i9
TRINITY_DN80047_c2_g1_i1	TRINITY_DN93367_c10_g1_i8
TRINITY_DN89789_c6_g2_i1	TRINITY_DN92066_c5_g1_i9
TRINITY_DN87264_c2_g3_i18	TRINITY_DN89641_c5_g1_i1
TRINITY_DN89208_c0_g1_i3	TRINITY_DN90044_c0_g2_i1
TRINITY_DN86818_c0_g1_i10	TRINITY_DN90446_c1_g1_i1
TRINITY_DN91994_c10_g2_i3	TRINITY_DN88242_c8_g1_i14
TRINITY_DN93264_c6_g1_i6	TRINITY_DN79216_c11_g1_i2
TRINITY_DN88555_c12_g1_i4	TRINITY_DN80947_c0_g1_i2
TRINITY_DN87846_c3_g2_i6	TRINITY_DN88565_c11_g2_i2
TRINITY_DN92777_c8_g3_i1	TRINITY_DN85370_c12_g1_i1
TRINITY_DN81229_c1_g1_i1	TRINITY_DN76223_c12_g1_i3
TRINITY_DN90808_c4_g1_i1	TRINITY_DN76633_c3_g1_i5
TRINITY_DN88474_c12_g1_i5	TRINITY_DN88980_c9_g2_i1
TRINITY_DN92821_c7_g1_i24	TRINITY_DN88768_c9_g2_i2
TRINITY_DN88471_c2_g3_i1	TRINITY_DN92846_c9_g1_i6
TRINITY_DN93431_c4_g1_i9	TRINITY_DN88242_c8_g1_i7
TRINITY_DN93167_c0_g1_i5	TRINITY_DN93500_c7_g1_i3
TRINITY_DN78131_c2_g3_i4	TRINITY_DN88746_c2_g1_i1
TRINITY_DN88471_c2_g1_i2	TRINITY_DN85661_c6_g1_i14
TRINITY_DN73391_c7_g1_i2	TRINITY_DN93024_c5_g1_i4
TRINITY_DN85155_c7_g1_i2	TRINITY_DN89527_c4_g2_i7
TRINITY_DN81229_c3_g1_i1	TRINITY_DN92832_c2_g1_i1
TRINITY_DN89012_c11_g1_i4	TRINITY_DN72329_c8_g2_i1
TRINITY_DN92743_c3_g3_i5	TRINITY_DN93124_c1_g1_i6
TRINITY_DN89212_c9_g4_i1	TRINITY_DN88497_c0_g1_i10
TRINITY_DN92647_c8_g1_i8	TRINITY_DN90912_c10_g2_i1
TRINITY_DN88471_c2_g2_i4	TRINITY_DN76619_c11_g1_i2
TRINITY_DN88327_c12_g1_i7	TRINITY_DN93288_c11_g1_i3
TRINITY_DN87259_c12_g1_i1	TRINITY_DN81326_c11_g1_i1
TRINITY_DN81229_c4_g1_i6	TRINITY_DN75158_c11_g1_i5
TRINITY_DN80418_c10_g1_i2	TRINITY_DN83809_c4_g3_i4
TRINITY_DN85954_c16_g2_i2	TRINITY_DN91078_c3_g2_i3
TRINITY_DN92762_c10_g1_i7	TRINITY_DN89390_c1_g1_i8
TRINITY_DN87769_c12_g1_i8	TRINITY_DN90990_c15_g2_i3
TRINITY_DN80418_c10_g1_i5	TRINITY_DN92485_c10_g1_i2
TRINITY_DN92912_c3_g1_i8	TRINITY_DN90933_c10_g1_i1
TRINITY_DN93215_c3_g1_i15	TRINITY_DN87940_c7_g3_i1
TRINITY_DN74806_c8_g1_i1	TRINITY_DN75937_c2_g2_i2
TRINITY_DN86545_c5_g1_i10	TRINITY_DN75811_c7_g1_i2
TRINITY_DN92317_c7_g1_i10	TRINITY_DN77312_c10_g1_i2
TRINITY_DN86666_c3_g2_i6	TRINITY_DN84010_c14_g1_i3
TRINITY_DN92026_c2_g1_i27	TRINITY_DN85560_c6_g3_i6
TRINITY_DN92072_c10_g1_i2	TRINITY_DN93364_c2_g2_i3
TRINITY_DN88688_c8_g1_i9	TRINITY_DN83957_c6_g2_i7
TRINITY_DN82231_c1_g1_i2	TRINITY_DN91237_c5_g4_i9
TRINITY_DN91758_c12_g1_i3	TRINITY_DN75197_c12_g1_i5
TRINITY_DN71534_c18_g1_i2	TRINITY_DN72479_c9_g3_i3
TRINITY_DN82695_c4_g1_i7	TRINITY_DN82401_c2_g1_i12
	TRINITY_DN84409_c4_g1_i7
	TRINITY_DN91726_c8_g1_i4
	TRINITY_DN84111_c7_g1_i3
	TRINITY_DN88547_c9_g1_i3
	TRINITY_DN117262_c0_g1_i3
	TRINITY_DN83805_c14_g1_i4
