knockdown_PmSTAT-UP	WSSV_infection-UP
TRINITY_DN80047_c2_g1_i1	TRINITY_DN72297_c9_g1_i1
TRINITY_DN93103_c3_g1_i8	TRINITY_DN87781_c12_g1_i1
TRINITY_DN82883_c0_g3_i1	TRINITY_DN83136_c13_g1_i1
TRINITY_DN77616_c8_g1_i2	TRINITY_DN91273_c9_g2_i1
TRINITY_DN82901_c10_g1_i6	TRINITY_DN83954_c7_g1_i3
TRINITY_DN82883_c0_g1_i2	TRINITY_DN77025_c11_g4_i1
TRINITY_DN93378_c5_g1_i1	TRINITY_DN76180_c10_g1_i1
TRINITY_DN80230_c7_g1_i2	TRINITY_DN76831_c11_g2_i1
TRINITY_DN82883_c0_g1_i3	TRINITY_DN81092_c8_g2_i1
TRINITY_DN84186_c9_g1_i1	TRINITY_DN85861_c9_g1_i1
TRINITY_DN79523_c7_g1_i7	TRINITY_DN86459_c10_g1_i2
TRINITY_DN86481_c13_g1_i7	TRINITY_DN93012_c8_g1_i1
TRINITY_DN93103_c3_g1_i1	TRINITY_DN80188_c10_g2_i1
TRINITY_DN85452_c1_g1_i1	TRINITY_DN92506_c6_g1_i7
TRINITY_DN68861_c0_g1_i1	TRINITY_DN86963_c9_g4_i1
TRINITY_DN82883_c0_g1_i4	TRINITY_DN72862_c11_g1_i2
TRINITY_DN92575_c5_g5_i1	TRINITY_DN93132_c17_g2_i1
TRINITY_DN92705_c7_g2_i1	TRINITY_DN76726_c13_g2_i1
TRINITY_DN86818_c0_g1_i1	TRINITY_DN91273_c9_g6_i1
TRINITY_DN89358_c11_g1_i3	TRINITY_DN71712_c13_g1_i1
TRINITY_DN92221_c13_g1_i1	TRINITY_DN74058_c7_g1_i1
TRINITY_DN90839_c8_g1_i2	TRINITY_DN93025_c5_g3_i7
TRINITY_DN87846_c3_g2_i8	TRINITY_DN92506_c6_g1_i3
TRINITY_DN93103_c3_g2_i7	TRINITY_DN92378_c1_g2_i4
TRINITY_DN86818_c0_g1_i8	TRINITY_DN90125_c11_g1_i1
TRINITY_DN87931_c5_g2_i3	TRINITY_DN90595_c13_g1_i1
TRINITY_DN89143_c14_g2_i4	TRINITY_DN91852_c8_g2_i4
TRINITY_DN77616_c8_g2_i1	TRINITY_DN78245_c6_g1_i1
TRINITY_DN88768_c9_g5_i1	TRINITY_DN92378_c1_g2_i3
TRINITY_DN65722_c0_g1_i1	TRINITY_DN77131_c8_g1_i2
TRINITY_DN81261_c7_g2_i1	TRINITY_DN88422_c4_g1_i1
TRINITY_DN83557_c11_g3_i1	TRINITY_DN75963_c11_g2_i1
TRINITY_DN84186_c9_g1_i2	TRINITY_DN93025_c5_g3_i6
TRINITY_DN86818_c0_g1_i10	TRINITY_DN82231_c1_g1_i1
TRINITY_DN72928_c12_g1_i1	TRINITY_DN87124_c13_g1_i3
	TRINITY_DN92506_c6_g1_i9
	TRINITY_DN77769_c15_g1_i2
	TRINITY_DN77025_c11_g2_i1
	TRINITY_DN93206_c12_g1_i1
	TRINITY_DN74861_c6_g7_i1
	TRINITY_DN83954_c7_g1_i2
	TRINITY_DN78496_c13_g1_i1
	TRINITY_DN88130_c17_g1_i2
	TRINITY_DN91852_c8_g2_i2
	TRINITY_DN89680_c4_g1_i10
	TRINITY_DN87677_c11_g3_i3
	TRINITY_DN92506_c6_g1_i8
	TRINITY_DN92506_c6_g1_i1
	TRINITY_DN81098_c13_g1_i2
	TRINITY_DN83954_c7_g1_i5
	TRINITY_DN79352_c11_g1_i4
	TRINITY_DN75979_c7_g1_i6
	TRINITY_DN81952_c7_g1_i2
	TRINITY_DN90125_c11_g2_i1
	TRINITY_DN81092_c8_g3_i1
	TRINITY_DN88237_c19_g4_i1
	TRINITY_DN88611_c4_g1_i2
	TRINITY_DN88237_c19_g1_i1
	TRINITY_DN91975_c1_g1_i1
	TRINITY_DN88422_c4_g2_i1
	TRINITY_DN86480_c6_g1_i1
	TRINITY_DN93399_c3_g1_i1
	TRINITY_DN83493_c3_g1_i1
	TRINITY_DN92073_c7_g1_i2
	TRINITY_DN77025_c11_g3_i1
	TRINITY_DN92853_c0_g2_i1
	TRINITY_DN85393_c11_g1_i4
	TRINITY_DN69702_c0_g1_i2
	TRINITY_DN92305_c9_g1_i3
	TRINITY_DN73434_c10_g7_i1
	TRINITY_DN85327_c15_g2_i5
	TRINITY_DN74861_c6_g3_i2
	TRINITY_DN86653_c3_g1_i1
	TRINITY_DN93342_c12_g1_i2
	TRINITY_DN86021_c5_g5_i5
	TRINITY_DN91374_c4_g1_i1
	TRINITY_DN87375_c0_g1_i6
	TRINITY_DN72297_c9_g3_i1
	TRINITY_DN85393_c11_g1_i1
	TRINITY_DN89641_c5_g1_i1
	TRINITY_DN92378_c1_g3_i2
	TRINITY_DN89641_c0_g1_i6
	TRINITY_DN89121_c9_g1_i2
	TRINITY_DN89641_c0_g1_i1
	TRINITY_DN90069_c16_g1_i1
	TRINITY_DN86006_c8_g1_i9
	TRINITY_DN92378_c1_g1_i1
	TRINITY_DN92810_c0_g2_i1
	TRINITY_DN92681_c6_g1_i5
	TRINITY_DN89976_c14_g1_i6
	TRINITY_DN86963_c9_g3_i1
	TRINITY_DN84918_c10_g1_i1
	TRINITY_DN78394_c14_g1_i3
	TRINITY_DN90218_c9_g1_i1
	TRINITY_DN92337_c3_g1_i10
	TRINITY_DN93180_c6_g1_i15
	TRINITY_DN81092_c8_g1_i1
	TRINITY_DN93024_c5_g1_i5
