knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN80418_c10_g1_i5	TRINITY_DN76831_c11_g2_i1
TRINITY_DN81229_c4_g1_i6	TRINITY_DN72297_c9_g1_i1
TRINITY_DN80418_c10_g1_i2	TRINITY_DN83136_c13_g1_i1
TRINITY_DN81229_c1_g1_i1	TRINITY_DN90515_c1_g1_i5
TRINITY_DN88471_c2_g2_i8	TRINITY_DN92506_c6_g1_i7
TRINITY_DN88471_c2_g3_i1	TRINITY_DN71712_c13_g1_i1
TRINITY_DN81229_c3_g1_i1	TRINITY_DN89641_c0_g1_i1
TRINITY_DN80418_c10_g1_i7	TRINITY_DN89641_c0_g1_i3
TRINITY_DN80418_c10_g1_i3	TRINITY_DN76180_c10_g1_i1
TRINITY_DN88471_c2_g3_i2	TRINITY_DN84920_c15_g3_i2
TRINITY_DN88471_c2_g2_i4	TRINITY_DN92506_c6_g1_i3
TRINITY_DN81229_c2_g1_i1	TRINITY_DN92810_c0_g2_i4
TRINITY_DN72829_c0_g1_i3	TRINITY_DN93288_c12_g1_i1
TRINITY_DN88471_c2_g1_i2	TRINITY_DN92810_c0_g2_i8
TRINITY_DN75844_c7_g4_i1	TRINITY_DN92810_c0_g2_i3
TRINITY_DN82695_c4_g1_i5	TRINITY_DN93288_c11_g1_i4
TRINITY_DN89012_c11_g1_i2	TRINITY_DN77025_c11_g4_i1
TRINITY_DN88471_c2_g2_i6	TRINITY_DN93012_c8_g1_i1
TRINITY_DN92631_c1_g1_i2	TRINITY_DN90125_c11_g1_i1
TRINITY_DN82695_c4_g1_i7	TRINITY_DN81092_c8_g2_i1
TRINITY_DN89789_c6_g2_i4	TRINITY_DN89641_c0_g1_i7
TRINITY_DN76209_c6_g1_i1	TRINITY_DN90515_c1_g1_i10
TRINITY_DN92343_c5_g1_i5	TRINITY_DN89641_c0_g1_i8
TRINITY_DN88471_c2_g2_i5	TRINITY_DN90595_c13_g1_i1
TRINITY_DN84871_c5_g1_i5	TRINITY_DN91273_c9_g2_i1
TRINITY_DN92331_c2_g1_i14	TRINITY_DN87781_c12_g1_i1
TRINITY_DN80581_c12_g1_i6	TRINITY_DN90515_c1_g1_i1
TRINITY_DN81229_c4_g1_i2	TRINITY_DN90565_c0_g3_i1
TRINITY_DN89600_c0_g1_i7	TRINITY_DN92810_c0_g2_i6
TRINITY_DN90300_c6_g4_i1	TRINITY_DN92810_c0_g2_i1
TRINITY_DN90813_c1_g1_i3	TRINITY_DN89641_c0_g1_i6
TRINITY_DN71100_c0_g1_i1	TRINITY_DN89641_c0_g1_i2
TRINITY_DN89600_c0_g1_i5	TRINITY_DN83954_c7_g1_i3
TRINITY_DN87001_c10_g1_i12	TRINITY_DN74861_c6_g7_i1
TRINITY_DN82021_c8_g3_i5	TRINITY_DN89641_c5_g1_i1
TRINITY_DN80059_c8_g2_i4	TRINITY_DN86459_c10_g1_i2
TRINITY_DN83223_c3_g1_i1	TRINITY_DN76726_c13_g2_i1
TRINITY_DN91431_c12_g3_i3	TRINITY_DN93024_c5_g1_i5
TRINITY_DN91829_c2_g1_i7	TRINITY_DN93288_c13_g1_i1
TRINITY_DN88471_c2_g2_i7	TRINITY_DN86963_c9_g4_i1
TRINITY_DN89212_c6_g1_i1	TRINITY_DN77025_c11_g2_i1
TRINITY_DN83567_c15_g1_i1	TRINITY_DN92506_c6_g1_i8
TRINITY_DN93654_c4_g1_i10	TRINITY_DN91273_c9_g6_i1
TRINITY_DN72829_c0_g2_i1	TRINITY_DN89641_c0_g1_i4
TRINITY_DN90492_c0_g1_i4	TRINITY_DN77769_c15_g1_i2
TRINITY_DN89789_c6_g1_i5	TRINITY_DN80188_c10_g2_i1
TRINITY_DN86357_c3_g1_i1	TRINITY_DN73052_c14_g1_i5
TRINITY_DN75964_c4_g1_i6	TRINITY_DN85878_c16_g2_i3
TRINITY_DN74491_c8_g1_i9	TRINITY_DN92506_c6_g1_i1
TRINITY_DN92998_c1_g2_i1	TRINITY_DN72862_c11_g1_i2
TRINITY_DN86973_c5_g1_i1	TRINITY_DN89316_c6_g2_i3
TRINITY_DN90492_c0_g1_i3	TRINITY_DN76458_c10_g1_i1
TRINITY_DN76920_c6_g2_i1	TRINITY_DN85861_c9_g1_i1
TRINITY_DN82695_c4_g1_i4	TRINITY_DN80947_c0_g1_i8
TRINITY_DN74491_c8_g1_i8	TRINITY_DN89680_c4_g1_i10
TRINITY_DN89634_c5_g1_i6	TRINITY_DN93367_c10_g1_i8
TRINITY_DN86973_c3_g1_i4	TRINITY_DN93025_c5_g3_i6
TRINITY_DN78284_c1_g1_i1	TRINITY_DN90515_c1_g1_i7
TRINITY_DN89600_c0_g1_i2	TRINITY_DN90125_c11_g2_i1
TRINITY_DN88673_c2_g1_i4	TRINITY_DN87286_c10_g1_i2
TRINITY_DN90492_c0_g1_i1	TRINITY_DN91982_c2_g1_i6
TRINITY_DN90839_c8_g1_i4	TRINITY_DN74993_c15_g3_i1
TRINITY_DN80418_c10_g1_i11	TRINITY_DN91982_c2_g1_i7
TRINITY_DN93605_c1_g2_i11	TRINITY_DN91634_c1_g1_i4
TRINITY_DN92761_c2_g1_i5	TRINITY_DN92378_c1_g2_i4
TRINITY_DN86512_c6_g1_i2	TRINITY_DN73748_c12_g1_i2
TRINITY_DN81856_c6_g3_i1	TRINITY_DN72369_c2_g1_i8
TRINITY_DN89600_c0_g1_i12	TRINITY_DN92853_c0_g2_i1
TRINITY_DN88471_c1_g1_i1	TRINITY_DN91982_c2_g1_i2
TRINITY_DN88471_c2_g2_i2	TRINITY_DN81250_c1_g1_i5
TRINITY_DN80418_c10_g1_i1	TRINITY_DN81998_c5_g2_i2
TRINITY_DN83574_c5_g10_i1	TRINITY_DN81998_c5_g2_i3
TRINITY_DN93734_c3_g2_i1	TRINITY_DN79974_c0_g2_i8
TRINITY_DN81856_c6_g2_i7	TRINITY_DN85820_c0_g1_i9
TRINITY_DN87940_c7_g3_i2	TRINITY_DN92506_c6_g1_i9
TRINITY_DN90492_c0_g1_i2	TRINITY_DN90515_c1_g1_i6
TRINITY_DN81856_c6_g1_i3	TRINITY_DN90515_c1_g1_i8
TRINITY_DN93411_c3_g3_i10	TRINITY_DN83954_c7_g1_i2
TRINITY_DN93366_c0_g1_i1	TRINITY_DN91852_c8_g2_i2
TRINITY_DN92998_c1_g1_i1	TRINITY_DN93024_c5_g1_i3
TRINITY_DN93103_c3_g1_i8	TRINITY_DN93288_c11_g1_i3
TRINITY_DN81231_c18_g1_i2	TRINITY_DN92073_c7_g1_i2
TRINITY_DN93654_c4_g1_i11	TRINITY_DN93288_c11_g2_i6
TRINITY_DN92575_c5_g5_i1	TRINITY_DN88422_c4_g1_i1
TRINITY_DN77616_c8_g1_i2	TRINITY_DN76457_c5_g1_i11
TRINITY_DN89600_c0_g1_i10	TRINITY_DN82251_c11_g1_i1
TRINITY_DN84186_c9_g1_i1	TRINITY_DN75963_c11_g2_i1
TRINITY_DN91064_c7_g1_i3	TRINITY_DN93344_c6_g1_i1
TRINITY_DN81856_c5_g3_i1	TRINITY_DN91237_c5_g4_i4
TRINITY_DN90831_c5_g1_i12	TRINITY_DN89948_c9_g2_i2
TRINITY_DN90417_c10_g1_i3	TRINITY_DN89641_c2_g1_i1
TRINITY_DN90492_c0_g2_i1	TRINITY_DN72479_c9_g3_i4
TRINITY_DN90150_c8_g1_i18	TRINITY_DN90876_c10_g1_i2
TRINITY_DN83184_c4_g2_i5	TRINITY_DN76119_c16_g3_i7
TRINITY_DN79864_c12_g1_i3	TRINITY_DN82553_c9_g2_i2
TRINITY_DN90300_c6_g2_i1	TRINITY_DN93132_c17_g2_i1
TRINITY_DN78230_c6_g1_i1	TRINITY_DN90515_c1_g1_i3
TRINITY_DN75227_c11_g1_i4	TRINITY_DN92378_c1_g2_i3
TRINITY_DN72829_c0_g1_i7	TRINITY_DN92066_c5_g1_i9
TRINITY_DN81231_c20_g1_i1	TRINITY_DN69702_c0_g1_i2
TRINITY_DN78740_c10_g1_i4	TRINITY_DN88237_c19_g1_i1
TRINITY_DN92279_c4_g2_i4	TRINITY_DN90218_c9_g1_i1
TRINITY_DN90990_c16_g1_i1	TRINITY_DN84738_c6_g1_i1
TRINITY_DN81974_c14_g1_i1	TRINITY_DN93399_c3_g1_i1
TRINITY_DN93148_c9_g1_i34	TRINITY_DN74058_c7_g1_i1
TRINITY_DN87668_c11_g1_i1	TRINITY_DN93288_c11_g1_i1
TRINITY_DN92934_c7_g1_i12	TRINITY_DN89608_c1_g1_i6
TRINITY_DN84628_c8_g2_i9	TRINITY_DN86021_c5_g5_i5
TRINITY_DN88415_c2_g1_i2	TRINITY_DN92289_c18_g9_i1
TRINITY_DN92025_c6_g2_i11	TRINITY_DN76399_c10_g1_i2
TRINITY_DN86973_c3_g1_i5	TRINITY_DN89667_c8_g1_i9
TRINITY_DN72914_c21_g1_i1	TRINITY_DN93239_c4_g1_i6
TRINITY_DN85911_c16_g1_i4	TRINITY_DN85375_c3_g2_i12
TRINITY_DN91380_c13_g1_i4	TRINITY_DN89769_c2_g1_i3
TRINITY_DN87001_c10_g1_i9	TRINITY_DN78394_c14_g1_i3
TRINITY_DN86006_c8_g1_i14	TRINITY_DN93124_c1_g1_i6
TRINITY_DN85942_c3_g1_i1	TRINITY_DN92073_c7_g1_i3
TRINITY_DN85477_c3_g1_i8	TRINITY_DN76218_c9_g2_i3
TRINITY_DN93020_c1_g1_i2	TRINITY_DN88739_c6_g1_i2
TRINITY_DN93470_c1_g1_i2	TRINITY_DN89122_c12_g1_i1
TRINITY_DN92519_c10_g1_i2	TRINITY_DN85417_c2_g1_i4
TRINITY_DN88726_c8_g2_i12	TRINITY_DN92721_c14_g5_i1
TRINITY_DN92761_c2_g1_i8	TRINITY_DN85327_c15_g2_i4
TRINITY_DN77790_c1_g1_i4	TRINITY_DN92297_c1_g1_i5
