knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN80418_c10_g1_i3	TRINITY_DN76831_c11_g2_i1
TRINITY_DN80418_c10_g1_i2	TRINITY_DN90515_c1_g1_i5
TRINITY_DN88471_c2_g3_i1	TRINITY_DN93288_c11_g1_i4
TRINITY_DN81229_c3_g1_i1	TRINITY_DN89641_c0_g1_i1
TRINITY_DN81229_c1_g1_i1	TRINITY_DN92810_c0_g2_i8
TRINITY_DN88471_c2_g3_i2	TRINITY_DN90515_c1_g1_i10
TRINITY_DN81229_c4_g1_i6	TRINITY_DN92810_c0_g2_i4
TRINITY_DN80418_c10_g1_i5	TRINITY_DN89641_c0_g1_i3
TRINITY_DN88471_c2_g2_i8	TRINITY_DN93288_c12_g1_i1
TRINITY_DN82695_c4_g1_i5	TRINITY_DN92810_c0_g2_i3
TRINITY_DN88471_c2_g2_i4	TRINITY_DN84920_c15_g3_i2
TRINITY_DN89012_c11_g1_i2	TRINITY_DN89641_c0_g1_i8
TRINITY_DN92343_c5_g1_i5	TRINITY_DN89641_c0_g1_i4
TRINITY_DN81229_c2_g1_i1	TRINITY_DN89641_c0_g1_i2
TRINITY_DN89789_c6_g2_i4	TRINITY_DN89641_c0_g1_i6
TRINITY_DN84871_c5_g1_i5	TRINITY_DN90125_c11_g1_i1
TRINITY_DN81229_c4_g1_i2	TRINITY_DN81092_c8_g2_i1
TRINITY_DN88471_c2_g1_i2	TRINITY_DN92810_c0_g2_i6
TRINITY_DN80418_c10_g1_i7	TRINITY_DN89641_c5_g1_i1
TRINITY_DN82695_c4_g1_i7	TRINITY_DN90515_c1_g1_i8
TRINITY_DN88471_c2_g2_i6	TRINITY_DN71712_c13_g1_i1
TRINITY_DN80418_c10_g1_i1	TRINITY_DN88729_c5_g1_i1
TRINITY_DN80581_c12_g1_i6	TRINITY_DN93367_c10_g1_i8
TRINITY_DN86650_c0_g2_i5	TRINITY_DN84918_c10_g1_i1
TRINITY_DN92575_c5_g5_i1	TRINITY_DN80947_c0_g1_i8
TRINITY_DN83574_c5_g10_i1	TRINITY_DN93288_c11_g1_i3
TRINITY_DN92375_c7_g1_i3	TRINITY_DN90515_c1_g1_i6
TRINITY_DN80418_c10_g1_i11	TRINITY_DN93025_c5_g3_i6
TRINITY_DN88471_c2_g2_i2	TRINITY_DN93024_c5_g1_i5
TRINITY_DN89789_c6_g1_i10	TRINITY_DN90616_c8_g1_i4
TRINITY_DN91753_c5_g2_i3	TRINITY_DN93360_c4_g1_i8
TRINITY_DN82695_c4_g1_i4	TRINITY_DN90831_c5_g1_i16
TRINITY_DN93103_c3_g1_i8	TRINITY_DN93288_c11_g2_i6
TRINITY_DN87001_c10_g1_i12	TRINITY_DN87614_c8_g1_i1
TRINITY_DN92519_c10_g1_i2	TRINITY_DN92073_c7_g1_i2
TRINITY_DN87940_c7_g3_i2	TRINITY_DN91429_c8_g1_i1
TRINITY_DN88471_c2_g2_i7	TRINITY_DN92681_c6_g1_i5
TRINITY_DN92052_c4_g1_i8	TRINITY_DN80721_c7_g1_i2
TRINITY_DN75844_c7_g4_i1	TRINITY_DN85878_c16_g2_i3
TRINITY_DN83089_c13_g1_i2	TRINITY_DN74861_c6_g7_i1
TRINITY_DN84186_c9_g1_i1	TRINITY_DN86346_c10_g5_i4
TRINITY_DN93479_c5_g1_i8	TRINITY_DN89641_c2_g1_i1
TRINITY_DN92221_c13_g1_i1	TRINITY_DN92506_c6_g1_i1
TRINITY_DN89789_c6_g1_i13	TRINITY_DN89976_c14_g1_i6
TRINITY_DN79864_c12_g1_i3	TRINITY_DN93288_c11_g2_i2
TRINITY_DN90150_c8_g1_i18	TRINITY_DN76119_c16_g3_i7
TRINITY_DN89208_c0_g1_i6	TRINITY_DN86021_c5_g5_i5
TRINITY_DN77979_c0_g1_i9	TRINITY_DN77880_c18_g1_i4
TRINITY_DN88471_c1_g1_i1	TRINITY_DN93288_c11_g1_i1
TRINITY_DN87198_c15_g2_i2	TRINITY_DN90125_c11_g2_i1
TRINITY_DN87259_c12_g1_i1	TRINITY_DN92066_c5_g1_i9
TRINITY_DN86722_c7_g1_i4	TRINITY_DN91237_c5_g4_i4
TRINITY_DN92752_c8_g1_i3	TRINITY_DN92337_c3_g1_i10
TRINITY_DN92343_c5_g1_i4	TRINITY_DN93124_c1_g1_i6
TRINITY_DN75921_c5_g5_i1	TRINITY_DN93701_c4_g1_i8
TRINITY_DN92958_c1_g1_i12	TRINITY_DN89667_c8_g1_i9
TRINITY_DN84525_c11_g1_i3	TRINITY_DN74190_c5_g1_i3
TRINITY_DN87001_c10_g1_i9	TRINITY_DN93239_c4_g1_i6
TRINITY_DN92752_c8_g1_i19	TRINITY_DN85327_c15_g2_i5
TRINITY_DN89789_c6_g2_i1	TRINITY_DN90515_c1_g1_i13
TRINITY_DN88471_c2_g4_i1	TRINITY_DN91050_c9_g1_i1
TRINITY_DN90269_c2_g1_i4	TRINITY_DN76218_c9_g2_i3
TRINITY_DN92777_c8_g3_i1	TRINITY_DN93024_c5_g1_i3
TRINITY_DN75844_c7_g3_i1	TRINITY_DN72465_c11_g3_i2
TRINITY_DN87001_c10_g1_i6	TRINITY_DN90647_c10_g1_i6
TRINITY_DN88471_c2_g2_i5	TRINITY_DN91147_c9_g1_i6
TRINITY_DN93203_c11_g2_i4	TRINITY_DN75871_c6_g2_i4
TRINITY_DN88746_c2_g1_i9	TRINITY_DN90833_c7_g1_i10
TRINITY_DN91287_c13_g1_i6	TRINITY_DN85608_c12_g1_i2
TRINITY_DN92958_c1_g1_i15	TRINITY_DN90876_c10_g1_i2
TRINITY_DN86545_c5_g1_i3	TRINITY_DN92073_c7_g1_i3
TRINITY_DN93405_c6_g1_i3	TRINITY_DN88172_c6_g1_i3
TRINITY_DN84871_c5_g2_i1	TRINITY_DN84628_c8_g2_i2
TRINITY_DN92912_c3_g1_i6	TRINITY_DN76399_c10_g1_i11
TRINITY_DN79658_c9_g2_i1	TRINITY_DN89752_c3_g2_i1
TRINITY_DN80047_c2_g1_i1	TRINITY_DN86375_c3_g2_i1
TRINITY_DN76209_c6_g1_i1	TRINITY_DN90630_c9_g1_i10
TRINITY_DN89847_c10_g1_i1	TRINITY_DN86007_c3_g1_i6
TRINITY_DN92502_c8_g1_i8	TRINITY_DN87677_c11_g3_i2
TRINITY_DN78725_c12_g3_i8	TRINITY_DN92442_c12_g1_i8
TRINITY_DN92256_c7_g1_i19	TRINITY_DN91080_c3_g1_i2
TRINITY_DN81261_c7_g2_i1	TRINITY_DN71090_c0_g1_i3
TRINITY_DN88688_c8_g1_i10	TRINITY_DN79132_c6_g1_i5
TRINITY_DN93164_c11_g1_i1	TRINITY_DN93025_c5_g6_i1
TRINITY_DN93455_c1_g1_i7	TRINITY_DN86282_c6_g2_i6
TRINITY_DN77616_c7_g1_i11	TRINITY_DN91147_c9_g1_i2
TRINITY_DN81331_c7_g2_i7	TRINITY_DN84821_c0_g1_i7
TRINITY_DN93148_c9_g1_i34	TRINITY_DN79107_c6_g1_i13
TRINITY_DN84564_c9_g1_i3	TRINITY_DN84453_c15_g1_i1
TRINITY_DN89789_c6_g2_i2	TRINITY_DN91597_c4_g1_i2
TRINITY_DN89789_c6_g2_i3	TRINITY_DN91050_c6_g4_i9
TRINITY_DN91457_c4_g1_i11	TRINITY_DN83804_c8_g1_i8
TRINITY_DN86818_c0_g1_i8	TRINITY_DN72479_c9_g3_i1
TRINITY_DN87506_c4_g2_i11	TRINITY_DN79974_c0_g2_i8
TRINITY_DN79690_c12_g4_i2	
TRINITY_DN72183_c9_g1_i7	
TRINITY_DN92622_c9_g1_i5	
