#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+        -            106 83303at6656          -            284   9.5e-63  207.7   1.5   1   1   4.4e-64   1.1e-62  207.5   1.5    27   126     5   106     2   106 0.97 -
83303at6656_121845_0:000632|TRINITY_DN91732_c5_g4_i1:75-347|+     -             91 83303at6656          -            284   2.9e-27   91.3   0.5   1   1   1.6e-28   4.1e-27   90.8   0.5     2    69    12    91    11    91 0.86 -
83303at6656_218467_0:0012e6|TRINITY_DN92254_c0_g4_i1:101-712|+    -            204 83303at6656          -            284   2.3e-16   55.5   8.9   1   2   2.7e-09   6.9e-08   27.7   1.9    35   101     2    70     1    77 0.88 -
83303at6656_218467_0:0012e6|TRINITY_DN92254_c0_g4_i1:101-712|+    -            204 83303at6656          -            284   2.3e-16   55.5   8.9   2   2     7e-10   1.8e-08   29.6   1.1    22   133    78   189    71   204 0.81 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-   -            194 83303at6656          -            284   7.7e-12   40.6   2.5   1   2    0.0019     0.049    8.5   0.0    36    69     1    34     1    36 0.74 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-   -            194 83303at6656          -            284   7.7e-12   40.6   2.5   2   2   7.9e-11     2e-09   32.7   0.6    27   195    33   193    27   194 0.80 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+    -            151 83303at6656          -            284   1.1e-10   36.9   0.2   1   3   0.00018    0.0045   11.9   0.0   173   210     1    38     1    41 0.93 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+    -            151 83303at6656          -            284   1.1e-10   36.9   0.2   2   3   9.2e-05    0.0024   12.8   0.0   169   209    39    79    37    84 0.85 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+    -            151 83303at6656          -            284   1.1e-10   36.9   0.2   3   3    0.0014     0.036    8.9   0.0   171   206    83   118    74   124 0.85 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+   -            240 83303at6656          -            284   3.8e-10   35.1   0.9   1   3   2.2e-05   0.00056   14.9   0.1   173   249     2    88     1   112 0.80 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+   -            240 83303at6656          -            284   3.8e-10   35.1   0.9   2   3      0.32       8.3    1.2   0.0    28    61   120   153    88   156 0.80 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+   -            240 83303at6656          -            284   3.8e-10   35.1   0.9   3   3   1.3e-05   0.00032   15.6   0.0    17    65   158   207   153   238 0.76 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i6:1174-1824|-  -            217 83303at6656          -            284   3.8e-09   31.8   2.3   1   1   2.3e-09     6e-08   27.9   2.3    27   199    35   197     1   207 0.73 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i5:1302-1904|+   -            201 83303at6656          -            284   5.7e-09   31.2   0.5   1   2     4e-05     0.001   14.0   0.2    43   102    10    68     2    78 0.78 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i5:1302-1904|+   -            201 83303at6656          -            284   5.7e-09   31.2   0.5   2   2   1.3e-07   3.3e-06   22.2   0.3    22   198    31   198    28   201 0.83 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-  -            272 83303at6656          -            284   8.2e-09   30.7   3.8   1   3      0.23       5.9    1.6   0.0   133   149    40    56    36    63 0.88 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-  -            272 83303at6656          -            284   8.2e-09   30.7   3.8   2   3   2.1e-06   5.3e-05   18.2   1.9    19   102    56   140    43   150 0.85 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-  -            272 83303at6656          -            284   8.2e-09   30.7   3.8   3   3   1.1e-05   0.00029   15.8   0.0    28   156   108   235   104   240 0.76 -
45131at6656_108931_0:001866|TRINITY_DN73327_c12_g1_i2:631-978|-   -            116 83303at6656          -            284   2.1e-07   26.1   0.8   1   1     9e-09   2.3e-07   26.0   0.8    36   148     3   114     2   116 0.83 -
84925at6656_123851_0:003ce5|TRINITY_DN88363_c11_g1_i3:1316-1684|+ -            123 83303at6656          -            284   2.7e-07   25.8   0.0   1   1   1.2e-08     3e-07   25.6   0.0    27    97    23    93     5   104 0.87 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i1:968-1459|-   -            164 83303at6656          -            284   5.2e-07   24.8   0.0   1   1   2.7e-08     7e-07   24.4   0.0    26   150    16   140     7   150 0.86 -
45131at6656_108931_0:001866|TRINITY_DN91122_c1_g3_i1:759-1088|+   -            110 83303at6656          -            284   5.2e-07   24.8   0.0   1   2    0.0027      0.07    8.0   0.0    36    62     1    27     1    35 0.90 -
45131at6656_108931_0:001866|TRINITY_DN91122_c1_g3_i1:759-1088|+   -            110 83303at6656          -            284   5.2e-07   24.8   0.0   2   2   2.8e-05   0.00073   14.5   0.0    27    60    77   110    70   110 0.91 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|- -            163 83303at6656          -            284   6.1e-07   24.6   0.1   1   3     0.002     0.051    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|- -            163 83303at6656          -            284   6.1e-07   24.6   0.1   2   3   0.00034    0.0086   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|- -            163 83303at6656          -            284   6.1e-07   24.6   0.1   3   3    0.0025     0.065    8.1   0.0   159   204    90   134    87   139 0.89 -
83303at6656_222816_0:000d6d|TRINITY_DN81477_c5_g1_i2:1502-2080|-  -            193 83303at6656          -            284   7.9e-07   24.2   0.2   1   1   4.2e-08   1.1e-06   23.7   0.2     3   134    48   187    30   193 0.74 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-  -            137 83303at6656          -            284   8.1e-07   24.2   0.4   1   3     0.016      0.42    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-  -            137 83303at6656          -            284   8.1e-07   24.2   0.4   2   3    0.0025     0.063    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-  -            137 83303at6656          -            284   8.1e-07   24.2   0.4   3   3    0.0033     0.085    7.7   0.0    26    61   101   136    96   137 0.91 -
84925at6656_7394_0:000385|TRINITY_DN79845_c2_g1_i13:127-918|+     -            264 83303at6656          -            284   1.2e-06   23.6   2.5   1   1   2.8e-07   7.1e-06   21.1   1.9    27   148    60   180    48   187 0.78 -
83303at6656_13686_0:00342e|TRINITY_DN75784_c6_g1_i2:2182-2520|-   -            113 83303at6656          -            284   1.4e-06   23.4   0.1   1   1   8.4e-08   2.2e-06   22.8   0.1    32   147     1   112     1   113 0.85 -
83303at6656_246812_0:002e7f|TRINITY_DN80667_c15_g1_i2:176-775|+   -            200 83303at6656          -            284   1.5e-06   23.3   1.6   1   3      0.43        11    0.8   0.0   269   284    16    31    12    31 0.89 -
83303at6656_246812_0:002e7f|TRINITY_DN80667_c15_g1_i2:176-775|+   -            200 83303at6656          -            284   1.5e-06   23.3   1.6   2   3    0.0031     0.079    7.8   0.0    18    63    96   141    88   148 0.90 -
83303at6656_246812_0:002e7f|TRINITY_DN80667_c15_g1_i2:176-775|+   -            200 83303at6656          -            284   1.5e-06   23.3   1.6   3   3    0.0019     0.049    8.5   0.0    29    65   149   185   143   194 0.88 -
83303at6656_6958_0:002cf6|TRINITY_DN83055_c5_g1_i4:495-989|+      -            165 83303at6656          -            284   1.5e-06   23.3   0.5   1   1   2.9e-07   7.5e-06   21.0   0.5    36   143    17   130    12   165 0.71 -
83303at6656_13249_0:0026cd|TRINITY_DN83983_c5_g2_i1:1099-1677|-   -            193 83303at6656          -            284   1.6e-06   23.2   2.2   1   1   1.6e-07   4.1e-06   21.8   2.2    28   148    57   183    27   190 0.76 -
84925at6656_13249_0:0033d4|TRINITY_DN82628_c4_g1_i7:944-1561|+    -            206 83303at6656          -            284   7.4e-06   21.0   2.9   1   3     0.038      0.97    4.2   0.2    39   100    15    74     7   111 0.75 -
84925at6656_13249_0:0033d4|TRINITY_DN82628_c4_g1_i7:944-1561|+    -            206 83303at6656          -            284   7.4e-06   21.0   2.9   2   3     0.025      0.65    4.8   0.0    25    98    84   155    75   159 0.69 -
84925at6656_13249_0:0033d4|TRINITY_DN82628_c4_g1_i7:944-1561|+    -            206 83303at6656          -            284   7.4e-06   21.0   2.9   3   3     6e-06   0.00015   16.7   0.3    27    97   127   197   113   204 0.83 -
83303at6656_88015_0:00425f|TRINITY_DN82468_c10_g1_i3:2435-3130|-  -            232 83303at6656          -            284   7.6e-06   21.0   7.1   1   3   2.1e-05   0.00054   14.9   0.3    29    70    43    85     7    92 0.86 -
83303at6656_88015_0:00425f|TRINITY_DN82468_c10_g1_i3:2435-3130|-  -            232 83303at6656          -            284   7.6e-06   21.0   7.1   2   3     0.013      0.32    5.8   0.6    33    67   104   139   100   148 0.84 -
83303at6656_88015_0:00425f|TRINITY_DN82468_c10_g1_i3:2435-3130|-  -            232 83303at6656          -            284   7.6e-06   21.0   7.1   3   3      0.15       3.9    2.2   0.0   269   284   161   176   143   176 0.82 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|- -            334 83303at6656          -            284   9.7e-06   20.6   0.0   1   5       3.6        94   -2.3   0.0    25    59    27    59    17    68 0.67 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|- -            334 83303at6656          -            284   9.7e-06   20.6   0.0   2   5     0.099       2.5    2.8   0.0   160   190    70    99    38   112 0.79 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|- -            334 83303at6656          -            284   9.7e-06   20.6   0.0   3   5     0.025      0.64    4.8   0.0    27    95   118   186   107   193 0.71 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|- -            334 83303at6656          -            284   9.7e-06   20.6   0.0   4   5    0.0066      0.17    6.7   0.0    31    63   209   241   191   252 0.78 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|- -            334 83303at6656          -            284   9.7e-06   20.6   0.0   5   5       1.8        46   -1.3   0.0   270   284   312   326   293   326 0.84 -
45131at6656_38123_0:000be9|TRINITY_DN71308_c0_g1_i2:400-957|-     -            186 83303at6656          -            284   3.6e-05   18.8   1.7   1   3      0.01      0.26    6.1   0.0     2    95    25   133    24   136 0.69 -
