#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 45131at6656          -            346   3.4e-56  186.2   0.0   1   1   3.5e-57   3.8e-56  186.0   0.0     4   120    61   179    58   179 0.96 -
45131at6656_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+     -            112 45131at6656          -            346   6.8e-43  142.4   1.7   1   2   1.3e-27   1.5e-26   88.7   0.0   256   314     4    62     1    68 0.95 -
45131at6656_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+     -            112 45131at6656          -            346   6.8e-43  142.4   1.7   2   2   7.9e-17   8.9e-16   53.3   0.6   310   346    76   112    69   112 0.92 -
45131at6656_38123_0:000bea|TRINITY_DN74397_c12_g2_i1:120-359|+     -             80 45131at6656          -            346   3.6e-29   97.3   0.1   1   1   3.5e-30   3.9e-29   97.2   0.1   174   245     1    80     1    80 0.91 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-   -            272 45131at6656          -            346   3.5e-22   74.3   3.1   1   3       2.6        29   -1.0   0.0   105   123     1    19     1    29 0.84 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-   -            272 45131at6656          -            346   3.5e-22   74.3   3.1   2   3   6.1e-12   6.8e-11   37.2   1.1    14   121    35   145    29   149 0.83 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-   -            272 45131at6656          -            346   3.5e-22   74.3   3.1   3   3   2.4e-11   2.7e-10   35.3   0.0    44   123   152   233   146   245 0.90 -
83303at6656_218467_0:0012e6|TRINITY_DN92254_c0_g4_i1:101-712|+     -            204 45131at6656          -            346   3.6e-21   71.0   1.3   1   2   1.4e-19   1.6e-18   62.3   0.2    10   130     3   129     1   133 0.90 -
83303at6656_218467_0:0012e6|TRINITY_DN92254_c0_g4_i1:101-712|+     -            204 45131at6656          -            346   3.6e-21   71.0   1.3   2   2     0.013      0.14    6.5   0.1    12    72   139   203   132   204 0.65 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-   -            137 45131at6656          -            346   7.3e-19   63.4   3.2   1   2   5.2e-09   5.8e-08   27.6   0.2    45   120    21    96    10    97 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-   -            137 45131at6656          -            346   7.3e-19   63.4   3.2   2   2   1.2e-13   1.3e-12   42.9   0.3    58   119    77   137    65   137 0.94 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+    -            240 45131at6656          -            346     2e-18   62.0   0.1   1   3   8.5e-13   9.5e-12   40.0   0.1    10   122     2   115     1   137 0.86 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+    -            240 45131at6656          -            346     2e-18   62.0   0.1   2   3    0.0042     0.046    8.2   0.0    60    95   138   176   120   182 0.51 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+    -            240 45131at6656          -            346     2e-18   62.0   0.1   3   3   0.00076    0.0085   10.6   0.0    56   111   184   238   171   240 0.82 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+     -            151 45131at6656          -            346   1.3e-17   59.3   0.1   1   2   5.9e-12   6.5e-11   37.3   0.1    18   124     9    74     1    93 0.60 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+     -            151 45131at6656          -            346   1.3e-17   59.3   0.1   2   2   9.9e-07   1.1e-05   20.1   0.0    61   114    96   148    87   150 0.92 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i6:1174-1824|-   -            217 45131at6656          -            346   1.9e-17   58.8   2.4   1   4         2        22   -0.7   0.0   320   342     4    26     1    30 0.70 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i6:1174-1824|-   -            217 45131at6656          -            346   1.9e-17   58.8   2.4   2   4    0.0021     0.024    9.1   0.7    85   121    36    72    10    79 0.86 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i6:1174-1824|-   -            217 45131at6656          -            346   1.9e-17   58.8   2.4   3   4   1.9e-10   2.1e-09   32.3   0.0    44   118    78   154    71   163 0.83 -
