#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63193at6656_178035_0:001334|TRINITY_DN77971_c23_g1_i2:0-635|+     -            212 63193at6656          -            327     4e-78  258.4   0.0   1   1   3.9e-79   1.6e-77  256.4   0.0   152   327     3   210     1   210 0.90 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+  -            297 63193at6656          -            327   1.1e-68  227.3   0.2   1   2     9e-36   3.6e-34  113.9   0.0    15   185    12   201     1   203 0.83 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+  -            297 63193at6656          -            327   1.1e-68  227.3   0.2   2   2   2.8e-37   1.1e-35  118.9   0.1     3   169   103   295   101   297 0.78 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-    -            329 63193at6656          -            327   9.6e-59  194.7   3.0   1   3   3.6e-24   1.5e-22   75.8   0.0    94   187     2   106     1   119 0.79 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-    -            329 63193at6656          -            327   9.6e-59  194.7   3.0   2   3     4e-24   1.6e-22   75.6   0.3    92   187   124   229   116   240 0.82 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-    -            329 63193at6656          -            327   9.6e-59  194.7   3.0   3   3   4.3e-14   1.7e-12   42.7   0.0    97   163   259   329   249   329 0.66 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+    -            351 63193at6656          -            327   3.6e-55  183.0   1.4   1   3   1.3e-17   5.1e-16   54.3   0.0    96   175     3    88     1   115 0.77 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+    -            351 63193at6656          -            327   3.6e-55  183.0   1.4   2   3   3.5e-22   1.4e-20   69.3   0.1    88   188   120   229   110   242 0.80 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+    -            351 63193at6656          -            327   3.6e-55  183.0   1.4   3   3   1.2e-18     5e-17   57.6   0.0    95   184   250   350   235   351 0.82 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i4:133-438|+    -            102 63193at6656          -            327   1.6e-24   82.3   0.0   1   1   3.9e-26   1.6e-24   82.2   0.0   108   187    11    99     1   102 0.84 -
63193at6656_74869_0:000da1|TRINITY_DN83493_c3_g1_i3:101-610|+     -            170 63193at6656          -            327   2.2e-24   81.8   0.0   1   1   7.4e-25     3e-23   78.1   0.0    94   188     2   108     1   124 0.86 -
63193at6656_104452_0:000511|TRINITY_DN92669_c11_g2_i3:420-842|+   -            141 63193at6656          -            327   6.4e-23   77.0   0.1   1   1   6.1e-24   2.5e-22   75.0   0.0     2   119     9   141     8   141 0.82 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c10_g2_i1:20-223|-    -             68 63193at6656          -            327   2.4e-20   68.5   0.0   1   1   6.2e-22   2.5e-20   68.5   0.0    15    77     3    68     1    68 0.72 -
63193at6656_168631_0:002082|TRINITY_DN77490_c10_g4_i2:945-1211|-  -             89 63193at6656          -            327   4.8e-20   67.5   0.0   1   1   1.3e-21   5.4e-20   67.3   0.0   102   171     1    75     1    81 0.87 -
63193at6656_286306_0:0036dd|TRINITY_DN77971_c18_g1_i1:41-274|+    -             77 63193at6656          -            327   6.1e-20   67.2   0.1   1   1   1.8e-21   7.1e-20   67.0   0.1     2    60    17    77    16    77 0.92 -
63193at6656_168631_0:002082|TRINITY_DN83493_c3_g2_i1:246-639|+    -             95 63193at6656          -            327   7.7e-20   66.8   0.0   1   1     2e-21   8.2e-20   66.8   0.0   101   184     7    95     1    95 0.82 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i1:1980-2693|-   -            238 63193at6656          -            327   8.9e-19   63.4   0.1   1   1   3.5e-20   1.4e-18   62.7   0.1    88   173     5    98     1   121 0.80 -
63193at6656_168631_0:002082|TRINITY_DN93772_c1_g1_i1:4-246|-      -             81 63193at6656          -            327   2.3e-17   58.7   0.1   1   1     6e-19   2.4e-17   58.6   0.1    94   169     1    81     1    81 0.87 -
63193at6656_168631_0:002082|TRINITY_DN88056_c14_g3_i2:600-1019|-  -            140 63193at6656          -            327     3e-16   55.0   0.0   1   1   8.2e-18   3.3e-16   54.9   0.0    95   194     1   106     1   133 0.82 -
