#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54527at6656_294128_0:002acd|TRINITY_DN76475_c5_g3_i1:49-930|-    -            294 54527at6656          -            350  2.6e-117  387.2   0.0   1   1  2.8e-118  1.1e-116  385.2   0.0   110   350     1   292     1   292 0.87 -
54527at6656_13249_0:002cd0|TRINITY_DN76475_c5_g1_i2:104-496|+    -            131 54527at6656          -            350   1.6e-74  246.5   0.1   1   1   4.7e-76   1.8e-74  246.4   0.1     1   117     5   131     5   131 0.95 -
54527at6656_88015_0:001816|TRINITY_DN86583_c11_g1_i3:109-1173|+  -            355 54527at6656          -            350   2.9e-62  206.2   0.0   1   1   9.3e-64   3.6e-62  205.9   0.0     5   330     1   335     1   348 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN89898_c8_g1_i1:2618-3953|-  -            370 54527at6656          -            350   3.4e-56  186.3   0.0   1   1     1e-57     4e-56  186.0   0.0     4   301     1   316     1   356 0.86 -
54527at6656_32264_0:0018ec|TRINITY_DN83555_c2_g1_i12:5-829|-     -            275 54527at6656          -            350   7.8e-53  175.2   0.0   1   1   2.4e-54   9.4e-53  174.9   0.0    67   329     1   272     1   275 0.89 -
54527at6656_116153_0:001375|TRINITY_DN91750_c9_g3_i1:265-1449|+  -            395 54527at6656          -            350   1.9e-35  118.0   0.0   1   2   7.5e-31   2.9e-29   97.7   0.0     4   217     2   213     1   258 0.86 -
54527at6656_116153_0:001375|TRINITY_DN91750_c9_g3_i1:265-1449|+  -            395 54527at6656          -            350   1.9e-35  118.0   0.0   2   2   8.2e-07   3.2e-05   18.6   0.0   253   328   300   371   266   387 0.78 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i1:84-443|-     -            120 54527at6656          -            350   8.3e-35  115.9   0.0   1   1   2.3e-36     9e-35  115.8   0.0    46   160     4   120     1   120 0.93 -
54527at6656_6958_0:002b6d|TRINITY_DN91443_c2_g1_i1:2-376|+       -            125 54527at6656          -            350   1.6e-29   98.5   0.0   1   1   4.5e-31   1.7e-29   98.4   0.0    86   209     3   124     1   125 0.95 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i23:8-364|-     -            119 54527at6656          -            350   1.4e-26   88.8   0.0   1   1   4.1e-28   1.6e-26   88.7   0.0     5   120     1   119     1   119 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN92367_c1_g1_i10:22-300|-    -             93 54527at6656          -            350   5.6e-26   86.9   0.0   1   1   1.6e-27   6.1e-26   86.8   0.0    50   138     1    93     1    93 0.93 -
54527at6656_6958_0:002b6d|TRINITY_DN85904_c1_g1_i8:20-376|+      -            119 54527at6656          -            350     5e-25   83.7   0.0   1   1   1.4e-26   5.5e-25   83.6   0.0    94   212     2   118     1   119 0.97 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i1:149-1207|+ -            353 54527at6656          -            350   5.4e-20   67.2   0.0   1   3     8e-06   0.00031   15.4   0.0     3    37     7    41     5    46 0.92 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i1:149-1207|+ -            353 54527at6656          -            350   5.4e-20   67.2   0.0   2   3   2.4e-11   9.4e-10   33.5   0.0    77   198    61   180    51   203 0.89 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i1:149-1207|+ -            353 54527at6656          -            350   5.4e-20   67.2   0.0   3   3   1.2e-05   0.00045   14.8   0.0   253   300   271   318   248   350 0.70 -
54527at6656_13249_0:002cd0|TRINITY_DN87965_c9_g1_i1:35-478|+     -            148 54527at6656          -            350   1.7e-19   65.6   0.0   1   1   4.9e-21   1.9e-19   65.4   0.0     2   149     2   148     1   148 0.90 -
54527at6656_72036_0:00205e|TRINITY_DN80721_c7_g1_i4:1166-2620|-  -            353 54527at6656          -            350   5.7e-19   63.8   0.1   1   1   1.8e-20     7e-19   63.5   0.1     6   318     2   316     1   342 0.75 -
54527at6656_7070_0:000d29|TRINITY_DN86232_c5_g3_i6:1828-2940|+   -            371 54527at6656          -            350   9.3e-19   63.1   0.0   1   1   1.9e-18   7.4e-17   56.9   0.0     6   297     2   320     1   338 0.74 -
54527at6656_6973_0:00155a|TRINITY_DN83555_c0_g1_i1:11-346|-      -            112 54527at6656          -            350   1.4e-15   52.7   0.0   1   1   3.5e-17   1.4e-15   52.7   0.0   123   222     1    97     1   112 0.88 -
54527at6656_72036_0:00205e|TRINITY_DN84603_c13_g1_i2:1414-2130|- -            239 54527at6656          -            350   4.9e-15   50.9   0.0   1   1   1.5e-16   5.6e-15   50.7   0.0     4   219     2   225     1   237 0.81 -
54527at6656_13249_0:002cd1|TRINITY_DN77833_c3_g1_i6:38-421|+     -            128 54527at6656          -            350   1.2e-12   43.0   0.0   1   1   3.6e-14   1.4e-12   42.8   0.0   235   332     4   101     1   115 0.82 -
54527at6656_6973_0:00155a|TRINITY_DN87347_c1_g1_i2:2-322|+       -            107 54527at6656          -            350   4.9e-09   31.2   0.0   1   1   1.3e-10   5.1e-09   31.1   0.0   151   239     1    88     1   104 0.81 -
54527at6656_13249_0:002cd1|TRINITY_DN75674_c0_g1_i10:1-381|-     -            127 54527at6656          -            350     3e-07   25.3   0.0   1   1   9.3e-09   3.6e-07   25.0   0.0   172   278     3   127     1   127 0.77 -
54527at6656_6958_0:000dd0|TRINITY_DN83090_c0_g1_i1:60-209|-      -             50 54527at6656          -            350    0.0011   13.6   0.0   1   1   2.9e-05    0.0011   13.6   0.0   305   341     2    41     1    46 0.85 -
54527at6656_6958_0:000dd0|TRINITY_DN92997_c1_g1_i1:74-268|-      -             65 54527at6656          -            350    0.0026   12.3   0.0   1   1   6.7e-05    0.0026   12.3   0.0   298   332    10    44     1    59 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/54527at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/rerun_results/54527at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/54527at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:28:08 2026
# [ok]
