#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
81292at6656_407821_0:004d4f|TRINITY_DN81046_c10_g2_i1:65-475|+    -            137 81292at6656          -            249   9.6e-64  210.8   0.7   1   1   3.7e-65   1.3e-63  210.4   0.7     1   122     1   137     1   137 0.94 -
81292at6656_108931_0:0028ae|TRINITY_DN81417_c5_g3_i5:532-990|+    -            153 81292at6656          -            249   4.9e-46  152.8   0.2   1   1   1.8e-47     6e-46  152.5   0.2   124   249    10   152     4   152 0.86 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-   -            278 81292at6656          -            249   3.3e-21   71.5   1.0   1   4   2.6e-06   8.8e-05   17.7   0.1    26    64    12    62     1    78 0.78 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-   -            278 81292at6656          -            249   3.3e-21   71.5   1.0   2   4   1.5e-07   5.1e-06   21.7   0.0   129   203    49   129    37   145 0.78 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-   -            278 81292at6656          -            249   3.3e-21   71.5   1.0   3   4   7.8e-07   2.6e-05   19.4   0.0   135   202   147   220   130   225 0.75 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-   -            278 81292at6656          -            249   3.3e-21   71.5   1.0   4   4   1.7e-05   0.00057   15.0   0.1    40    65   224   247   220   274 0.88 -
81292at6656_32264_0:0012da|TRINITY_DN89514_c10_g1_i3:211-1095|+   -            295 81292at6656          -            249   2.2e-17   59.0  10.7   1   5    0.0028     0.094    7.7   0.0   174   204     3    33     1    39 0.89 -
81292at6656_32264_0:0012da|TRINITY_DN89514_c10_g1_i3:211-1095|+   -            295 81292at6656          -            249   2.2e-17   59.0  10.7   2   5   0.00073     0.025    9.6   0.2    40    63    38    63    32    69 0.88 -
81292at6656_32264_0:0012da|TRINITY_DN89514_c10_g1_i3:211-1095|+   -            295 81292at6656          -            249   2.2e-17   59.0  10.7   3   5   0.00092     0.031    9.3   0.1   170   204   100   134    68   144 0.77 -
81292at6656_32264_0:0012da|TRINITY_DN89514_c10_g1_i3:211-1095|+   -            295 81292at6656          -            249   2.2e-17   59.0  10.7   4   5   1.9e-08   6.3e-07   24.7   0.4    42    86   145   191   138   199 0.92 -
81292at6656_32264_0:0012da|TRINITY_DN89514_c10_g1_i3:211-1095|+   -            295 81292at6656          -            249   2.2e-17   59.0  10.7   5   5    0.0002    0.0068   11.5   0.0    14    88   210   290   202   294 0.83 -
81292at6656_1155016_0:002c93|TRINITY_DN78428_c7_g3_i2:2846-3628|- -            261 81292at6656          -            249   3.8e-17   58.2   0.1   1   2   5.1e-15   1.7e-13   46.2   0.0    27   213     1   215     1   224 0.81 -
81292at6656_1155016_0:002c93|TRINITY_DN78428_c7_g3_i2:2846-3628|- -            261 81292at6656          -            249   3.8e-17   58.2   0.1   2   2   0.00026     0.009   11.1   0.1   121   162   218   260   211   261 0.83 -
81292at6656_116153_0:000ae2|TRINITY_DN90278_c7_g1_i2:188-1230|+   -            245 81292at6656          -            249   2.6e-14   48.9   1.9   1   4   2.4e-07     8e-06   21.1   0.0    27    74     2    60     1    80 0.77 -
81292at6656_116153_0:000ae2|TRINITY_DN90278_c7_g1_i2:188-1230|+   -            245 81292at6656          -            249   2.6e-14   48.9   1.9   2   4     0.011      0.36    5.8   0.0   170   199    82   113    59   126 0.81 -
81292at6656_116153_0:000ae2|TRINITY_DN90278_c7_g1_i2:188-1230|+   -            245 81292at6656          -            249   2.6e-14   48.9   1.9   3   4    0.0011     0.036    9.1   0.0   168   200   175   207   133   213 0.69 -
81292at6656_116153_0:000ae2|TRINITY_DN90278_c7_g1_i2:188-1230|+   -            245 81292at6656          -            249   2.6e-14   48.9   1.9   4   4   0.00047     0.016   10.3   0.1    40    58   214   232   207   240 0.85 -
81292at6656_35570_0:002bab|TRINITY_DN74614_c4_g1_i5:574-1392|-    -            273 81292at6656          -            249     5e-14   47.9   3.9   1   3   5.2e-05    0.0018   13.4   0.1    21   122     2   120     1   122 0.81 -
81292at6656_35570_0:002bab|TRINITY_DN74614_c4_g1_i5:574-1392|-    -            273 81292at6656          -            249     5e-14   47.9   3.9   2   3   9.6e-05    0.0033   12.5   0.0    42    64   123   147   117   154 0.87 -
81292at6656_35570_0:002bab|TRINITY_DN74614_c4_g1_i5:574-1392|-    -            273 81292at6656          -            249     5e-14   47.9   3.9   3   3   1.6e-06   5.4e-05   18.4   0.6   139   205   144   220   142   273 0.78 -
81292at6656_34740_0:002d6f|TRINITY_DN79539_c7_g1_i4:244-981|-     -            246 81292at6656          -            249   7.9e-13   44.0   0.0   1   1   1.1e-13   3.6e-12   41.9   0.0    44   218     1   199     1   220 0.75 -
81292at6656_35570_0:002bab|TRINITY_DN74440_c10_g1_i1:241-1053|+   -            271 81292at6656          -            249   1.5e-11   39.9   2.4   1   4   2.8e-07   9.3e-06   20.9   0.1    19    63     2    58     1    61 0.76 -
81292at6656_35570_0:002bab|TRINITY_DN74440_c10_g1_i1:241-1053|+   -            271 81292at6656          -            249   1.5e-11   39.9   2.4   2   4   7.7e-05    0.0026   12.8   0.0   138   206    55   125    52   156 0.80 -
81292at6656_35570_0:002bab|TRINITY_DN74440_c10_g1_i1:241-1053|+   -            271 81292at6656          -            249   1.5e-11   39.9   2.4   3   4      0.13       4.5    2.2   0.1    84   114   182   212   160   241 0.71 -
81292at6656_35570_0:002bab|TRINITY_DN74440_c10_g1_i1:241-1053|+   -            271 81292at6656          -            249   1.5e-11   39.9   2.4   4   4      0.17       5.6    1.9   0.2    40    65   224   251   221   271 0.78 -
81292at6656_34638_0:000b66|TRINITY_DN79679_c10_g1_i1:435-989|-    -            185 81292at6656          -            249     2e-11   39.4   0.4   1   3   3.6e-09   1.2e-07   27.0   0.2    14    72    10    73     2    93 0.78 -
81292at6656_34638_0:000b66|TRINITY_DN79679_c10_g1_i1:435-989|-    -            185 81292at6656          -            249     2e-11   39.4   0.4   2   3   2.2e-05   0.00076   14.6   0.1   135   223    58   155    58   162 0.71 -
81292at6656_34638_0:000b66|TRINITY_DN79679_c10_g1_i1:435-989|-    -            185 81292at6656          -            249     2e-11   39.4   0.4   3   3   0.00086     0.029    9.4   0.0    20    65   111   168   103   183 0.57 -
67583at6656_568069_0:002b9a|TRINITY_DN80251_c5_g1_i5:1154-1885|-  -            244 81292at6656          -            249   2.6e-11   39.0   0.4   1   1   8.4e-12   2.8e-10   35.7   0.4    25   207    13   209     8   221 0.69 -
81292at6656_6945_0:004cd0|TRINITY_DN88941_c16_g3_i1:1162-1959|-   -            266 81292at6656          -            249   9.9e-10   33.9   0.4   1   3   5.4e-05    0.0018   13.3   0.1    39    64    26    53     2    61 0.80 -
81292at6656_6945_0:004cd0|TRINITY_DN88941_c16_g3_i1:1162-1959|-   -            266 81292at6656          -            249   9.9e-10   33.9   0.4   2   3     0.027       0.9    4.5   0.0   175   203    93   121    83   128 0.74 -
81292at6656_6945_0:004cd0|TRINITY_DN88941_c16_g3_i1:1162-1959|-   -            266 81292at6656          -            249   9.9e-10   33.9   0.4   3   3   0.00023    0.0078   11.3   0.0   134   200   143   217   126   223 0.75 -
81292at6656_535359_0:00120a|TRINITY_DN86645_c3_g1_i1:445-1230|+   -            262 81292at6656          -            249   1.7e-09   33.1   3.7   1   3    0.0062      0.21    6.6   0.0   179   200     2    23     1    29 0.89 -
81292at6656_535359_0:00120a|TRINITY_DN86645_c3_g1_i1:445-1230|+   -            262 81292at6656          -            249   1.7e-09   33.1   3.7   2   3    0.0025     0.083    7.9   0.1    20    59    96   138    88   146 0.78 -
81292at6656_535359_0:00120a|TRINITY_DN86645_c3_g1_i1:445-1230|+   -            262 81292at6656          -            249   1.7e-09   33.1   3.7   3   3   2.2e-06   7.5e-05   17.9   0.1   150   240   154   261   139   262 0.73 -
81292at6656_69319_0:001c43|TRINITY_DN82216_c10_g1_i1:221-916|+    -            232 81292at6656          -            249   1.8e-08   29.7   0.3   1   3   3.2e-05    0.0011   14.1   0.0    27    66     1    50     1    76 0.87 -
81292at6656_69319_0:001c43|TRINITY_DN82216_c10_g1_i1:221-916|+    -            232 81292at6656          -            249   1.8e-08   29.7   0.3   2   3       0.2       6.9    1.6   0.0    90   140   122   171    92   174 0.65 -
81292at6656_69319_0:001c43|TRINITY_DN82216_c10_g1_i1:221-916|+    -            232 81292at6656          -            249   1.8e-08   29.7   0.3   3   3   0.00035     0.012   10.7   0.0    31    58   201   232   189   232 0.89 -
81292at6656_438502_0:001ba2|TRINITY_DN80054_c5_g1_i4:3331-4092|-  -            254 81292at6656          -            249     2e-08   29.6   5.5   1   4      0.11       3.6    2.5   0.0   188   202     2    16     1    37 0.84 -
81292at6656_438502_0:001ba2|TRINITY_DN80054_c5_g1_i4:3331-4092|-  -            254 81292at6656          -            249     2e-08   29.6   5.5   2   4      0.14       4.9    2.1   0.0   169   206    85   123    23   129 0.63 -
81292at6656_438502_0:001ba2|TRINITY_DN80054_c5_g1_i4:3331-4092|-  -            254 81292at6656          -            249     2e-08   29.6   5.5   3   4   0.00027    0.0092   11.0   0.2    35   114   123   215   111   223 0.71 -
81292at6656_438502_0:001ba2|TRINITY_DN80054_c5_g1_i4:3331-4092|-  -            254 81292at6656          -            249     2e-08   29.6   5.5   4   4   7.4e-06   0.00025   16.2   0.6    18    63   206   254   190   254 0.66 -
81292at6656_568069_0:000c6b|TRINITY_DN85484_c11_g1_i2:608-1111|+  -            168 81292at6656          -            249   2.8e-08   29.1   0.9   1   2   2.7e-05   0.00092   14.3   0.4    23    88     3    76     1    80 0.83 -
81292at6656_568069_0:000c6b|TRINITY_DN85484_c11_g1_i2:608-1111|+  -            168 81292at6656          -            249   2.8e-08   29.1   0.9   2   2   6.1e-05    0.0021   13.2   0.0    20    80   101   167    90   168 0.75 -
81292at6656_13037_0:00399f|TRINITY_DN91862_c5_g2_i1:297-1034|-    -            246 81292at6656          -            249   2.1e-07   26.2   0.3   1   4   0.00083     0.028    9.4   0.0   180   205     2    27     1    70 0.66 -
81292at6656_13037_0:00399f|TRINITY_DN91862_c5_g2_i1:297-1034|-    -            246 81292at6656          -            249   2.1e-07   26.2   0.3   2   4     0.095       3.2    2.7   0.0    42    63   127   150   122   181 0.72 -
81292at6656_13037_0:00399f|TRINITY_DN91862_c5_g2_i1:297-1034|-    -            246 81292at6656          -            249   2.1e-07   26.2   0.3   3   4    0.0056      0.19    6.7   0.1   170   201   186   217   158   222 0.87 -
81292at6656_13037_0:00399f|TRINITY_DN91862_c5_g2_i1:297-1034|-    -            246 81292at6656          -            249   2.1e-07   26.2   0.3   4   4     0.001     0.034    9.2   0.1    15    58   190   241   187   244 0.79 -
81292at6656_246812_0:0006c9|TRINITY_DN82893_c7_g2_i1:655-1176|+   -            174 81292at6656          -            249   2.5e-07   26.0   0.0   1   2   8.7e-07   2.9e-05   19.2   0.0   137   204    52   127     1   129 0.70 -
81292at6656_246812_0:0006c9|TRINITY_DN82893_c7_g2_i1:655-1176|+   -            174 81292at6656          -            249   2.5e-07   26.0   0.0   2   2     0.013      0.45    5.5   0.0    42    64   128   152   126   166 0.86 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+    -            211 81292at6656          -            249   4.9e-07   25.0   3.3   1   4    0.0027     0.091    7.8   0.3    42    63    26    49     1    77 0.75 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+    -            211 81292at6656          -            249   4.9e-07   25.0   3.3   2   4    0.0016     0.053    8.6   0.1   169   204    83   118    65   138 0.82 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+    -            211 81292at6656          -            249   4.9e-07   25.0   3.3   3   4      0.27       9.1    1.2   0.0    44    64   122   144   116   172 0.85 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+    -            211 81292at6656          -            249   4.9e-07   25.0   3.3   4   4     0.011      0.36    5.8   0.0   170   202   179   211   160   211 0.80 -
81292at6656_7038_0:001f42|TRINITY_DN83450_c8_g1_i2:1065-1853|-    -            263 81292at6656          -            249   2.4e-06   22.8   0.7   1   4     0.023      0.78    4.7   0.1    31    63     1    38     1    65 0.86 -
81292at6656_7038_0:001f42|TRINITY_DN83450_c8_g1_i2:1065-1853|-    -            263 81292at6656          -            249   2.4e-06   22.8   0.7   2   4     0.022      0.75    4.8   0.0   136   210    33   118    32   136 0.59 -
81292at6656_7038_0:001f42|TRINITY_DN83450_c8_g1_i2:1065-1853|-    -            263 81292at6656          -            249   2.4e-06   22.8   0.7   3   4   0.00038     0.013   10.6   0.1    90   127   183   220    91   238 0.58 -
81292at6656_7038_0:001f42|TRINITY_DN83450_c8_g1_i2:1065-1853|-    -            263 81292at6656          -            249   2.4e-06   22.8   0.7   4   4   0.00033     0.011   10.7   0.0    25    70   196   245   190   263 0.74 -
81292at6656_34740_0:002d6f|TRINITY_DN84964_c12_g2_i3:1094-1813|-  -            240 81292at6656          -            249     3e-06   22.5   0.7   1   2     6e-05     0.002   13.2   0.0   177   241    14    88     6    94 0.72 -
81292at6656_34740_0:002d6f|TRINITY_DN84964_c12_g2_i3:1094-1813|-  -            240 81292at6656          -            249     3e-06   22.5   0.7   2   2     0.031         1    4.3   0.1   170   199   200   229   193   236 0.79 -
81292at6656_13164_0:003717|TRINITY_DN85102_c0_g2_i1:1012-1755|-   -            248 81292at6656          -            249     1e-05   20.7   0.2   1   3   0.00078     0.026    9.5   0.0    24    64     6    51     1    76 0.78 -
81292at6656_13164_0:003717|TRINITY_DN85102_c0_g2_i1:1012-1755|-   -            248 81292at6656          -            249     1e-05   20.7   0.2   2   3     0.017      0.57    5.2   0.0    14    64    93   148    86   176 0.76 -
81292at6656_13164_0:003717|TRINITY_DN85102_c0_g2_i1:1012-1755|-   -            248 81292at6656          -            249     1e-05   20.7   0.2   3   3      0.08       2.7    3.0   0.0   169   219   190   240   172   248 0.80 -
81292at6656_438503_0:001cfc|TRINITY_DN93074_c5_g1_i1:0-248|-      -             83 81292at6656          -            249     2e-05   19.7   0.1   1   1   7.5e-07   2.5e-05   19.4   0.1    27    69     4    57     1    78 0.75 -
81292at6656_38123_0:002b39|TRINITY_DN81187_c5_g1_i3:863-1123|-    -             87 81292at6656          -            249   0.00011   17.3   0.0   1   1   3.6e-06   0.00012   17.2   0.0    29    88     2    68     1    86 0.79 -
81292at6656_166361_0:000e63|TRINITY_DN87015_c16_g1_i4:505-1092|+  -            196 81292at6656          -            249    0.0062   11.6   0.1   1   2     0.024      0.82    4.7   0.0   136   203     7    80     3   128 0.72 -
81292at6656_166361_0:000e63|TRINITY_DN87015_c16_g1_i4:505-1092|+  -            196 81292at6656          -            249    0.0062   11.6   0.1   2   2     0.019      0.65    5.0   0.0    25    47   156   178   144   194 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
