knockdown_PmSTAT-UP	WSSV_infection-UP
TRINITY_DN82883_c0_g3	TRINITY_DN92506_c6_g1
TRINITY_DN82883_c0_g1	TRINITY_DN89641_c5_g1
TRINITY_DN77976_c6_g1	TRINITY_DN72297_c9_g1
TRINITY_DN80047_c2_g1	TRINITY_DN76831_c11_g2
TRINITY_DN77616_c8_g1	TRINITY_DN92378_c1_g2
TRINITY_DN89789_c6_g1	TRINITY_DN92810_c0_g2
TRINITY_DN77616_c8_g2	TRINITY_DN89641_c0_g1
TRINITY_DN89789_c6_g2	TRINITY_DN93288_c11_g1
TRINITY_DN73905_c0_g1	TRINITY_DN92853_c0_g2
TRINITY_DN93103_c3_g1	TRINITY_DN81092_c8_g1
TRINITY_DN81856_c6_g1	TRINITY_DN72369_c2_g1
TRINITY_DN81261_c7_g2	TRINITY_DN89641_c2_g1
TRINITY_DN85452_c1_g1	TRINITY_DN82818_c2_g1
TRINITY_DN81856_c6_g2	TRINITY_DN84095_c9_g1
TRINITY_DN87838_c1_g5	TRINITY_DN93288_c12_g1
TRINITY_DN80230_c7_g1	TRINITY_DN90218_c9_g1
TRINITY_DN76464_c11_g1	TRINITY_DN93288_c13_g1
TRINITY_DN81856_c5_g1	TRINITY_DN91975_c1_g1
TRINITY_DN81856_c6_g3	TRINITY_DN72302_c3_g1
TRINITY_DN85834_c3_g1	TRINITY_DN77007_c2_g1
TRINITY_DN86818_c0_g1	TRINITY_DN86840_c3_g1
TRINITY_DN90492_c0_g1	TRINITY_DN86840_c1_g1
TRINITY_DN93113_c0_g1	TRINITY_DN87781_c12_g1
TRINITY_DN91452_c4_g1	TRINITY_DN90515_c1_g1
TRINITY_DN84610_c3_g1	TRINITY_DN83954_c7_g1
TRINITY_DN81856_c5_g3	TRINITY_DN91982_c2_g1
TRINITY_DN71749_c8_g8	TRINITY_DN92721_c14_g5
TRINITY_DN65722_c0_g1	TRINITY_DN86840_c2_g1
TRINITY_DN89600_c0_g1	TRINITY_DN84453_c15_g1
	TRINITY_DN93399_c3_g1
	TRINITY_DN72302_c3_g2
	TRINITY_DN83136_c13_g1
	TRINITY_DN93025_c5_g3
	TRINITY_DN91050_c6_g3
	TRINITY_DN86840_c4_g1
	TRINITY_DN93288_c11_g2
	TRINITY_DN85878_c16_g2
	TRINITY_DN75179_c3_g5
	TRINITY_DN71712_c13_g1
	TRINITY_DN72479_c9_g3
	TRINITY_DN76218_c9_g2
	TRINITY_DN93174_c0_g1
	TRINITY_DN90125_c11_g2
	TRINITY_DN91050_c5_g1
	TRINITY_DN80356_c8_g1
	TRINITY_DN71414_c21_g1
	TRINITY_DN77025_c11_g4
	TRINITY_DN77224_c1_g1
	TRINITY_DN76180_c10_g1
	TRINITY_DN81098_c13_g1
	TRINITY_DN75179_c4_g1
	TRINITY_DN79912_c9_g1
	TRINITY_DN73052_c14_g1
	TRINITY_DN80356_c4_g1
	TRINITY_DN87286_c10_g1
	TRINITY_DN91050_c5_g2
	TRINITY_DN91050_c6_g4
	TRINITY_DN86459_c10_g1
	TRINITY_DN69702_c0_g1
	TRINITY_DN91505_c3_g1
	TRINITY_DN86840_c7_g1
	TRINITY_DN77025_c11_g2
	TRINITY_DN91050_c5_g5
	TRINITY_DN91273_c9_g2
	TRINITY_DN88085_c7_g1
	TRINITY_DN72803_c1_g1
	TRINITY_DN91050_c9_g1
	TRINITY_DN73096_c6_g1
	TRINITY_DN72803_c1_g2
	TRINITY_DN75179_c3_g2
	TRINITY_DN90134_c4_g1
	TRINITY_DN81998_c5_g2
	TRINITY_DN90515_c2_g1
	TRINITY_DN76458_c10_g1
	TRINITY_DN72398_c10_g2
	TRINITY_DN85095_c2_g2
	TRINITY_DN75179_c3_g1
	TRINITY_DN78394_c14_g1
	TRINITY_DN85290_c15_g2
	TRINITY_DN89752_c3_g2
	TRINITY_DN75179_c3_g6
	TRINITY_DN92853_c0_g1
	TRINITY_DN70994_c1_g1
	TRINITY_DN90969_c13_g3
	TRINITY_DN93681_c8_g1
	TRINITY_DN77007_c3_g1
	TRINITY_DN76545_c9_g1
	TRINITY_DN72763_c1_g3
	TRINITY_DN77007_c1_g1
	TRINITY_DN85095_c2_g1
	TRINITY_DN86171_c2_g5
	TRINITY_DN90168_c7_g1
	TRINITY_DN91775_c10_g1
	TRINITY_DN76457_c5_g1
	TRINITY_DN83886_c9_g1
	TRINITY_DN75949_c10_g1
	TRINITY_DN88499_c6_g1
	TRINITY_DN90447_c9_g1
	TRINITY_DN91050_c1_g1
	TRINITY_DN81250_c1_g1
	TRINITY_DN91273_c9_g6
	TRINITY_DN90447_c9_g2
	TRINITY_DN90125_c11_g1
	TRINITY_DN75949_c4_g2
	TRINITY_DN72591_c1_g1
	TRINITY_DN75179_c5_g1
	TRINITY_DN79044_c3_g1
	TRINITY_DN86412_c1_g2
	TRINITY_DN81092_c8_g2
	TRINITY_DN77350_c12_g1
	TRINITY_DN77224_c2_g1
	TRINITY_DN85861_c9_g1
	TRINITY_DN93344_c5_g10
	TRINITY_DN72763_c2_g1
	TRINITY_DN75179_c2_g1
	TRINITY_DN90134_c4_g4
	TRINITY_DN76955_c3_g1
	TRINITY_DN89316_c6_g2
	TRINITY_DN75179_c8_g1
	TRINITY_DN90491_c7_g1
	TRINITY_DN90565_c0_g3
	TRINITY_DN93344_c4_g10
	TRINITY_DN75179_c3_g4
	TRINITY_DN78747_c0_g2
	TRINITY_DN78526_c5_g1
	TRINITY_DN76399_c10_g1
	TRINITY_DN74993_c15_g3
	TRINITY_DN91330_c6_g2
	TRINITY_DN72734_c3_g1
	TRINITY_DN77971_c18_g1
	TRINITY_DN86171_c3_g1
	TRINITY_DN74035_c8_g3
	TRINITY_DN75179_c3_g3
	TRINITY_DN81387_c14_g1
	TRINITY_DN81713_c7_g1
	TRINITY_DN91691_c9_g1
	TRINITY_DN88490_c2_g1
	TRINITY_DN85095_c3_g1
	TRINITY_DN93681_c7_g1
	TRINITY_DN91467_c15_g1
	TRINITY_DN78468_c9_g2
	TRINITY_DN85393_c11_g1
	TRINITY_DN90117_c3_g1
	TRINITY_DN86161_c9_g1
	TRINITY_DN93344_c7_g1
	TRINITY_DN74601_c17_g2
	TRINITY_DN85095_c2_g4
	TRINITY_DN91154_c2_g1
	TRINITY_DN85417_c2_g1
	TRINITY_DN91852_c8_g2
	TRINITY_DN85596_c1_g1
	TRINITY_DN77971_c23_g1
	TRINITY_DN92200_c12_g3
	TRINITY_DN86171_c2_g3
	TRINITY_DN79044_c5_g1
	TRINITY_DN93344_c5_g2
	TRINITY_DN77224_c1_g2
	TRINITY_DN93344_c6_g1
	TRINITY_DN73052_c14_g3
	TRINITY_DN82828_c13_g1
	TRINITY_DN93344_c5_g7
	TRINITY_DN91298_c10_g1
	TRINITY_DN92598_c7_g1
	TRINITY_DN92499_c2_g6
	TRINITY_DN90734_c9_g6
	TRINITY_DN73748_c12_g1
	TRINITY_DN83804_c8_g1
	TRINITY_DN88570_c5_g2
	TRINITY_DN74861_c6_g6
	TRINITY_DN91105_c5_g4
	TRINITY_DN91374_c4_g1
	TRINITY_DN74482_c13_g1
	TRINITY_DN75481_c2_g1
	TRINITY_DN75194_c5_g3
	TRINITY_DN93714_c3_g3
	TRINITY_DN84857_c9_g2
	TRINITY_DN93155_c5_g5
	TRINITY_DN91470_c4_g1
	TRINITY_DN91649_c4_g5
	TRINITY_DN80803_c3_g1
	TRINITY_DN73011_c13_g3
	TRINITY_DN93012_c8_g1
	TRINITY_DN91691_c7_g1
