knockdown_PmSTAT-UP	WSSV_infection-UP
TRINITY_DN82883_c0_g3	TRINITY_DN92506_c6_g1
TRINITY_DN82883_c0_g1	TRINITY_DN72297_c9_g1
TRINITY_DN77976_c6_g1	TRINITY_DN92378_c1_g2
TRINITY_DN77616_c8_g1	TRINITY_DN76831_c11_g2
TRINITY_DN80047_c2_g1	TRINITY_DN89641_c5_g1
TRINITY_DN88813_c4_g1	TRINITY_DN90218_c9_g1
TRINITY_DN77616_c8_g2	TRINITY_DN92853_c0_g2
TRINITY_DN93103_c3_g1	TRINITY_DN81092_c8_g1
TRINITY_DN89789_c6_g2	TRINITY_DN92810_c0_g2
TRINITY_DN89789_c6_g1	TRINITY_DN93288_c11_g1
TRINITY_DN80230_c7_g1	TRINITY_DN91975_c1_g1
TRINITY_DN81261_c7_g2	TRINITY_DN89641_c2_g1
TRINITY_DN85452_c1_g1	TRINITY_DN89641_c0_g1
TRINITY_DN81856_c6_g1	TRINITY_DN84453_c15_g1
TRINITY_DN76464_c11_g1	TRINITY_DN93288_c12_g1
TRINITY_DN83287_c4_g1	TRINITY_DN87781_c12_g1
TRINITY_DN81856_c6_g2	TRINITY_DN86840_c1_g1
TRINITY_DN86818_c0_g1	TRINITY_DN93288_c13_g1
TRINITY_DN71749_c8_g8	TRINITY_DN83954_c7_g1
	TRINITY_DN92721_c14_g5
	TRINITY_DN84095_c9_g1
	TRINITY_DN90515_c1_g1
	TRINITY_DN82818_c2_g1
	TRINITY_DN72369_c2_g1
	TRINITY_DN72302_c3_g1
	TRINITY_DN93399_c3_g1
	TRINITY_DN76218_c9_g2
	TRINITY_DN77007_c2_g1
	TRINITY_DN86840_c3_g1
	TRINITY_DN93025_c5_g3
	TRINITY_DN91982_c2_g1
	TRINITY_DN83136_c13_g1
	TRINITY_DN71712_c13_g1
	TRINITY_DN91050_c6_g3
	TRINITY_DN93288_c11_g2
	TRINITY_DN85878_c16_g2
	TRINITY_DN90125_c11_g2
	TRINITY_DN93174_c0_g1
	TRINITY_DN72302_c3_g2
	TRINITY_DN93344_c4_g10
	TRINITY_DN77025_c11_g4
	TRINITY_DN91050_c5_g1
	TRINITY_DN76180_c10_g1
	TRINITY_DN79912_c9_g1
	TRINITY_DN80356_c8_g1
	TRINITY_DN81098_c13_g1
	TRINITY_DN91050_c5_g2
	TRINITY_DN72479_c9_g3
	TRINITY_DN75179_c4_g1
	TRINITY_DN75179_c3_g5
	TRINITY_DN86840_c4_g1
	TRINITY_DN86840_c7_g1
	TRINITY_DN80356_c4_g1
	TRINITY_DN91050_c6_g4
	TRINITY_DN90134_c4_g1
	TRINITY_DN69702_c0_g1
	TRINITY_DN86459_c10_g1
	TRINITY_DN87286_c10_g1
	TRINITY_DN91273_c9_g2
	TRINITY_DN77025_c11_g2
	TRINITY_DN86840_c2_g1
	TRINITY_DN86171_c2_g5
	TRINITY_DN76545_c9_g1
	TRINITY_DN91050_c9_g1
	TRINITY_DN77224_c1_g1
	TRINITY_DN75179_c3_g2
	TRINITY_DN73096_c6_g1
	TRINITY_DN89752_c3_g2
	TRINITY_DN91775_c10_g1
	TRINITY_DN72803_c1_g1
	TRINITY_DN78394_c14_g1
	TRINITY_DN77350_c12_g1
	TRINITY_DN72398_c10_g2
	TRINITY_DN91273_c9_g6
	TRINITY_DN76458_c10_g1
	TRINITY_DN81998_c5_g2
	TRINITY_DN91050_c1_g1
	TRINITY_DN75179_c3_g6
	TRINITY_DN89641_c6_g1
	TRINITY_DN91050_c5_g5
	TRINITY_DN71414_c21_g1
	TRINITY_DN81092_c8_g2
	TRINITY_DN85861_c9_g1
	TRINITY_DN85290_c15_g2
	TRINITY_DN75179_c3_g1
	TRINITY_DN75179_c8_g1
	TRINITY_DN88085_c7_g1
	TRINITY_DN90125_c11_g1
	TRINITY_DN90515_c2_g1
	TRINITY_DN70994_c1_g1
	TRINITY_DN75179_c5_g1
	TRINITY_DN85095_c2_g2
	TRINITY_DN85393_c11_g1
	TRINITY_DN90447_c9_g2
	TRINITY_DN93344_c5_g2
	TRINITY_DN81387_c14_g1
	TRINITY_DN75179_c2_g1
	TRINITY_DN75179_c3_g4
	TRINITY_DN91505_c3_g1
	TRINITY_DN90447_c9_g1
	TRINITY_DN74482_c13_g1
	TRINITY_DN91374_c4_g1
