knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN88471_c2_g3	TRINITY_DN76831_c11_g2
TRINITY_DN81229_c3_g1	TRINITY_DN89641_c0_g1
TRINITY_DN81229_c1_g1	TRINITY_DN92810_c0_g2
TRINITY_DN89789_c6_g2	TRINITY_DN93288_c12_g1
TRINITY_DN80418_c10_g1	TRINITY_DN89641_c5_g1
TRINITY_DN81229_c4_g1	TRINITY_DN89641_c2_g1
TRINITY_DN88471_c2_g1	TRINITY_DN72297_c9_g1
TRINITY_DN88471_c2_g2	TRINITY_DN88490_c2_g1
TRINITY_DN81229_c2_g1	TRINITY_DN83136_c13_g1
TRINITY_DN82695_c4_g1	TRINITY_DN92810_c0_g1
TRINITY_DN88471_c1_g1	TRINITY_DN92524_c15_g1
TRINITY_DN89789_c6_g1	TRINITY_DN90125_c11_g2
TRINITY_DN88471_c2_g4	TRINITY_DN76180_c10_g1
TRINITY_DN87001_c10_g1	
TRINITY_DN75844_c7_g4	
TRINITY_DN75844_c7_g3	
TRINITY_DN79658_c9_g2	
