knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN88085_c8_g1	TRINITY_DN93681_c7_g1
TRINITY_DN78644_c14_g3	TRINITY_DN90515_c1_g1
TRINITY_DN89600_c0_g1	TRINITY_DN89641_c0_g1
TRINITY_DN72829_c0_g1	TRINITY_DN90225_c1_g1
TRINITY_DN74429_c11_g3	TRINITY_DN93288_c12_g1
TRINITY_DN90492_c0_g1	TRINITY_DN77075_c3_g1
TRINITY_DN87024_c0_g1	TRINITY_DN89982_c0_g1
TRINITY_DN92998_c1_g2	TRINITY_DN85970_c0_g1
TRINITY_DN86973_c2_g1	TRINITY_DN86171_c2_g4
TRINITY_DN86973_c3_g1	TRINITY_DN90565_c0_g3
TRINITY_DN90492_c0_g2	TRINITY_DN91982_c2_g1
TRINITY_DN71732_c15_g1	TRINITY_DN85820_c0_g1
TRINITY_DN91064_c7_g1	TRINITY_DN90308_c2_g1
TRINITY_DN89212_c6_g1	TRINITY_DN73996_c7_g1
TRINITY_DN92998_c1_g1	TRINITY_DN89608_c1_g2
TRINITY_DN90813_c1_g1	TRINITY_DN89027_c0_g1
TRINITY_DN81229_c3_g1	TRINITY_DN93054_c8_g2
TRINITY_DN81229_c4_g1	TRINITY_DN83265_c6_g1
TRINITY_DN86973_c7_g1	TRINITY_DN93288_c11_g1
TRINITY_DN85470_c13_g1	TRINITY_DN89079_c0_g1
TRINITY_DN88471_c2_g3	TRINITY_DN92810_c0_g2
TRINITY_DN93063_c9_g4	TRINITY_DN91691_c6_g1
TRINITY_DN92387_c6_g2	TRINITY_DN85243_c1_g1
TRINITY_DN86973_c5_g1	TRINITY_DN80615_c0_g1
TRINITY_DN80418_c10_g1	TRINITY_DN89166_c2_g1
TRINITY_DN93748_c7_g2	TRINITY_DN89735_c11_g1
TRINITY_DN93145_c2_g1	TRINITY_DN89641_c2_g1
TRINITY_DN71364_c0_g1	TRINITY_DN91955_c7_g1
TRINITY_DN91007_c2_g1	TRINITY_DN82891_c2_g1
TRINITY_DN89999_c0_g1	TRINITY_DN85970_c1_g1
TRINITY_DN81229_c1_g1	TRINITY_DN90565_c1_g1
TRINITY_DN88471_c2_g2	TRINITY_DN72776_c0_g2
TRINITY_DN85117_c13_g1	TRINITY_DN85095_c3_g1
