#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 83755at6656          -            256  4.4e-122  405.3   0.7   1   1  1.6e-122  2.9e-121  402.6   0.7     1   256    40   346    40   346 0.90 -
83755at6656_199890_0:0013c2|TRINITY_DN76940_c7_g1_i1:568-1023|+    -            152 83755at6656          -            256   1.5e-73  246.3   0.0   1   1   9.2e-75   1.7e-73  246.1   0.0   123   256    11   152     1   152 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   1   2   1.1e-18   2.1e-17   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 83755at6656          -            256   3.8e-46  156.5  14.3   2   2   2.6e-32   4.8e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 83755at6656          -            256   5.8e-36  123.1   9.9   1   4   1.4e-12   2.6e-11   42.4   0.1   131   235    97   194    87   205 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 83755at6656          -            256   5.8e-36  123.1   9.9   2   4   1.9e-08   3.6e-07   28.8   0.4    24    90   217   288   207   299 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 83755at6656          -            256   5.8e-36  123.1   9.9   3   4      0.77        14    3.9   0.0    79   101   329   351   318   357 0.79 -
