#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38819at6656_136037_0:001e83|TRINITY_DN85110_c12_g1_i4:278-1789|-  -            504 38819at6656          -            450  5.4e-223  739.9   0.4   1   1  5.3e-225    1e-222  739.0   0.4     1   444    21   502    21   504 0.95 -
38819at6656_6850_0:000b0e|TRINITY_DN85110_c12_g1_i3:402-1592|-    -            397 38819at6656          -            450  8.3e-178  590.9   0.0   1   1    9e-180  1.8e-177  589.9   0.0     1   345    20   396    20   397 0.94 -
38819at6656_76194_0:0021a4|TRINITY_DN85110_c12_g1_i1:136-432|-    -             99 38819at6656          -            450   7.4e-47  159.3   0.0   1   1   4.2e-49   8.1e-47  159.2   0.0     1    99     1    99     1    99 0.99 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i3:1415-1975|-    -            187 38819at6656          -            450     1e-10   40.2   0.2   1   2   6.6e-07   0.00013   20.1   0.1    46    93    21    69     5   100 0.81 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i3:1415-1975|-    -            187 38819at6656          -            450     1e-10   40.2   0.2   2   2   1.8e-06   0.00035   18.7   0.0    37    93   121   177    95   179 0.79 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i5:585-1145|-     -            187 38819at6656          -            450     1e-10   40.2   0.2   1   2   6.6e-07   0.00013   20.1   0.1    46    93    21    69     5   100 0.81 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i5:585-1145|-     -            187 38819at6656          -            450     1e-10   40.2   0.2   2   2   1.8e-06   0.00035   18.7   0.0    37    93   121   177    95   179 0.79 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i6:1416-2063|-    -            216 38819at6656          -            450     2e-10   39.3   0.0   1   2   1.3e-06   0.00025   19.2   0.0    46    93    21    69     5    85 0.85 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i6:1416-2063|-    -            216 38819at6656          -            450     2e-10   39.3   0.0   2   2   2.5e-06   0.00048   18.2   0.0    38    93   151   206   125   208 0.79 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i8:1415-2062|-    -            216 38819at6656          -            450     2e-10   39.3   0.0   1   2   1.3e-06   0.00025   19.2   0.0    46    93    21    69     5    85 0.85 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i8:1415-2062|-    -            216 38819at6656          -            450     2e-10   39.3   0.0   2   2   2.5e-06   0.00048   18.2   0.0    38    93   151   206   125   208 0.79 -
13051at6656_218467_0:00590e|TRINITY_DN92834_c4_g1_i16:2766-3809|+ -            348 38819at6656          -            450   1.8e-07   29.5   0.4   1   3     0.001       0.2    9.6   0.0    43    82     4    44     2    58 0.82 -
13051at6656_218467_0:00590e|TRINITY_DN92834_c4_g1_i16:2766-3809|+ -            348 38819at6656          -            450   1.8e-07   29.5   0.4   2   3    0.0004     0.078   10.9   0.0    42    80   205   244   200   258 0.78 -
13051at6656_218467_0:00590e|TRINITY_DN92834_c4_g1_i16:2766-3809|+ -            348 38819at6656          -            450   1.8e-07   29.5   0.4   3   3     0.015       2.9    5.7   0.1    42    83   304   346   266   348 0.74 -
131751at6656_116153_0:000bcd|TRINITY_DN78902_c3_g1_i2:4451-4756|- -            102 38819at6656          -            450   3.9e-07   28.4   0.0   1   1   2.2e-09   4.3e-07   28.3   0.0   132   221     4    95     1    98 0.84 -
131751at6656_116153_0:000bcd|TRINITY_DN78902_c3_g1_i3:4438-4743|- -            102 38819at6656          -            450   3.9e-07   28.4   0.0   1   1   2.2e-09   4.3e-07   28.3   0.0   132   221     4    95     1    98 0.84 -
131751at6656_116153_0:000bcd|TRINITY_DN78902_c3_g1_i4:4438-4743|- -            102 38819at6656          -            450   3.9e-07   28.4   0.0   1   1   2.2e-09   4.3e-07   28.3   0.0   132   221     4    95     1    98 0.84 -
131751at6656_116153_0:000bcd|TRINITY_DN78902_c3_g1_i5:4451-4756|- -            102 38819at6656          -            450   3.9e-07   28.4   0.0   1   1   2.2e-09   4.3e-07   28.3   0.0   132   221     4    95     1    98 0.84 -
38819at6656_76194_0:0021a4|TRINITY_DN89399_c3_g2_i13:514-789|-    -             92 38819at6656          -            450   5.2e-07   28.0   0.1   1   1   2.7e-09   5.3e-07   28.0   0.1    42   106    24    87     2    92 0.82 -
131751at6656_7038_0:002f1e|TRINITY_DN83957_c6_g3_i1:1504-1812|-   -            103 38819at6656          -            450   5.5e-07   27.9   0.1   1   1   3.1e-09   6.1e-07   27.8   0.1   129   216     6    99     1   102 0.82 -
