#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
44389at6656_7004_0:00192b|TRINITY_DN90021_c13_g1_i1:120-989|+     -            290 44389at6656          -            450  4.1e-141  469.9   4.3   1   1  1.5e-143    7e-141  469.1   4.3    10   263    19   287    11   289 0.93 -
44389at6656_246812_0:0014c3|TRINITY_DN85878_c10_g1_i1:305-877|-   -            191 44389at6656          -            450   6.8e-32  109.9  16.2   1   1   5.7e-33   2.7e-30  104.6  16.2   334   450    43   191     4   191 0.76 -
44389at6656_29031_0:002465|TRINITY_DN88551_c8_g1_i10:2540-2854|+  -            105 44389at6656          -            450   7.7e-22   76.7   8.3   1   1   1.9e-24   9.1e-22   76.5   8.3   367   450    11    99     2    99 0.86 -
44389at6656_29031_0:002465|TRINITY_DN88551_c8_g1_i13:2540-2854|+  -            105 44389at6656          -            450   7.7e-22   76.7   8.3   1   1   1.9e-24   9.1e-22   76.5   8.3   367   450    11    99     2    99 0.86 -
44389at6656_29031_0:002465|TRINITY_DN88551_c8_g1_i3:2811-3125|+   -            105 44389at6656          -            450   7.7e-22   76.7   8.3   1   1   1.9e-24   9.1e-22   76.5   8.3   367   450    11    99     2    99 0.86 -
44389at6656_29031_0:002465|TRINITY_DN88551_c8_g1_i5:2811-3125|+   -            105 44389at6656          -            450   7.7e-22   76.7   8.3   1   1   1.9e-24   9.1e-22   76.5   8.3   367   450    11    99     2    99 0.86 -
44389at6656_29031_0:002465|TRINITY_DN88551_c8_g1_i7:2540-2854|+   -            105 44389at6656          -            450   7.7e-22   76.7   8.3   1   1   1.9e-24   9.1e-22   76.5   8.3   367   450    11    99     2    99 0.86 -
44389at6656_29031_0:002465|TRINITY_DN88551_c8_g1_i8:2811-3125|+   -            105 44389at6656          -            450   7.7e-22   76.7   8.3   1   1   1.9e-24   9.1e-22   76.5   8.3   367   450    11    99     2    99 0.86 -
109325at6656_7394_0:0024f6|TRINITY_DN91120_c6_g2_i3:1590-3404|-   -            605 44389at6656          -            450   1.5e-13   49.4   0.0   1   1   6.1e-16   2.9e-13   48.5   0.0    60   177     7   132     3   144 0.79 -
44389at6656_246812_0:0014c3|TRINITY_DN92673_c5_g1_i1:402-848|+    -            149 44389at6656          -            450   3.9e-13   48.0   9.1   1   1   8.4e-16   3.9e-13   48.0   9.1   397   450    91   148    80   148 0.90 -
44389at6656_246812_0:0014c3|TRINITY_DN92673_c5_g1_i3:532-978|+    -            149 44389at6656          -            450   3.9e-13   48.0   9.1   1   1   8.4e-16   3.9e-13   48.0   9.1   397   450    91   148    80   148 0.90 -
103590at6656_294128_0:002e98|TRINITY_DN84671_c7_g1_i2:444-2482|-  -            513 44389at6656          -            450   7.2e-13   47.2   0.6   1   3   1.5e-15   7.2e-13   47.2   0.6   372   436    95   160    24   170 0.86 -
103590at6656_294128_0:002e98|TRINITY_DN84671_c7_g1_i2:444-2482|-  -            513 44389at6656          -            450   7.2e-13   47.2   0.6   2   3       1.9     9e+02   -2.6   0.2   334   380   227   274   224   299 0.69 -
103590at6656_294128_0:002e98|TRINITY_DN84671_c7_g1_i2:444-2482|-  -            513 44389at6656          -            450   7.2e-13   47.2   0.6   3   3       6.4     3e+03   -4.3   2.3   269   300   374   408   366   416 0.38 -
103590at6656_294128_0:002e98|TRINITY_DN84671_c7_g1_i1:444-2045|-  -            534 44389at6656          -            450   8.6e-13   46.9   0.4   1   3   1.8e-15   8.6e-13   46.9   0.4   374   436   118   181    96   191 0.84 -
103590at6656_294128_0:002e98|TRINITY_DN84671_c7_g1_i1:444-2045|-  -            534 44389at6656          -            450   8.6e-13   46.9   0.4   2   3         2   9.4e+02   -2.7   0.1   334   379   248   294   245   319 0.69 -
103590at6656_294128_0:002e98|TRINITY_DN84671_c7_g1_i1:444-2045|-  -            534 44389at6656          -            450   8.6e-13   46.9   0.4   3   3       6.8   3.2e+03   -4.4   2.3   269   300   395   429   387   437 0.38 -
44389at6656_29031_0:002465|TRINITY_DN91014_c15_g1_i5:2573-2959|-  -            129 44389at6656          -            450   1.4e-12   46.2   1.3   1   1   3.2e-15   1.5e-12   46.1   1.3   395   450    68   127    31   127 0.79 -
53201at6656_319348_0:002bda|TRINITY_DN86835_c6_g5_i1:4127-4432|+  -            102 44389at6656          -            450   2.8e-12   45.2  10.5   1   1   6.9e-15   3.2e-12   45.0  10.5   396   450    38    97    33    97 0.88 -
53201at6656_319348_0:002bda|TRINITY_DN86835_c6_g5_i2:1013-1318|+  -            102 44389at6656          -            450   2.8e-12   45.2  10.5   1   1   6.9e-15   3.2e-12   45.0  10.5   396   450    38    97    33    97 0.88 -
24427at6656_378494_0:0029c0|TRINITY_DN86645_c2_g6_i1:516-701|+    -             62 44389at6656          -            450   1.1e-11   43.2  10.1   1   1   2.8e-14   1.3e-11   43.0  10.1   407   450     5    52     2    52 0.88 -
44389at6656_378494_0:004531|TRINITY_DN86189_c13_g1_i1:2943-3428|+ -            162 44389at6656          -            450   1.6e-10   39.5   0.1   1   1     4e-13   1.9e-10   39.2   0.1   104   177     3    75     1    87 0.88 -
44389at6656_378494_0:004531|TRINITY_DN86189_c13_g1_i4:2820-3305|+ -            162 44389at6656          -            450   1.6e-10   39.5   0.1   1   1     4e-13   1.9e-10   39.2   0.1   104   177     3    75     1    87 0.88 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i3:30-1208|+   -            393 44389at6656          -            450     1e-06   26.9   4.2   1   1   3.4e-09   1.6e-06   26.2   4.2   412   450   313   355   269   355 0.65 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+   -            407 44389at6656          -            450   1.1e-06   26.8   4.2   1   1   3.6e-09   1.7e-06   26.2   4.2   412   450   313   355   269   355 0.65 -
128188at6656_6973_0:002c5a|TRINITY_DN81311_c8_g1_i1:33-326|+      -             98 44389at6656          -            450    0.0099   13.7   2.5   1   1   2.3e-05     0.011   13.6   2.5   216   278    14    77     5    91 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/44389at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/44389at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/44389at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:53 2026
# [ok]
