#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
91468at6656_1049336_0:001070|TRINITY_DN81005_c8_g3_i2:2-367|+    -            122 91468at6656          -            286   1.6e-49  167.6   9.3   1   1   1.1e-51   3.3e-49  166.6   9.3    29   129    17   121     1   122 0.87 -
91468at6656_7004_0:003a40|TRINITY_DN87796_c12_g1_i1:69-542|+     -            158 91468at6656          -            286   4.9e-36  123.3   0.0   1   1     2e-38   6.2e-36  123.0   0.0   151   283    17   149    14   151 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i1:771-1298|+    -            176 91468at6656          -            286   1.1e-31  109.0   5.9   1   1   4.5e-34   1.4e-31  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i4:830-1357|+    -            176 91468at6656          -            286   1.1e-31  109.0   5.9   1   1   4.5e-34   1.4e-31  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i7:656-1183|+    -            176 91468at6656          -            286   1.1e-31  109.0   5.9   1   1   4.5e-34   1.4e-31  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i8:585-1112|+    -            176 91468at6656          -            286   1.1e-31  109.0   5.9   1   1   4.5e-34   1.4e-31  108.7   5.9    97   279     3   170     1   175 0.86 -
77987at6656_62324_0:002a6a|TRINITY_DN92645_c5_g1_i3:656-1270|+   -            205 91468at6656          -            286   2.1e-31  108.1   6.8   1   1   8.8e-34   2.8e-31  107.7   6.8    97   281     3   172     1   176 0.86 -
77987at6656_62324_0:002a6a|TRINITY_DN92645_c5_g1_i6:279-893|+    -            205 91468at6656          -            286   2.1e-31  108.1   6.8   1   1   8.8e-34   2.8e-31  107.7   6.8    97   281     3   172     1   176 0.86 -
91468at6656_1049336_0:00106f|TRINITY_DN87796_c12_g1_i6:239-493|+ -             85 91468at6656          -            286   1.9e-30  105.0   0.0   1   1   6.5e-33     2e-30  104.9   0.0   199   281     1    85     1    85 0.97 -
77987at6656_7536_0:00482b|TRINITY_DN73426_c15_g1_i1:196-747|-    -            184 91468at6656          -            286   1.3e-29  102.2   3.6   1   1   4.7e-32   1.5e-29  102.1   3.6    97   229    50   178    16   184 0.74 -
77987at6656_7536_0:00482b|TRINITY_DN92645_c5_g1_i5:585-1037|+    -            151 91468at6656          -            286   3.9e-29  100.7   8.1   1   1   1.5e-31   4.7e-29  100.4   8.1    97   224     3   120     1   150 0.87 -
