#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 30184at6656          -            625         0 1016.4  28.9   1   1         0         0 1014.0  28.9     1   625     8   730     8   730 0.93 -
31886at6656_246812_0:002906|TRINITY_DN89121_c9_g1_i14:1983-3140|- -            386 30184at6656          -            625     0.011   13.7   4.4   1   4    0.0032       4.7    5.0   0.4   390   433    17    60     9   119 0.66 -
31886at6656_246812_0:002906|TRINITY_DN89121_c9_g1_i14:1983-3140|- -            386 30184at6656          -            625     0.011   13.7   4.4   2   4     0.077   1.1e+02    0.4   0.1   385   415    85   115    69   136 0.81 -
31886at6656_246812_0:002906|TRINITY_DN89121_c9_g1_i14:1983-3140|- -            386 30184at6656          -            625     0.011   13.7   4.4   3   4     0.048        71    1.1   0.2   474   491   252   269   236   296 0.56 -
31886at6656_246812_0:002906|TRINITY_DN89121_c9_g1_i14:1983-3140|- -            386 30184at6656          -            625     0.011   13.7   4.4   4   4    0.0032       4.7    5.0   0.0   378   416   331   369   325   374 0.89 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i10:2393-3694|-  -            434 30184at6656          -            625     0.021   12.8   5.0   1   3    0.0053       7.9    4.2   0.2   390   418    44    72    37   123 0.74 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i10:2393-3694|-  -            434 30184at6656          -            625     0.021   12.8   5.0   2   3       0.1   1.5e+02    0.0   0.1   385   415   112   142    83   148 0.83 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i10:2393-3694|-  -            434 30184at6656          -            625     0.021   12.8   5.0   3   3    0.0026       3.8    5.3   0.0   379   416   358   395   353   416 0.72 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i5:2014-3315|-   -            434 30184at6656          -            625     0.021   12.8   5.0   1   3    0.0053       7.9    4.2   0.2   390   418    44    72    37   123 0.74 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i5:2014-3315|-   -            434 30184at6656          -            625     0.021   12.8   5.0   2   3       0.1   1.5e+02    0.0   0.1   385   415   112   142    83   148 0.83 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i5:2014-3315|-   -            434 30184at6656          -            625     0.021   12.8   5.0   3   3    0.0026       3.8    5.3   0.0   379   416   358   395   353   416 0.72 -
