#                                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109919at6656_64838_0:0001da|TRINITY_DN78589_c7_g4_i1:748-1500|+ -            251 109919at6656         -            315   3.8e-47  159.7   0.4   1   1   8.6e-50   8.9e-47  158.5   0.4     1   193     2   248     2   250 0.78 -
68987at6656_34638_0:001d71|TRINITY_DN73809_c18_g1_i1:56-1108|+  -            351 109919at6656         -            315   2.3e-12   45.4   0.2   1   3   1.2e-09   1.2e-06   26.6   0.0     3   112     2   134     1   151 0.75 -
68987at6656_34638_0:001d71|TRINITY_DN73809_c18_g1_i1:56-1108|+  -            351 109919at6656         -            315   2.3e-12   45.4   0.2   2   3   4.5e-06    0.0047   14.8   0.1   154   287   165   307   159   321 0.61 -
68987at6656_34638_0:001d71|TRINITY_DN73809_c18_g1_i1:56-1108|+  -            351 109919at6656         -            315   2.3e-12   45.4   0.2   3   3   0.00016      0.17    9.8   0.1   239   287   292   342   285   346 0.83 -
68987at6656_34638_0:001d71|TRINITY_DN73809_c18_g1_i2:56-1003|+  -            316 109919at6656         -            315   2.5e-12   45.3   0.0   1   2   8.8e-10   9.1e-07   27.0   0.0     3   112     2   134     1   152 0.75 -
68987at6656_34638_0:001d71|TRINITY_DN73809_c18_g1_i2:56-1003|+  -            316 109919at6656         -            315   2.5e-12   45.3   0.0   2   2   4.1e-06    0.0042   15.0   0.0   154   287   165   307   159   313 0.60 -
49526at6656_35525_0:001ec9|TRINITY_DN75238_c14_g2_i2:221-1717|- -            499 109919at6656         -            315   5.1e-07   27.9   3.5   1   2     0.029        30    2.4   0.0    79   108    57    87    34   119 0.78 -
49526at6656_35525_0:001ec9|TRINITY_DN75238_c14_g2_i2:221-1717|- -            499 109919at6656         -            315   5.1e-07   27.9   3.5   2   2     3e-09   3.1e-06   25.3   1.1   241   295   272   329   268   341 0.78 -
49526at6656_35525_0:001ec9|TRINITY_DN75238_c14_g2_i1:204-2027|- -            608 109919at6656         -            315   6.5e-07   27.5   3.1   1   2     0.037        38    2.0   0.0    79   108    57    87    34   119 0.78 -
49526at6656_35525_0:001ec9|TRINITY_DN75238_c14_g2_i1:204-2027|- -            608 109919at6656         -            315   6.5e-07   27.5   3.1   2   2   3.5e-09   3.6e-06   25.1   0.9   241   295   272   329   269   341 0.78 -
49526at6656_35525_0:001ec9|TRINITY_DN75238_c14_g2_i3:204-1619|- -            472 109919at6656         -            315   1.6e-06   26.2   1.1   1   1   2.8e-09   2.8e-06   25.4   1.1   241   295   136   193   132   205 0.78 -
68987at6656_294128_0:0004ab|TRINITY_DN91089_c6_g3_i4:213-1463|- -            417 109919at6656         -            315   4.8e-05   21.4   0.2   1   2   1.1e-05     0.011   13.6   0.0     2    42     2    47     1   149 0.78 -
68987at6656_294128_0:0004ab|TRINITY_DN91089_c6_g3_i4:213-1463|- -            417 109919at6656         -            315   4.8e-05   21.4   0.2   2   2    0.0043       4.4    5.1   0.1   251   283   300   333   285   342 0.81 -
109919at6656_77166_0:000032|TRINITY_DN90129_c11_g1_i1:87-494|+  -            136 109919at6656         -            315   5.1e-05   21.3   0.2   1   1   3.3e-07   0.00034   18.6   0.2     3    54     1    66     1    76 0.74 -
68987at6656_7004_0:000420|TRINITY_DN91089_c6_g3_i2:95-855|-     -            203 109919at6656         -            315   0.00095   17.1   0.0   1   1   1.8e-06    0.0018   16.2   0.0     2    42     2    47     1   192 0.75 -
68987at6656_294128_0:0004ab|TRINITY_DN91089_c6_g3_i7:213-1424|- -            404 109919at6656         -            315     0.023   12.6   0.2   1   2    0.0059       6.1    4.6   0.0    19    42    11    34     1   135 0.74 -
68987at6656_294128_0:0004ab|TRINITY_DN91089_c6_g3_i7:213-1424|- -            404 109919at6656         -            315     0.023   12.6   0.2   2   2    0.0041       4.2    5.1   0.1   251   283   287   320   272   329 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/109919at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/109919at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/109919at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:44 2026
# [ok]
