#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
58027at6656_294128_0:000434|TRINITY_DN77081_c8_g9_i1:614-2290|-   -            559 58027at6656          -            463  2.3e-197  655.9  11.9   1   1  7.8e-199  1.2e-196  653.5  11.9     5   462    20   559    16   559 0.90 -
58027at6656_29031_0:002b68|TRINITY_DN91187_c10_g1_i2:399-1097|-   -            233 58027at6656          -            463     4e-19   68.2   0.1   1   2   8.6e-21   1.3e-18   66.5   0.1    11   164     4   182     1   188 0.80 -
58027at6656_29031_0:002b68|TRINITY_DN91187_c10_g1_i2:399-1097|-   -            233 58027at6656          -            463     4e-19   68.2   0.1   2   2       2.4   3.6e+02   -0.9   0.0   167   182   210   225   205   233 0.83 -
58027at6656_29031_0:002b68|TRINITY_DN91187_c10_g1_i3:1167-1865|-  -            233 58027at6656          -            463     4e-19   68.2   0.1   1   2   8.6e-21   1.3e-18   66.5   0.1    11   164     4   182     1   188 0.80 -
58027at6656_29031_0:002b68|TRINITY_DN91187_c10_g1_i3:1167-1865|-  -            233 58027at6656          -            463     4e-19   68.2   0.1   2   2       2.4   3.6e+02   -0.9   0.0   167   182   210   225   205   233 0.83 -
58027at6656_67767_0:00169a|TRINITY_DN74425_c5_g1_i1:145-816|+     -            224 58027at6656          -            463   1.8e-17   62.8   3.0   1   1   1.4e-19   2.1e-17   62.6   3.0    19   144    18   157     4   185 0.81 -
58027at6656_7282_0:002dfc|TRINITY_DN92686_c14_g1_i4:304-855|+     -            184 58027at6656          -            463     2e-17   62.6   0.1   1   1   1.6e-19   2.5e-17   62.3   0.1    14   161     4   178     1   183 0.77 -
58027at6656_7282_0:002dfc|TRINITY_DN92686_c14_g1_i7:174-725|+     -            184 58027at6656          -            463     2e-17   62.6   0.1   1   1   1.6e-19   2.5e-17   62.3   0.1    14   161     4   178     1   183 0.77 -
58027at6656_7282_0:002dfc|TRINITY_DN92686_c14_g1_i3:174-830|+     -            219 58027at6656          -            463     3e-17   62.1   0.0   1   1   2.5e-19   3.8e-17   61.7   0.0    14   162     4   179     1   187 0.77 -
58027at6656_7282_0:003383|TRINITY_DN88346_c7_g2_i4:47-838|-       -            264 58027at6656          -            463   3.9e-17   61.7   0.6   1   1   5.2e-19   7.8e-17   60.7   0.6    20   204     4   212     1   235 0.73 -
58027at6656_7282_0:003383|TRINITY_DN88346_c7_g2_i1:1716-2543|-    -            276 58027at6656          -            463   4.4e-17   61.5   0.5   1   1   5.7e-19   8.7e-17   60.5   0.5    20   204     4   212     1   234 0.73 -
58027at6656_7282_0:003383|TRINITY_DN88346_c7_g2_i2:1619-2446|-    -            276 58027at6656          -            463   4.4e-17   61.5   0.5   1   1   5.7e-19   8.7e-17   60.5   0.5    20   204     4   212     1   234 0.73 -
58027at6656_7282_0:003383|TRINITY_DN88346_c7_g2_i3:1728-2555|-    -            276 58027at6656          -            463   4.4e-17   61.5   0.5   1   1   5.7e-19   8.7e-17   60.5   0.5    20   204     4   212     1   234 0.73 -
