#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107453at6656_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+    -            281 107453at6656         -            215  1.3e-100  334.8   0.9   1   1  5.1e-103  1.8e-100  334.3   0.9     1   212     8   232     8   235 0.94 -
107453at6656_114398_0:0030a1|TRINITY_DN72204_c16_g3_i2:26-454|+    -            143 107453at6656         -            215   1.7e-44  151.3   0.1   1   1   6.7e-47   2.4e-44  150.9   0.1     2   123     9   143     8   143 0.91 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+     -            344 107453at6656         -            215   2.8e-09   36.3   0.3   1   3   0.00096      0.34    9.8   0.0    61   120    32    91     8    98 0.82 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+     -            344 107453at6656         -            215   2.8e-09   36.3   0.3   2   3      0.11        40    3.0   0.1    71   112   110   151    97   156 0.87 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+     -            344 107453at6656         -            215   2.8e-09   36.3   0.3   3   3   9.5e-07   0.00034   19.6   0.1    72   171   157   256   153   283 0.89 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   1   4   2.1e-10   7.6e-08   31.6   0.4    70   164    16   109     7   135 0.87 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   2   4         2     7e+02   -1.0   0.1   132   155   186   206   115   243 0.65 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   3   4     0.094        34    3.3   0.2   127   201   273   352   268   359 0.67 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   4   4     0.032        11    4.8   0.1    67   115   323   371   299   375 0.85 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   1   4   2.1e-10   7.6e-08   31.6   0.4    70   164    16   109     7   135 0.87 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   2   4         2     7e+02   -1.0   0.1   132   155   186   206   115   243 0.65 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   3   4     0.094        34    3.3   0.2   127   201   273   352   268   359 0.67 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 107453at6656         -            215   5.6e-09   35.2   6.4   4   4     0.032        11    4.8   0.1    67   115   323   371   299   375 0.85 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 107453at6656         -            215   5.6e-09   35.2   6.4   1   4   2.1e-10   7.6e-08   31.6   0.4    70   164    16   109     7   135 0.87 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 107453at6656         -            215   5.6e-09   35.2   6.4   2   4         2     7e+02   -1.0   0.1   132   155   186   206   115   243 0.65 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 107453at6656         -            215   5.6e-09   35.2   6.4   3   4     0.094        34    3.3   0.2   127   201   273   352   268   359 0.67 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 107453at6656         -            215   5.6e-09   35.2   6.4   4   4     0.032        11    4.8   0.1    67   115   323   371   299   375 0.85 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 107453at6656         -            215   1.4e-08   33.9   5.2   1   4    0.0016      0.56    9.1   0.0    62   120    33    91     8   101 0.83 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 107453at6656         -            215   1.4e-08   33.9   5.2   2   4      0.17        60    2.5   0.1    71   112   110   151    92   156 0.86 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 107453at6656         -            215   1.4e-08   33.9   5.2   3   4   1.8e-06   0.00064   18.7   0.1    72   170   157   255   150   273 0.89 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 107453at6656         -            215   1.4e-08   33.9   5.2   4   4      0.16        57    2.5   0.8    66    96   335   365   286   387 0.69 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 107453at6656         -            215   6.9e-08   31.7   1.3   1   2     4e-07   0.00014   20.8   0.0    73   150    58   135    47   178 0.76 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 107453at6656         -            215   6.9e-08   31.7   1.3   2   2    0.0028      0.99    8.3   1.0   127   203   216   289   157   298 0.82 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 107453at6656         -            215   6.9e-08   31.7   1.3   1   2     4e-07   0.00014   20.8   0.0    73   150    58   135    47   178 0.76 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 107453at6656         -            215   6.9e-08   31.7   1.3   2   2    0.0028      0.99    8.3   1.0   127   203   216   289   157   298 0.82 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-   -            337 107453at6656         -            215   9.7e-07   27.9   5.7   1   3   2.3e-08   8.1e-06   24.9   0.1   120   164    34    79    16    98 0.82 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-   -            337 107453at6656         -            215   9.7e-07   27.9   5.7   2   3       1.6   5.8e+02   -0.8   0.2   132   155   156   176    86   213 0.66 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-   -            337 107453at6656         -            215   9.7e-07   27.9   5.7   3   3     0.035        12    4.7   0.1   130   203   246   324   236   337 0.52 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-    -            337 107453at6656         -            215   9.7e-07   27.9   5.7   1   3   2.3e-08   8.1e-06   24.9   0.1   120   164    34    79    16    98 0.82 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-    -            337 107453at6656         -            215   9.7e-07   27.9   5.7   2   3       1.6   5.8e+02   -0.8   0.2   132   155   156   176    86   213 0.66 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-    -            337 107453at6656         -            215   9.7e-07   27.9   5.7   3   3     0.035        12    4.7   0.1   130   203   246   324   236   337 0.52 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+    -            210 107453at6656         -            215   7.5e-05   21.8   0.2   1   3       3.4   1.2e+03   -1.8   0.0   178   196    40    58    33    69 0.77 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+    -            210 107453at6656         -            215   7.5e-05   21.8   0.2   2   3     0.011       3.9    6.4   0.0   175   208    71   104    59   114 0.84 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+    -            210 107453at6656         -            215   7.5e-05   21.8   0.2   3   3   0.00012     0.043   12.8   0.0    57   117   125   186   111   197 0.83 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+    -            284 107453at6656         -            215   0.00015   20.7   0.1   1   2     0.014         5    6.0   0.0   175   208   118   151    74   161 0.87 -
