#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116117at6656_294128_0:001c3f|TRINITY_DN73748_c12_g1_i2:89-637|+    -            183 116117at6656         -            167   2.5e-95  316.1   0.3   1   1   1.4e-97   2.8e-95  316.0   0.3     1   167     4   182     4   182 0.96 -
116117at6656_48709_0:00023d|TRINITY_DN90471_c8_g1_i3:795-1346|-    -            184 116117at6656         -            167   3.4e-55  185.6   0.1   1   1   2.1e-57   4.2e-55  185.3   0.1    10   156    16   172    11   183 0.90 -
116117at6656_48709_0:00023d|TRINITY_DN90471_c8_g1_i4:799-1350|-    -            184 116117at6656         -            167   3.4e-55  185.6   0.1   1   1   2.1e-57   4.2e-55  185.3   0.1    10   156    16   172    11   183 0.90 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i5:157-778|+     -            167 116117at6656         -            167   5.8e-55  184.8   0.1   1   1   3.3e-57   6.6e-55  184.6   0.1    14   167     1   166     1   166 0.94 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i6:157-778|+     -            167 116117at6656         -            167   5.8e-55  184.8   0.1   1   1   3.3e-57   6.6e-55  184.6   0.1    14   167     1   166     1   166 0.94 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i8:157-778|+     -            167 116117at6656         -            167   5.8e-55  184.8   0.1   1   1   3.3e-57   6.6e-55  184.6   0.1    14   167     1   166     1   166 0.94 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i10:157-657|+    -            167 116117at6656         -            167   8.3e-55  184.3   0.1   1   1   4.8e-57   9.4e-55  184.1   0.1    14   167     1   166     1   166 0.94 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i11:157-657|+    -            167 116117at6656         -            167   8.3e-55  184.3   0.1   1   1   4.8e-57   9.4e-55  184.1   0.1    14   167     1   166     1   166 0.94 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i4:157-657|+     -            167 116117at6656         -            167   8.3e-55  184.3   0.1   1   1   4.8e-57   9.4e-55  184.1   0.1    14   167     1   166     1   166 0.94 -
116117at6656_6958_0:000602|TRINITY_DN84892_c14_g2_i1:514-1002|+    -            163 116117at6656         -            167   1.2e-54  183.8   0.4   1   1   6.9e-57   1.4e-54  183.6   0.4    10   167     2   162     1   162 0.95 -
116117at6656_6958_0:000602|TRINITY_DN80251_c5_g1_i2:321-803|+      -            161 116117at6656         -            167   1.3e-51  174.0   0.2   1   1     7e-54   1.4e-51  173.8   0.2    11   165     1   158     1   160 0.91 -
116117at6656_6958_0:000602|TRINITY_DN80251_c5_g1_i5:321-803|+      -            161 116117at6656         -            167   1.3e-51  174.0   0.2   1   1     7e-54   1.4e-51  173.8   0.2    11   165     1   158     1   160 0.91 -
116117at6656_6958_0:000602|TRINITY_DN80251_c5_g1_i6:321-803|+      -            161 116117at6656         -            167   1.3e-51  174.0   0.2   1   1     7e-54   1.4e-51  173.8   0.2    11   165     1   158     1   160 0.91 -
116117at6656_29053_0:000f65|TRINITY_DN87664_c7_g4_i9:157-680|+     -            116 116117at6656         -            167     1e-40  138.5   0.8   1   1   5.8e-43   1.1e-40  138.3   0.8    14   118     1   116     1   116 0.93 -
116117at6656_197043_0:0032d7|TRINITY_DN73748_c12_g1_i1:89-385|+    -             99 116117at6656         -            167   1.5e-39  134.7   0.2   1   1   8.9e-42   1.8e-39  134.5   0.2     1    75     4    87     4    95 0.92 -
116117at6656_35570_0:002b14|TRINITY_DN76215_c2_g1_i6:7-354|+       -            116 116117at6656         -            167   5.2e-37  126.4   0.4   1   1   2.9e-39   5.7e-37  126.3   0.4    55   167     1   115     1   115 0.92 -
116117at6656_35570_0:002b14|TRINITY_DN76215_c2_g1_i4:7-354|+       -            116 116117at6656         -            167   4.8e-36  123.3   0.1   1   1   2.7e-38   5.3e-36  123.1   0.1    55   167     1   115     1   115 0.93 -
116117at6656_35570_0:002b14|TRINITY_DN76215_c2_g1_i3:7-354|+       -            116 116117at6656         -            167   5.8e-35  119.8   0.5   1   1   3.2e-37   6.4e-35  119.6   0.5    55   167     1   115     1   115 0.93 -
116117at6656_35570_0:002b14|TRINITY_DN76215_c2_g1_i1:7-354|+       -            116 116117at6656         -            167   2.6e-34  117.6   0.5   1   1   1.5e-36   2.9e-34  117.5   0.5    55   167     1   115     1   115 0.93 -
116117at6656_35525_0:005889|TRINITY_DN90471_c8_g1_i2:799-1134|-    -            112 116117at6656         -            167   3.8e-34  117.1   0.1   1   1     2e-36     4e-34  117.0   0.1    59   157     1   101     1   111 0.91 -
116117at6656_35570_0:002b14|TRINITY_DN76215_c2_g1_i5:7-333|+       -            109 116117at6656         -            167   4.5e-34  116.9   0.2   1   1   2.4e-36   4.7e-34  116.8   0.2    55   151     1    99     1   109 0.93 -
43540at6656_123851_0:000a5d|TRINITY_DN76597_c8_g1_i1:127-582|-     -            152 116117at6656         -            167   1.1e-33  115.6   0.0   1   1   7.4e-36   1.5e-33  115.2   0.0    21   161     7   145     2   150 0.90 -
116117at6656_35570_0:002b14|TRINITY_DN76215_c2_g1_i2:7-291|+       -             95 116117at6656         -            167   2.3e-33  114.6   0.1   1   1   1.3e-35   2.5e-33  114.4   0.1    55   147     1    95     1    95 0.98 -
132760at6656_441921_0:000d52|TRINITY_DN89167_c5_g1_i11:272-754|+   -            161 116117at6656         -            167   4.1e-33  113.7   0.0   1   1   2.4e-35   4.8e-33  113.5   0.0    20   157     7   143     1   152 0.89 -
132760at6656_441921_0:000d52|TRINITY_DN89167_c5_g1_i3:327-806|+    -            160 116117at6656         -            167   4.6e-33  113.6   0.0   1   1   2.9e-35   5.8e-33  113.3   0.0    21   157     7   142     2   151 0.90 -
43540at6656_294128_0:0019ab|TRINITY_DN79054_c10_g1_i3:112-1413|+   -            434 116117at6656         -            167   8.7e-33  112.7   0.0   1   2      0.16        32    3.5   0.0    53    84    84   115    31   133 0.80 -
43540at6656_294128_0:0019ab|TRINITY_DN79054_c10_g1_i3:112-1413|+   -            434 116117at6656         -            167   8.7e-33  112.7   0.0   2   2   2.6e-33   5.1e-31  106.9   0.0    21   163   201   341   194   345 0.90 -
43540at6656_294128_0:0019ab|TRINITY_DN79054_c10_g1_i1:58-1614|+    -            519 116117at6656         -            167   1.5e-32  111.9   0.0   1   2      0.22        44    3.0   0.0    53    84   169   200   131   218 0.78 -
43540at6656_294128_0:0019ab|TRINITY_DN79054_c10_g1_i1:58-1614|+    -            519 116117at6656         -            167   1.5e-32  111.9   0.0   2   2   3.7e-33   7.4e-31  106.4   0.0    21   163   286   426   280   430 0.90 -
43540at6656_294128_0:0019ab|TRINITY_DN79054_c10_g1_i2:58-2060|+    -            519 116117at6656         -            167   1.6e-32  111.9   0.0   1   2      0.22        44    3.0   0.0    53    84   169   200   131   218 0.78 -
43540at6656_294128_0:0019ab|TRINITY_DN79054_c10_g1_i2:58-2060|+    -            519 116117at6656         -            167   1.6e-32  111.9   0.0   2   2   3.7e-33   7.4e-31  106.4   0.0    21   163   286   426   280   430 0.90 -
28519at6656_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-   -            606 116117at6656         -            167   2.3e-30  104.8   0.4   1   1   2.8e-32   5.5e-30  103.6   0.0    21   157   459   594   451   605 0.84 -
28519at6656_136037_0:000a01|TRINITY_DN73479_c18_g1_i4:166-1983|-   -            606 116117at6656         -            167   2.4e-30  104.7   0.4   1   1   2.8e-32   5.5e-30  103.6   0.0    21   157   459   594   451   605 0.84 -
28519at6656_104452_0:003770|TRINITY_DN90692_c2_g1_i1:4-246|-       -             81 116117at6656         -            167   1.2e-25   89.4   0.0   1   1   6.5e-28   1.3e-25   89.4   0.0    78   153     1    78     1    81 0.96 -
28519at6656_197043_0:0043fd|TRINITY_DN86129_c5_g3_i2:5-205|+       -             67 116117at6656         -            167   1.5e-23   82.6   0.2   1   1   8.2e-26   1.6e-23   82.5   0.2    59   122     1    66     1    67 0.96 -
43540at6656_418985_0:000a7c|TRINITY_DN92728_c7_g1_i2:97-630|-      -            178 116117at6656         -            167   2.1e-23   82.2   0.0   1   1   1.4e-25   2.8e-23   81.7   0.0    19   159     7   146     4   153 0.86 -
28519at6656_197043_0:0043fd|TRINITY_DN86129_c5_g3_i1:4-204|+       -             67 116117at6656         -            167   2.2e-22   78.9   0.1   1   1   1.2e-24   2.3e-22   78.8   0.1    59   122     1    66     1    67 0.96 -
116117at6656_7536_0:0006e5|TRINITY_DN90692_c1_g1_i2:11-259|+       -             83 116117at6656         -            167   3.3e-22   78.3   0.2   1   1   1.9e-24   3.7e-22   78.1   0.2    13    92     1    83     1    83 0.92 -
