#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109174at6656_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-   -            316 109174at6656         -            256   1.6e-67  226.8   2.1   1   1     2e-67   1.4e-65  220.4   2.1     1   248     2   315     2   316 0.82 -
109174at6656_218467_0:000c2d|TRINITY_DN74244_c12_g1_i1:361-813|-  -            151 109174at6656         -            256   1.9e-38  131.5   0.1   1   1   3.1e-40   2.3e-38  131.2   0.1   120   247     2   150     1   151 0.86 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   1.1e-07   30.6   1.3   1   4   0.00086     0.062   11.8   0.0   194   238     9    56     6    64 0.81 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   1.1e-07   30.6   1.3   2   4       2.1   1.5e+02    0.7   0.0    90   110    66    86    55    92 0.75 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   1.1e-07   30.6   1.3   3   4      0.21        15    4.0   0.0   210   240   148   178   146   183 0.80 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   1.1e-07   30.6   1.3   4   4     0.032       2.4    6.7   0.2    87   156   182   245   172   246 0.58 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 109174at6656         -            256   2.4e-06   26.3   0.0   1   3   0.00036     0.026   13.1   0.0    89   110    45    66    32    71 0.84 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 109174at6656         -            256   2.4e-06   26.3   0.0   2   3    0.0037      0.27    9.7   0.0    87   113   129   155    76   166 0.82 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 109174at6656         -            256   2.4e-06   26.3   0.0   3   3    0.0041       0.3    9.6   0.0    88   113   130   155   124   212 0.71 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-  -            802 109174at6656         -            256   5.8e-06   25.0   0.1   1   5       3.4   2.5e+02    0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-  -            802 109174at6656         -            256   5.8e-06   25.0   0.1   2   5      0.81        59    2.1   0.0    90   113    62    85    54    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-  -            802 109174at6656         -            256   5.8e-06   25.0   0.1   3   5     0.004      0.29    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-  -            802 109174at6656         -            256   5.8e-06   25.0   0.1   4   5     0.097       7.1    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-  -            802 109174at6656         -            256   5.8e-06   25.0   0.1   5   5       4.2     3e+02   -0.3   0.0    69   116   311   363   308   367 0.79 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|- -            805 109174at6656         -            256   5.8e-06   25.0   0.1   1   5       3.5   2.5e+02    0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|- -            805 109174at6656         -            256   5.8e-06   25.0   0.1   2   5      0.82        59    2.1   0.0    90   113    62    85    54    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|- -            805 109174at6656         -            256   5.8e-06   25.0   0.1   3   5     0.004      0.29    9.6   0.0    91   118   105   132    88   144 0.85 -
