#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
137711at6656_6958_0:001629|TRINITY_DN91187_c13_g1_i1:120-542|+      -            141 137711at6656         -            119   8.2e-65  215.1   0.2   1   1   1.8e-66   1.1e-64  214.7   0.2     1   115     1   121     1   125 0.95 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 137711at6656         -            119   3.1e-29  100.3   0.3   1   3   5.3e-13   3.3e-11   42.1   0.0    32    97     1    66     1    76 0.94 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 137711at6656         -            119   3.1e-29  100.3   0.3   2   3   5.4e-08   3.4e-06   25.9   0.0    24    95    80   150    58   175 0.80 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 137711at6656         -            119   3.1e-29  100.3   0.3   3   3   4.5e-09   2.8e-07   29.4   0.0    28   105   362   439   355   444 0.95 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 137711at6656         -            119   3.9e-25   87.1   0.0   1   2   8.6e-15   5.4e-13   47.9   0.0    28   111     4    87     1    93 0.94 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 137711at6656         -            119   3.9e-25   87.1   0.0   2   2     3e-12   1.9e-10   39.7   0.0    20   107    82   171    80   183 0.87 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i14:147-1877|-    -            577 137711at6656         -            119   7.2e-25   86.2   0.0   1   2   1.2e-13   7.5e-12   44.2   0.0    26   109    80   163    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i14:147-1877|-    -            577 137711at6656         -            119   7.2e-25   86.2   0.0   2   2   3.9e-12   2.5e-10   39.3   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i4:147-1877|-     -            577 137711at6656         -            119   7.2e-25   86.2   0.0   1   2   1.2e-13   7.5e-12   44.2   0.0    26   109    80   163    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i4:147-1877|-     -            577 137711at6656         -            119   7.2e-25   86.2   0.0   2   2   3.9e-12   2.5e-10   39.3   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i12:147-1895|-    -            583 137711at6656         -            119   7.5e-25   86.1   0.0   1   2   1.2e-13   7.6e-12   44.2   0.0    26   109    80   163    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i12:147-1895|-    -            583 137711at6656         -            119   7.5e-25   86.1   0.0   2   2     4e-12   2.5e-10   39.3   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i1:147-1895|-     -            583 137711at6656         -            119   7.5e-25   86.1   0.0   1   2   1.2e-13   7.6e-12   44.2   0.0    26   109    80   163    57   171 0.88 -
