#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66028at6656_438502_0:002670|TRINITY_DN83891_c8_g7_i1:258-1295|-   -            346 66028at6656          -            273  1.7e-166  551.0   2.4   1   1    8e-167  4.1e-165  546.5   2.4     1   273     8   323     8   323 0.95 -
66028at6656_6973_0:000b10|TRINITY_DN83891_c8_g7_i2:646-891|-      -             82 66028at6656          -            273   4.6e-40  136.4   0.3   1   1   9.8e-42     5e-40  136.3   0.3     1    70     8    79     8    82 0.96 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i10:456-1610|-  -            385 66028at6656          -            273   1.9e-14   52.4   4.5   1   6      0.29        15    3.5   0.0   218   255   104   141    97   146 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i10:456-1610|-  -            385 66028at6656          -            273   1.9e-14   52.4   4.5   2   6   1.4e-05   0.00073   17.7   0.0   209   256   148   195   143   206 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i10:456-1610|-  -            385 66028at6656          -            273   1.9e-14   52.4   4.5   3   6     0.025       1.3    7.0   0.1   217   251   206   240   197   246 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i10:456-1610|-  -            385 66028at6656          -            273   1.9e-14   52.4   4.5   4   6    0.0024      0.12   10.4   0.0   212   254   247   289   240   294 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i10:456-1610|-  -            385 66028at6656          -            273   1.9e-14   52.4   4.5   5   6     0.017      0.85    7.6   0.0   217   253   296   332   290   341 0.89 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i10:456-1610|-  -            385 66028at6656          -            273   1.9e-14   52.4   4.5   6   6      0.69        35    2.3   0.2   219   248   355   384   351   385 0.60 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i3:456-1610|-   -            385 66028at6656          -            273   1.9e-14   52.4   4.5   1   6      0.29        15    3.5   0.0   218   255   104   141    97   146 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i3:456-1610|-   -            385 66028at6656          -            273   1.9e-14   52.4   4.5   2   6   1.4e-05   0.00073   17.7   0.0   209   256   148   195   143   206 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i3:456-1610|-   -            385 66028at6656          -            273   1.9e-14   52.4   4.5   3   6     0.025       1.3    7.0   0.1   217   251   206   240   197   246 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i3:456-1610|-   -            385 66028at6656          -            273   1.9e-14   52.4   4.5   4   6    0.0024      0.12   10.4   0.0   212   254   247   289   240   294 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i3:456-1610|-   -            385 66028at6656          -            273   1.9e-14   52.4   4.5   5   6     0.017      0.85    7.6   0.0   217   253   296   332   290   341 0.89 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i3:456-1610|-   -            385 66028at6656          -            273   1.9e-14   52.4   4.5   6   6      0.69        35    2.3   0.2   219   248   355   384   351   385 0.60 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i1:456-1706|-   -            417 66028at6656          -            273   3.6e-14   51.5   4.6   1   6      0.32        16    3.4   0.0   218   254   136   172   129   178 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i1:456-1706|-   -            417 66028at6656          -            273   3.6e-14   51.5   4.6   2   6   1.6e-05   0.00081   17.5   0.0   209   256   180   227   174   238 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i1:456-1706|-   -            417 66028at6656          -            273   3.6e-14   51.5   4.6   3   6     0.028       1.4    6.9   0.1   217   251   238   272   232   280 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i1:456-1706|-   -            417 66028at6656          -            273   3.6e-14   51.5   4.6   4   6    0.0026      0.13   10.3   0.0   212   254   279   321   272   327 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i1:456-1706|-   -            417 66028at6656          -            273   3.6e-14   51.5   4.6   5   6     0.019      0.95    7.5   0.0   217   253   328   364   322   373 0.89 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i1:456-1706|-   -            417 66028at6656          -            273   3.6e-14   51.5   4.6   6   6      0.76        39    2.2   0.2   219   248   387   416   383   417 0.60 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 66028at6656          -            273   2.4e-12   45.5   2.2   1   1   1.8e-13   9.3e-12   43.6   2.3    94   250    15   179    10   179 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i11:830-1765|-  -            312 66028at6656          -            273   2.4e-12   45.5   0.2   1   4      0.22        11    4.0   0.0   218   255   104   141    97   146 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i11:830-1765|-  -            312 66028at6656          -            273   2.4e-12   45.5   0.2   2   4     1e-05   0.00051   18.2   0.0   209   256   148   195   143   207 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i11:830-1765|-  -            312 66028at6656          -            273   2.4e-12   45.5   0.2   3   4      0.02         1    7.4   0.1   217   251   206   240   198   245 0.90 -
