#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+        -            106 83303at6656          -            284   1.2e-61  207.7   1.5   1   1   2.7e-63   1.4e-61  207.5   1.5    27   126     5   106     2   106 0.97 -
83303at6656_121845_0:000632|TRINITY_DN91732_c5_g4_i1:75-347|+     -             91 83303at6656          -            284   3.5e-26   91.3   0.5   1   1   9.7e-28   4.9e-26   90.8   0.5     2    69    12    91    11    91 0.86 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   5.2e-19   67.7  12.6   1   4   7.5e-10   3.8e-08   32.1   1.3    28   101     3    78     1    84 0.88 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   5.2e-19   67.7  12.6   2   4   2.2e-09   1.1e-07   30.5   1.1    22   151    86   216    81   217 0.86 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   5.2e-19   67.7  12.6   3   4     0.043       2.2    6.6   0.1    32    63   243   274   227   307 0.79 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   5.2e-19   67.7  12.6   4   4       6.2   3.2e+02   -0.5   0.0    30    60   292   323   275   325 0.64 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 83303at6656          -            284   1.5e-14   53.1  10.0   1   3     0.024       1.2    7.5   0.0    29    74     8    54     3    65 0.81 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 83303at6656          -            284   1.5e-14   53.1  10.0   2   3   1.2e-05   0.00061   18.3   0.1    27   106   102   179    97   183 0.84 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 83303at6656          -            284   1.5e-14   53.1  10.0   3   3   3.4e-07   1.7e-05   23.4   1.0    27   186   185   341   180   346 0.81 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 83303at6656          -            284   1.5e-14   53.1  10.0   1   3     0.024       1.2    7.5   0.0    29    74     8    54     3    65 0.81 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 83303at6656          -            284   1.5e-14   53.1  10.0   2   3   1.2e-05   0.00061   18.3   0.1    27   106   102   179    97   183 0.84 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 83303at6656          -            284   1.5e-14   53.1  10.0   3   3   3.4e-07   1.7e-05   23.4   1.0    27   186   185   341   180   346 0.81 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 83303at6656          -            284     2e-14   52.7   0.8   1   4   0.00021     0.011   14.2   0.0    27   100    11    83     2    90 0.83 -
