#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118496at6656_6973_0:003893|TRINITY_DN79535_c7_g1_i1:142-705|-      -            188 118496at6656         -            160   1.1e-73  245.5   2.9   1   1   2.6e-76   1.4e-73  245.1   2.9     1   160     1   188     1   188 0.90 -
118496at6656_454923_0:000ad0|TRINITY_DN92921_c13_g1_i1:1870-2367|- -            166 118496at6656         -            160     9e-34  115.8   1.5   1   1   1.9e-36     1e-33  115.6   1.5     2   155     2   166     1   166 0.87 -
118496at6656_108931_0:000105|TRINITY_DN92921_c13_g1_i2:1870-2394|- -            175 118496at6656         -            160   1.9e-33  114.7   1.8   1   1   4.4e-36   2.4e-33  114.4   1.8    13   155    23   175    11   175 0.89 -
118496at6656_88015_0:0011f9|TRINITY_DN78859_c9_g4_i1:794-1303|-    -            170 118496at6656         -            160   6.3e-09   35.0   0.2   1   1   1.4e-11   7.4e-09   34.8   0.2    21   139    26   154     8   170 0.75 -
118496at6656_88015_0:0011f9|TRINITY_DN78859_c9_g4_i3:105-614|-     -            170 118496at6656         -            160   6.3e-09   35.0   0.2   1   1   1.4e-11   7.4e-09   34.8   0.2    21   139    26   154     8   170 0.75 -
118496at6656_88015_0:0011f9|TRINITY_DN78859_c9_g4_i2:239-640|-     -            134 118496at6656         -            160   3.1e-06   26.2   0.1   1   1   7.1e-09   3.8e-06   25.9   0.1    20   115    25   129     7   132 0.76 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i1:3760-4251|-    -            164 118496at6656         -            160   1.1e-05   24.5   0.2   1   2   5.4e-07   0.00029   19.8   0.0    64   117    72   127    12   144 0.69 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i1:3760-4251|-    -            164 118496at6656         -            160   1.1e-05   24.5   0.2   2   2     0.074        40    3.1   0.0    21    43   141   163   126   164 0.77 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i4:3760-4251|-    -            164 118496at6656         -            160   1.1e-05   24.5   0.2   1   2   5.4e-07   0.00029   19.8   0.0    64   117    72   127    12   144 0.69 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i4:3760-4251|-    -            164 118496at6656         -            160   1.1e-05   24.5   0.2   2   2     0.074        40    3.1   0.0    21    43   141   163   126   164 0.77 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i6:3760-4251|-    -            164 118496at6656         -            160   1.1e-05   24.5   0.2   1   2   5.4e-07   0.00029   19.8   0.0    64   117    72   127    12   144 0.69 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i6:3760-4251|-    -            164 118496at6656         -            160   1.1e-05   24.5   0.2   2   2     0.074        40    3.1   0.0    21    43   141   163   126   164 0.77 -
118496at6656_29031_0:0005ec|TRINITY_DN93150_c6_g1_i4:1154-1627|+   -            158 118496at6656         -            160   4.2e-05   22.6   0.6   1   1   1.1e-07   5.8e-05   22.1   0.6    34   136    30   138    14   158 0.74 -
118496at6656_29031_0:0005ec|TRINITY_DN93150_c6_g1_i6:1154-1627|+   -            158 118496at6656         -            160   4.2e-05   22.6   0.6   1   1   1.1e-07   5.8e-05   22.1   0.6    34   136    30   138    14   158 0.74 -
118496at6656_29031_0:0005ec|TRINITY_DN93150_c6_g1_i7:1154-1627|+   -            158 118496at6656         -            160   4.2e-05   22.6   0.6   1   1   1.1e-07   5.8e-05   22.1   0.6    34   136    30   138    14   158 0.74 -
118496at6656_29031_0:0005ec|TRINITY_DN93150_c6_g1_i8:1154-1627|+   -            158 118496at6656         -            160   4.2e-05   22.6   0.6   1   1   1.1e-07   5.8e-05   22.1   0.6    34   136    30   138    14   158 0.74 -
118496at6656_326594_0:000584|TRINITY_DN84732_c7_g1_i1:186-626|+    -            147 118496at6656         -            160   5.2e-05   22.3   1.8   1   1   1.2e-07   6.7e-05   21.9   1.8    63   150    58   146     2   147 0.73 -
59197at6656_7230_0:001a26|TRINITY_DN93417_c8_g3_i2:2300-3136|-     -            279 118496at6656         -            160   0.00086   18.3   1.8   1   3    0.0018      0.97    8.4   0.0    90   119     3    32     2    75 0.83 -
59197at6656_7230_0:001a26|TRINITY_DN93417_c8_g3_i2:2300-3136|-     -            279 118496at6656         -            160   0.00086   18.3   1.8   2   3       4.9   2.7e+03   -2.8   0.1   136   152   123   139   121   150 0.69 -
59197at6656_7230_0:001a26|TRINITY_DN93417_c8_g3_i2:2300-3136|-     -            279 118496at6656         -            160   0.00086   18.3   1.8   3   3    0.0019         1    8.3   0.1    82   145   204   269   176   275 0.76 -
59197at6656_7230_0:001a26|TRINITY_DN93417_c8_g3_i4:2311-3147|-     -            279 118496at6656         -            160   0.00086   18.3   1.8   1   3    0.0018      0.97    8.4   0.0    90   119     3    32     2    75 0.83 -
59197at6656_7230_0:001a26|TRINITY_DN93417_c8_g3_i4:2311-3147|-     -            279 118496at6656         -            160   0.00086   18.3   1.8   2   3       4.9   2.7e+03   -2.8   0.1   136   152   123   139   121   150 0.69 -
59197at6656_7230_0:001a26|TRINITY_DN93417_c8_g3_i4:2311-3147|-     -            279 118496at6656         -            160   0.00086   18.3   1.8   3   3    0.0019         1    8.3   0.1    82   145   204   269   176   275 0.76 -
59197at6656_407821_0:0068a3|TRINITY_DN93417_c8_g3_i1:2311-3432|-   -            374 118496at6656         -            160    0.0014   17.6   1.2   1   3    0.0025       1.3    7.9   0.0    90   118    82   110    72   126 0.79 -
59197at6656_407821_0:0068a3|TRINITY_DN93417_c8_g3_i1:2311-3432|-   -            374 118496at6656         -            160    0.0014   17.6   1.2   2   3         8   4.3e+03   -3.5   0.1   136   152   218   234   216   242 0.72 -
