#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68491at6656_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+       -             51 68491at6656          -            382   5.2e-21   74.2   0.1   1   1   1.9e-23   5.5e-21   74.1   0.1   237   284     1    51     1    51 0.89 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+   -            371 68491at6656          -            382   1.7e-14   52.7   4.6   1   1   1.6e-16   4.6e-14   51.3   4.1   138   342    35   249    15   264 0.81 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+    -            459 68491at6656          -            382   4.6e-14   51.3   3.2   1   3       3.3   9.5e+02   -2.4   0.0     5    26    50    71    46    82 0.84 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+    -            459 68491at6656          -            382   4.6e-14   51.3   3.2   2   3   0.00095      0.27    9.3   0.5   240   321    90   172    56   181 0.83 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+    -            459 68491at6656          -            382   4.6e-14   51.3   3.2   3   3   1.6e-16   4.6e-14   51.3   3.2   152   342   128   329   105   355 0.81 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+    -            459 68491at6656          -            382   5.5e-14   51.1   3.2   1   2     0.001      0.29    9.2   0.4   240   321    90   172    55   180 0.83 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+    -            459 68491at6656          -            382   5.5e-14   51.1   3.2   2   2   1.9e-16   5.5e-14   51.1   3.2   154   342   130   329   107   344 0.81 -
93152at6656_7004_0:004f57|TRINITY_DN89800_c11_g2_i6:140-757|+      -            206 68491at6656          -            382   1.2e-06   27.0   0.8   1   2   9.8e-09   2.8e-06   25.7   0.4   277   342     7    73     3    88 0.89 -
93152at6656_7004_0:004f57|TRINITY_DN89800_c11_g2_i6:140-757|+      -            206 68491at6656          -            382   1.2e-06   27.0   0.8   2   2       1.8   5.1e+02   -1.5   0.0   198   236    95   133    74   151 0.73 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-     -            414 68491at6656          -            382   2.7e-06   25.7   4.0   1   3    0.0051       1.4    6.9   0.0   171   235     2    65     1    92 0.86 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-     -            414 68491at6656          -            382   2.7e-06   25.7   4.0   2   3   4.9e-05     0.014   13.5   0.5   246   291   125   170   115   182 0.86 -
