#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87928at6656_294128_0:003b80|TRINITY_DN78516_c9_g1_i1:1607-2704|-   -            366 87928at6656          -            293  1.6e-153  509.1   0.0   1   1  1.3e-154  1.9e-153  508.8   0.0     2   293    37   366    36   366 0.91 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i1:1335-2108|+  -            258 87928at6656          -            293   3.1e-57  193.0   0.0   1   1   2.6e-58     4e-57  192.7   0.0    23   235    29   256    19   257 0.89 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i4:2086-2859|+  -            258 87928at6656          -            293   3.1e-57  193.0   0.0   1   1   2.6e-58     4e-57  192.7   0.0    23   235    29   256    19   257 0.89 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i5:1960-2733|+  -            258 87928at6656          -            293   3.1e-57  193.0   0.0   1   1   2.6e-58     4e-57  192.7   0.0    23   235    29   256    19   257 0.89 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i6:692-1465|+   -            258 87928at6656          -            293   3.1e-57  193.0   0.0   1   1   2.6e-58     4e-57  192.7   0.0    23   235    29   256    19   257 0.89 -
75704at6656_62625_0:000832|TRINITY_DN83370_c10_g1_i2:653-1456|+    -            268 87928at6656          -            293   4.7e-57  192.4   0.0   1   1     4e-58   6.2e-57  192.0   0.0    23   243    37   259    27   265 0.86 -
75704at6656_62625_0:000832|TRINITY_DN83370_c10_g1_i3:653-1531|+    -            293 87928at6656          -            293   1.7e-56  190.6   0.3   1   2       6.3        97    1.0   0.1    23    60    37    73    27    85 0.73 -
75704at6656_62625_0:000832|TRINITY_DN83370_c10_g1_i3:653-1531|+    -            293 87928at6656          -            293   1.7e-56  190.6   0.3   2   2   6.1e-57   9.4e-56  188.2   0.1    46   243    84   284    63   290 0.86 -
87928at6656_7038_0:000241|TRINITY_DN92266_c7_g1_i2:1356-2204|+     -            283 87928at6656          -            293   4.7e-56  189.1   0.0   1   1   3.7e-57   5.7e-56  188.9   0.0    21   250    39   280    30   283 0.88 -
87928at6656_7038_0:000241|TRINITY_DN92266_c7_g1_i5:1356-2204|+     -            283 87928at6656          -            293   4.7e-56  189.1   0.0   1   1   3.7e-57   5.7e-56  188.9   0.0    21   250    39   280    30   283 0.88 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i11:1365-2141|+   -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i12:1384-2160|+   -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i13:1445-2221|+   -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i3:1598-2374|+    -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i4:1659-2435|+    -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
