#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23388at6656_38123_0:002f10|TRINITY_DN91497_c1_g3_i3:1122-1721|+  -            200 23388at6656          -            738   4.9e-70  235.8   2.4   1   1   2.3e-72   1.8e-69  233.9   2.4   227   392     2   200     1   200 0.88 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   1   5   3.3e-44   2.6e-41  140.8   0.0   347   482    10   167     4   172 0.87 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   2   5     0.011       8.5    3.5   0.0   481   518   198   237   197   260 0.81 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   3   5      0.24   1.9e+02   -0.9   0.0   545   566   370   391   348   403 0.84 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   4   5    0.0068       5.4    4.2   0.1   573   633   468   529   442   544 0.73 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   5   5   1.8e-11   1.4e-08   32.6   0.1   659   738   623   734   577   734 0.77 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   1   5   3.3e-44   2.6e-41  140.8   0.0   347   482    10   167     4   172 0.87 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   2   5     0.011       8.5    3.5   0.0   481   518   198   237   197   260 0.81 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   3   5      0.24   1.9e+02   -0.9   0.0   545   566   370   391   348   403 0.84 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   4   5    0.0068       5.4    4.2   0.1   573   633   468   529   442   544 0.73 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+   -            744 23388at6656          -            738   4.1e-55  186.4   3.6   5   5   1.8e-11   1.4e-08   32.6   0.1   659   738   623   734   577   734 0.77 -
