#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
123320at6656_29053_0:000359|TRINITY_DN84092_c8_g1_i1:871-1389|-    -            173 123320at6656         -            142   8.8e-72  238.6   0.0   1   1     9e-74   1.2e-71  238.2   0.0     7   142    27   167    22   167 0.96 -
123320at6656_294128_0:004115|TRINITY_DN72928_c12_g1_i1:144-611|+   -            156 123320at6656         -            142     1e-41  141.1   0.0   1   1   9.4e-44   1.2e-41  140.9   0.0    13   140     5   135     1   139 0.95 -
123320at6656_294128_0:004115|TRINITY_DN72928_c12_g1_i2:144-611|+   -            156 123320at6656         -            142     1e-41  141.1   0.0   1   1   9.4e-44   1.2e-41  140.9   0.0    13   140     5   135     1   139 0.95 -
123320at6656_294128_0:004115|TRINITY_DN72928_c12_g1_i3:144-611|+   -            156 123320at6656         -            142     1e-41  141.1   0.0   1   1   9.4e-44   1.2e-41  140.9   0.0    13   140     5   135     1   139 0.95 -
123320at6656_110193_0:0015de|TRINITY_DN89596_c10_g2_i2:73-525|+    -            151 123320at6656         -            142     4e-38  129.5   0.0   1   1   3.6e-40   4.6e-38  129.3   0.0    13   136     9   135     2   141 0.95 -
123320at6656_62625_0:00207a|TRINITY_DN87195_c16_g1_i2:337-732|+    -            132 123320at6656         -            142   2.7e-36  123.6   0.0   1   1   2.2e-38   2.8e-36  123.5   0.0    14   134     2   125     1   132 0.93 -
123320at6656_62625_0:00207a|TRINITY_DN87195_c16_g1_i3:416-811|+    -            132 123320at6656         -            142   2.7e-36  123.6   0.0   1   1   2.2e-38   2.8e-36  123.5   0.0    14   134     2   125     1   132 0.93 -
123320at6656_62625_0:00207a|TRINITY_DN87195_c16_g1_i4:414-809|+    -            132 123320at6656         -            142   2.7e-36  123.6   0.0   1   1   2.2e-38   2.8e-36  123.5   0.0    14   134     2   125     1   132 0.93 -
123320at6656_62625_0:00207a|TRINITY_DN88669_c11_g1_i1:1251-1649|-  -            133 123320at6656         -            142     4e-36  123.0   0.0   1   1   3.6e-38   4.7e-36  122.8   0.0    14   138     1   128     1   132 0.94 -
123320at6656_62625_0:00207a|TRINITY_DN88669_c11_g1_i2:1251-1637|-  -            129 123320at6656         -            142   1.8e-34  117.6   0.0   1   1   1.6e-36   2.1e-34  117.4   0.0    19   138     2   124     1   128 0.90 -
123320at6656_62625_0:00207a|TRINITY_DN83606_c17_g2_i3:619-987|-    -            123 123320at6656         -            142     9e-33  112.1   0.0   1   1   8.4e-35   1.1e-32  111.9   0.0    35   139     1   108     1   111 0.93 -
123320at6656_286706_0:0006a3|TRINITY_DN86109_c14_g3_i1:91-465|+    -            125 123320at6656         -            142   1.2e-29  102.0   0.0   1   1     1e-31   1.3e-29  101.8   0.0    15   131     1   124     1   125 0.94 -
123320at6656_286706_0:0006a3|TRINITY_DN86109_c14_g3_i2:121-495|+   -            125 123320at6656         -            142   1.2e-29  102.0   0.0   1   1     1e-31   1.3e-29  101.8   0.0    15   131     1   124     1   125 0.94 -
123320at6656_286706_0:0006a3|TRINITY_DN86109_c14_g3_i3:238-612|+   -            125 123320at6656         -            142   1.2e-29  102.0   0.0   1   1     1e-31   1.3e-29  101.8   0.0    15   131     1   124     1   125 0.94 -
123320at6656_286706_0:0006a3|TRINITY_DN86109_c14_g3_i4:158-532|+   -            125 123320at6656         -            142   1.2e-29  102.0   0.0   1   1     1e-31   1.3e-29  101.8   0.0    15   131     1   124     1   125 0.94 -
123320at6656_7539_0:0007b8|TRINITY_DN85843_c12_g1_i1:166-501|+     -            112 123320at6656         -            142     2e-29  101.3   0.0   1   1   1.7e-31   2.2e-29  101.1   0.0    44   136     8   104     1   109 0.90 -
123320at6656_7539_0:0007b8|TRINITY_DN85843_c12_g1_i2:166-501|+     -            112 123320at6656         -            142     2e-29  101.3   0.0   1   1   1.7e-31   2.2e-29  101.1   0.0    44   136     8   104     1   109 0.90 -
123320at6656_7539_0:0007b8|TRINITY_DN85843_c12_g1_i4:166-501|+     -            112 123320at6656         -            142     2e-29  101.3   0.0   1   1   1.7e-31   2.2e-29  101.1   0.0    44   136     8   104     1   109 0.90 -
123320at6656_286706_0:0006a3|TRINITY_DN80761_c14_g1_i1:254-688|-   -            145 123320at6656         -            142   4.9e-28   96.8   0.0   1   1   4.3e-30   5.5e-28   96.6   0.0    11   136     6   134     1   140 0.93 -
123320at6656_108931_0:001c95|TRINITY_DN80514_c14_g1_i1:93-563|-    -            157 123320at6656         -            142     9e-28   95.9   0.0   1   1   6.2e-29   7.9e-27   92.9   0.0    16   140     1   142     1   146 0.85 -
123320at6656_286706_0:0006a3|TRINITY_DN71249_c0_g1_i1:701-1114|-   -            138 123320at6656         -            142   3.3e-27   94.1   0.3   1   1   1.5e-28   1.9e-26   91.6   0.3    14   134     1   138     1   138 0.91 -
123320at6656_315563_0:0013c3|TRINITY_DN82971_c9_g4_i3:962-1300|-   -            113 123320at6656         -            142   2.3e-26   91.3   0.8   1   1   2.9e-27   3.8e-25   87.4   0.8    38   133     1   112     1   113 0.89 -
123320at6656_315563_0:0013c3|TRINITY_DN82971_c9_g4_i4:726-1064|-   -            113 123320at6656         -            142   2.3e-26   91.3   0.8   1   1   2.9e-27   3.8e-25   87.4   0.8    38   133     1   112     1   113 0.89 -
123320at6656_315563_0:0013c3|TRINITY_DN82971_c9_g4_i5:726-1064|-   -            113 123320at6656         -            142   2.3e-26   91.3   0.8   1   1   2.9e-27   3.8e-25   87.4   0.8    38   133     1   112     1   113 0.89 -
123320at6656_315563_0:0013c3|TRINITY_DN82971_c9_g4_i6:962-1300|-   -            113 123320at6656         -            142   2.3e-26   91.3   0.8   1   1   2.9e-27   3.8e-25   87.4   0.8    38   133     1   112     1   113 0.89 -
123320at6656_286706_0:0006a3|TRINITY_DN80761_c14_g1_i3:294-647|-   -            118 123320at6656         -            142     7e-26   89.8   0.0   1   1   5.8e-28   7.4e-26   89.7   0.0    11   120     6   118     1   118 0.94 -
123320at6656_294128_0:004115|TRINITY_DN71249_c0_g1_i2:701-1135|-   -            145 123320at6656         -            142   1.1e-25   89.1   0.4   1   1     5e-27   6.5e-25   86.7   0.4    18   134    12   145     4   145 0.88 -
123320at6656_108931_0:004101|TRINITY_DN81264_c13_g5_i1:509-907|-   -            133 123320at6656         -            142   1.7e-24   85.3   0.0   1   1   1.4e-26   1.8e-24   85.2   0.0    14   137     1   129     1   133 0.89 -
123320at6656_438503_0:001000|TRINITY_DN73884_c16_g1_i2:1419-1823|- -            135 123320at6656         -            142   6.4e-24   83.4   0.0   1   1   5.8e-26   7.5e-24   83.2   0.0    12   123     2   120     1   129 0.89 -
123320at6656_108931_0:001c95|TRINITY_DN79296_c8_g3_i2:580-942|+    -            121 123320at6656         -            142   7.1e-24   83.3   0.0   1   1     6e-26   7.7e-24   83.2   0.0    17   132     2   120     1   121 0.95 -
123320at6656_218467_0:003073|TRINITY_DN86186_c8_g1_i11:206-505|+   -            100 123320at6656         -            142   1.6e-22   78.9   0.0   1   1   1.3e-24   1.7e-22   78.8   0.0    49   137     1    94     1   100 0.90 -
123320at6656_218467_0:003073|TRINITY_DN86186_c8_g1_i12:206-505|+   -            100 123320at6656         -            142   1.6e-22   78.9   0.0   1   1   1.3e-24   1.7e-22   78.8   0.0    49   137     1    94     1   100 0.90 -
123320at6656_218467_0:003073|TRINITY_DN86186_c8_g1_i2:206-505|+    -            100 123320at6656         -            142   1.6e-22   78.9   0.0   1   1   1.3e-24   1.7e-22   78.8   0.0    49   137     1    94     1   100 0.90 -
123320at6656_218467_0:003073|TRINITY_DN86186_c8_g1_i5:206-505|+    -            100 123320at6656         -            142   1.6e-22   78.9   0.0   1   1   1.3e-24   1.7e-22   78.8   0.0    49   137     1    94     1   100 0.90 -
123320at6656_218467_0:003073|TRINITY_DN86186_c8_g1_i9:206-505|+    -            100 123320at6656         -            142   1.6e-22   78.9   0.0   1   1   1.3e-24   1.7e-22   78.8   0.0    49   137     1    94     1   100 0.90 -
123320at6656_108931_0:001c95|TRINITY_DN86195_c6_g2_i2:935-1315|-   -            127 123320at6656         -            142   2.4e-22   78.3   0.0   1   1   1.9e-24   2.5e-22   78.3   0.0    15   135     5   126     1   127 0.86 -
123320at6656_108931_0:001c95|TRINITY_DN86195_c6_g2_i6:458-838|-    -            127 123320at6656         -            142   2.4e-22   78.3   0.0   1   1   1.9e-24   2.5e-22   78.3   0.0    15   135     5   126     1   127 0.86 -
123320at6656_108931_0:004101|TRINITY_DN90546_c6_g1_i1:41-451|-     -            137 123320at6656         -            142   4.3e-22   77.5   0.0   1   1   3.6e-24   4.6e-22   77.4   0.0    11   140     3   136     1   137 0.89 -
123320at6656_108931_0:004101|TRINITY_DN90546_c6_g1_i2:41-451|-     -            137 123320at6656         -            142   4.3e-22   77.5   0.0   1   1   3.6e-24   4.6e-22   77.4   0.0    11   140     3   136     1   137 0.89 -
123320at6656_108931_0:004101|TRINITY_DN90546_c6_g1_i3:41-451|-     -            137 123320at6656         -            142   4.3e-22   77.5   0.0   1   1   3.6e-24   4.6e-22   77.4   0.0    11   140     3   136     1   137 0.89 -
123320at6656_108931_0:004101|TRINITY_DN90546_c6_g1_i4:41-451|-     -            137 123320at6656         -            142   4.3e-22   77.5   0.0   1   1   3.6e-24   4.6e-22   77.4   0.0    11   140     3   136     1   137 0.89 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i11:913-1257|-    -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i1:924-1268|-     -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i2:924-1268|-     -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
