#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 132857at6656         -            201   2.1e-69  231.9   4.8   1   1   2.6e-71   2.9e-69  231.4   4.8     1   201     9   240     9   240 0.88 -
56523at6656_116153_0:001d7a|TRINITY_DN91669_c1_g1_i2:785-2266|+     -            494 132857at6656         -            201   2.5e-33  114.0  27.2   1   3   9.6e-16   1.1e-13   50.0  10.3    21   153    18   174    17   176 0.81 -
56523at6656_116153_0:001d7a|TRINITY_DN91669_c1_g1_i2:785-2266|+     -            494 132857at6656         -            201   2.5e-33  114.0  27.2   2   3     2e-11   2.2e-09   35.9   5.0    44   168   139   279   138   282 0.74 -
56523at6656_116153_0:001d7a|TRINITY_DN91669_c1_g1_i2:785-2266|+     -            494 132857at6656         -            201   2.5e-33  114.0  27.2   3   3   6.7e-14   7.4e-12   44.0   1.7    27   147   347   493   323   494 0.79 -
56523at6656_116153_0:001d7a|TRINITY_DN91669_c1_g1_i3:439-1920|+     -            494 132857at6656         -            201   2.5e-33  114.0  27.2   1   3   9.6e-16   1.1e-13   50.0  10.3    21   153    18   174    17   176 0.81 -
56523at6656_116153_0:001d7a|TRINITY_DN91669_c1_g1_i3:439-1920|+     -            494 132857at6656         -            201   2.5e-33  114.0  27.2   2   3     2e-11   2.2e-09   35.9   5.0    44   168   139   279   138   282 0.74 -
56523at6656_116153_0:001d7a|TRINITY_DN91669_c1_g1_i3:439-1920|+     -            494 132857at6656         -            201   2.5e-33  114.0  27.2   3   3   6.7e-14   7.4e-12   44.0   1.7    27   147   347   493   323   494 0.79 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-    -            562 132857at6656         -            201   4.3e-31  106.8  32.3   1   5   3.5e-12   3.9e-10   38.4   5.6    30   151    86   208    68   213 0.81 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-    -            562 132857at6656         -            201   4.3e-31  106.8  32.3   2   5   2.8e-07   3.1e-05   22.4   1.4    96   151   192   254   171   266 0.83 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-    -            562 132857at6656         -            201   4.3e-31  106.8  32.3   3   5   4.3e-12   4.8e-10   38.1   2.4    22   151   216   372   213   374 0.77 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-    -            562 132857at6656         -            201   4.3e-31  106.8  32.3   4   5   3.6e-12     4e-10   38.3   6.4    23   152   334   488   333   494 0.79 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-    -            562 132857at6656         -            201   4.3e-31  106.8  32.3   5   5     2e-06   0.00023   19.5   1.0    69   162   442   543   440   557 0.80 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   1.2e-30  105.3  32.3   1   5   4.2e-12   4.6e-10   38.1   5.5    30   151   165   287   147   292 0.81 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   1.2e-30  105.3  32.3   2   5   1.4e-06   0.00016   20.0   1.2    98   151   273   333   273   340 0.85 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   1.2e-30  105.3  32.3   3   5   7.6e-12   8.4e-10   37.3   2.6    22   151   295   451   292   452 0.77 -
