#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
147322at6656_294128_0:004407|TRINITY_DN84243_c6_g1_i1:561-1085|-  -            175 147322at6656         -            149   4.3e-60  201.0   0.8   1   1   5.6e-63   8.2e-60  200.1   0.8     1   149    10   174    10   174 0.91 -
147322at6656_378494_0:004e2e|TRINITY_DN84243_c6_g2_i1:1-120|-     -             40 147322at6656         -            149   3.2e-17   61.9   2.6   1   1   2.3e-20   3.3e-17   61.9   2.6   103   141     2    40     1    40 0.98 -
147322at6656_7070_0:001bff|TRINITY_DN92206_c8_g2_i3:776-1084|-    -            103 147322at6656         -            149   4.1e-06   25.9   0.5   1   1   3.3e-09   4.9e-06   25.6   0.5    46   128    19   103     1   103 0.71 -
141298at6656_294128_0:0022a6|TRINITY_DN78176_c9_g1_i2:69-686|+    -            206 147322at6656         -            149     0.012   14.6   4.6   1   1   1.3e-05      0.02   13.9   4.6    45   141    80   189    68   194 0.67 -
141298at6656_294128_0:0022a6|TRINITY_DN78176_c9_g1_i3:69-686|+    -            206 147322at6656         -            149     0.012   14.6   4.6   1   1   1.3e-05      0.02   13.9   4.6    45   141    80   189    68   194 0.67 -
135203at6656_1049336_0:00121a|TRINITY_DN92354_c10_g1_i5:236-826|+ -            197 147322at6656         -            149      0.38    9.8   4.8   1   3      0.88   1.3e+03   -1.7   0.0   113   122    31    40    22    50 0.55 -
135203at6656_1049336_0:00121a|TRINITY_DN92354_c10_g1_i5:236-826|+ -            197 147322at6656         -            149      0.38    9.8   4.8   2   3      0.21   3.1e+02    0.3   0.0    51    74    87   110    67   118 0.69 -
135203at6656_1049336_0:00121a|TRINITY_DN92354_c10_g1_i5:236-826|+ -            197 147322at6656         -            149      0.38    9.8   4.8   3   3   0.00018      0.26   10.3   1.9   102   141   108   147    90   154 0.82 -
135203at6656_1049336_0:00121a|TRINITY_DN92354_c10_g1_i2:58-573|+  -            172 147322at6656         -            149      0.69    8.9   5.9   1   3       1.1   1.6e+03   -2.0   0.1   111   119     8    16     2    25 0.51 -
135203at6656_1049336_0:00121a|TRINITY_DN92354_c10_g1_i2:58-573|+  -            172 147322at6656         -            149      0.69    8.9   5.9   2   3      0.11   1.7e+02    1.2   0.1    50    83    61    93    35    95 0.73 -
135203at6656_1049336_0:00121a|TRINITY_DN92354_c10_g1_i2:58-573|+  -            172 147322at6656         -            149      0.69    8.9   5.9   3   3   0.00017      0.25   10.3   2.3   102   141    83   122    61   129 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/147322at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/147322at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/147322at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:47 2026
# [ok]
