#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107353at6656_7029_0:000a00|TRINITY_DN71187_c0_g1_i1:1320-1958|-    -            213 107353at6656         -            205   4.3e-11   42.2   1.5   1   1   3.1e-13   2.4e-10   39.7   1.5     2   169     7   212     6   213 0.72 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i1:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   1   2     0.027        21    4.0   0.0     2    24     9    32     8    35 0.73 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i1:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   2   2   1.2e-10   9.4e-08   31.3   0.7    41   154   100   233    88   265 0.74 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i2:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   1   2     0.027        21    4.0   0.0     2    24     9    32     8    35 0.73 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i2:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   2   2   1.2e-10   9.4e-08   31.3   0.7    41   154   100   233    88   265 0.74 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i3:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   1   2     0.027        21    4.0   0.0     2    24     9    32     8    35 0.73 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i3:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   2   2   1.2e-10   9.4e-08   31.3   0.7    41   154   100   233    88   265 0.74 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i5:1078-1914|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   1   2     0.027        21    4.0   0.0     2    24     9    32     8    35 0.73 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i5:1078-1914|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   2   2   1.2e-10   9.4e-08   31.3   0.7    41   154   100   233    88   265 0.74 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i6:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   1   2     0.027        21    4.0   0.0     2    24     9    32     8    35 0.73 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i6:1111-1947|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   2   2   1.2e-10   9.4e-08   31.3   0.7    41   154   100   233    88   265 0.74 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i7:1078-1914|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   1   2     0.027        21    4.0   0.0     2    24     9    32     8    35 0.73 -
107353at6656_34740_0:003f03|TRINITY_DN88129_c11_g1_i7:1078-1914|-  -            279 107353at6656         -            205   1.6e-09   37.1   1.9   2   2   1.2e-10   9.4e-08   31.3   0.7    41   154   100   233    88   265 0.74 -
107353at6656_438502_0:0031ca|TRINITY_DN88129_c11_g1_i4:1108-1725|- -            206 107353at6656         -            205   1.8e-08   33.6   1.0   1   1     6e-11   4.7e-08   32.2   1.0    41   154    26   159    14   192 0.73 -
107353at6656_51655_0:0020b5|TRINITY_DN90466_c14_g1_i5:1977-2873|-  -            299 107353at6656         -            205   2.6e-07   29.8   3.3   1   2   7.3e-06    0.0058   15.6   1.3     2    85     4   112     3   131 0.65 -
