#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
61577at6656_123851_0:001293|TRINITY_DN91692_c18_g3_i1:34-210|+   -             59 61577at6656          -            458   7.8e-25   86.7   0.3   1   1   1.4e-27   8.3e-25   86.6   0.3     9    66     1    58     1    59 0.98 -
85103at6656_136037_0:00241c|TRINITY_DN76961_c10_g3_i2:95-817|+   -            241 61577at6656          -            458   4.9e-12   44.5   8.4   1   4   1.5e-09   8.9e-07   27.2   0.1     3    58    16    74    14    80 0.85 -
85103at6656_136037_0:00241c|TRINITY_DN76961_c10_g3_i2:95-817|+   -            241 61577at6656          -            458   4.9e-12   44.5   8.4   2   4   5.2e-05     0.031   12.2   0.8   187   243    83   140    74   147 0.84 -
85103at6656_136037_0:00241c|TRINITY_DN76961_c10_g3_i2:95-817|+   -            241 61577at6656          -            458   4.9e-12   44.5   8.4   3   4    0.0031       1.9    6.3   0.0   184   240   132   189   126   197 0.79 -
85103at6656_136037_0:00241c|TRINITY_DN76961_c10_g3_i2:95-817|+   -            241 61577at6656          -            458   4.9e-12   44.5   8.4   4   4     0.025        15    3.4   0.1   180   213   206   239   202   241 0.87 -
85103at6656_69004_0:001010|TRINITY_DN76989_c9_g1_i1:2062-2913|-  -            284 61577at6656          -            458   1.2e-09   36.6   8.1   1   2   1.7e-10     1e-07   30.3   1.6     3   109    28   157    26   165 0.66 -
85103at6656_69004_0:001010|TRINITY_DN76989_c9_g1_i1:2062-2913|-  -            284 61577at6656          -            458   1.2e-09   36.6   8.1   2   2    0.0057       3.5    5.5   0.6   184   287   168   280   163   283 0.78 -
85103at6656_69004_0:001010|TRINITY_DN76989_c9_g1_i2:101-952|-    -            284 61577at6656          -            458   1.2e-09   36.6   8.1   1   2   1.7e-10     1e-07   30.3   1.6     3   109    28   157    26   165 0.66 -
85103at6656_69004_0:001010|TRINITY_DN76989_c9_g1_i2:101-952|-    -            284 61577at6656          -            458   1.2e-09   36.6   8.1   2   2    0.0057       3.5    5.5   0.6   184   287   168   280   163   283 0.78 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i1:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   1   5   1.8e-07   0.00011   20.3   0.0     2    46     1    46     1   125 0.83 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i1:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   2   5      0.02        12    3.7   0.2   185   219   142   176   137   191 0.90 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i1:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   3   5      0.22   1.3e+02    0.3   0.0    67   222   190   230   176   245 0.55 -
