#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63193at6656_178035_0:001334|TRINITY_DN77971_c23_g1_i2:0-635|+      -            212 63193at6656          -            327   4.8e-77  258.4   0.0   1   1   8.5e-79   1.9e-76  256.4   0.0   152   327     3   210     1   210 0.90 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 63193at6656          -            327   1.4e-67  227.3   0.2   1   2     2e-35   4.4e-33  113.9   0.0    15   185    12   201     1   203 0.83 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 63193at6656          -            327   1.4e-67  227.3   0.2   2   2   6.2e-37   1.4e-34  118.9   0.1     3   169   103   295   101   297 0.78 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i4:108-998|+     -            297 63193at6656          -            327   1.4e-67  227.3   0.2   1   2     2e-35   4.4e-33  113.9   0.0    15   185    12   201     1   203 0.83 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i4:108-998|+     -            297 63193at6656          -            327   1.4e-67  227.3   0.2   2   2   6.2e-37   1.4e-34  118.9   0.1     3   169   103   295   101   297 0.78 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i2:673-1659|-     -            329 63193at6656          -            327   1.2e-57  194.7   3.0   1   3   7.9e-24   1.8e-21   75.8   0.0    94   187     2   106     1   119 0.79 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i2:673-1659|-     -            329 63193at6656          -            327   1.2e-57  194.7   3.0   2   3   8.8e-24     2e-21   75.6   0.3    92   187   124   229   116   240 0.82 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i2:673-1659|-     -            329 63193at6656          -            327   1.2e-57  194.7   3.0   3   3   9.5e-14   2.1e-11   42.7   0.0    97   163   259   329   249   329 0.66 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 63193at6656          -            327   1.2e-57  194.7   3.0   1   3   7.9e-24   1.8e-21   75.8   0.0    94   187     2   106     1   119 0.79 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 63193at6656          -            327   1.2e-57  194.7   3.0   2   3   8.8e-24     2e-21   75.6   0.3    92   187   124   229   116   240 0.82 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 63193at6656          -            327   1.2e-57  194.7   3.0   3   3   9.5e-14   2.1e-11   42.7   0.0    97   163   259   329   249   329 0.66 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 63193at6656          -            327   4.4e-54  183.0   1.4   1   3   2.8e-17   6.2e-15   54.3   0.0    96   175     3    88     1   115 0.77 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 63193at6656          -            327   4.4e-54  183.0   1.4   2   3   7.6e-22   1.7e-19   69.3   0.1    88   188   120   229   110   242 0.80 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 63193at6656          -            327   4.4e-54  183.0   1.4   3   3   2.7e-18   6.1e-16   57.6   0.0    95   184   250   350   235   351 0.82 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i2:662-1351|+     -            230 63193at6656          -            327   1.2e-37  128.9   0.6   1   2     1e-21   2.3e-19   68.8   0.1    94   188     5   108     1   118 0.80 -
