#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135676at6656_294128_0:003fc3|TRINITY_DN74178_c15_g1_i2:186-566|+   -            127 135676at6656         -             88   1.1e-34  117.4   0.1   1   1   6.4e-37   1.4e-34  117.0   0.1     1    87    22   116    22   117 0.91 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 135676at6656         -             88   2.2e-26   90.7   0.0   1   3   2.7e-08   5.9e-06   25.2   0.0    11    68    16    78     6    88 0.81 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 135676at6656         -             88   2.2e-26   90.7   0.0   2   3   1.9e-10   4.1e-08   32.1   0.0    15    81   145   215   133   222 0.84 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 135676at6656         -             88   2.2e-26   90.7   0.0   3   3   1.2e-09   2.5e-07   29.6   0.0     9    73   262   331   253   347 0.74 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 135676at6656         -             88   5.2e-23   79.9   0.0   1   3   3.3e-09   7.1e-07   28.2   0.0    15    87    17    90    11    91 0.90 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 135676at6656         -             88   5.2e-23   79.9   0.0   2   3   1.5e-08   3.3e-06   26.1   0.0    12    71   122   184   113   192 0.86 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 135676at6656         -             88   5.2e-23   79.9   0.0   3   3   2.9e-07   6.2e-05   22.0   0.0    14    62   237   286   225   295 0.80 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i4:108-998|+     -            297 135676at6656         -             88   5.2e-23   79.9   0.0   1   3   3.3e-09   7.1e-07   28.2   0.0    15    87    17    90    11    91 0.90 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i4:108-998|+     -            297 135676at6656         -             88   5.2e-23   79.9   0.0   2   3   1.5e-08   3.3e-06   26.1   0.0    12    71   122   184   113   192 0.86 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i4:108-998|+     -            297 135676at6656         -             88   5.2e-23   79.9   0.0   3   3   2.9e-07   6.2e-05   22.0   0.0    14    62   237   286   225   295 0.80 -
135676at6656_126957_0:001477|TRINITY_DN74688_c9_g5_i1:1156-1515|-  -            120 135676at6656         -             88   1.8e-21   75.0   0.1   1   1   1.1e-23   2.4e-21   74.5   0.1     2    86    17   109    16   111 0.90 -
135676at6656_64838_0:0006e4|TRINITY_DN75194_c5_g3_i3:5-205|-       -             67 135676at6656         -             88   3.7e-19   67.6   0.3   1   1   1.8e-21   3.9e-19   67.5   0.3    14    77     1    65     1    67 0.93 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i2:662-1351|+     -            230 135676at6656         -             88   1.2e-18   65.9   0.0   1   2   8.3e-11   1.8e-08   33.3   0.0    15    81    24    94    11   101 0.83 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i2:662-1351|+     -            230 135676at6656         -             88   1.2e-18   65.9   0.0   2   2     5e-10   1.1e-07   30.8   0.0     9    73   141   210   131   226 0.74 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i3:439-1128|+     -            230 135676at6656         -             88   1.2e-18   65.9   0.0   1   2   8.3e-11   1.8e-08   33.3   0.0    15    81    24    94    11   101 0.83 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i3:439-1128|+     -            230 135676at6656         -             88   1.2e-18   65.9   0.0   2   2     5e-10   1.1e-07   30.8   0.0     9    73   141   210   131   226 0.74 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i2:673-1659|-     -            329 135676at6656         -             88   2.6e-18   64.8   0.0   1   3   2.3e-08     5e-06   25.5   0.0    11    87    18    99    11   100 0.77 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i2:673-1659|-     -            329 135676at6656         -             88   2.6e-18   64.8   0.0   2   3   4.7e-07    0.0001   21.3   0.1    10    66   141   200   131   207 0.84 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i2:673-1659|-     -            329 135676at6656         -             88   2.6e-18   64.8   0.0   3   3   7.3e-05     0.016   14.2   0.0    10    62   270   326   263   328 0.74 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 135676at6656         -             88   2.6e-18   64.8   0.0   1   3   2.3e-08     5e-06   25.5   0.0    11    87    18    99    11   100 0.77 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 135676at6656         -             88   2.6e-18   64.8   0.0   2   3   4.7e-07    0.0001   21.3   0.1    10    66   141   200   131   207 0.84 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 135676at6656         -             88   2.6e-18   64.8   0.0   3   3   7.3e-05     0.016   14.2   0.0    10    62   270   326   263   328 0.74 -
135676at6656_64838_0:0006e4|TRINITY_DN75194_c5_g3_i1:5-202|-       -             66 135676at6656         -             88   3.9e-18   64.3   0.4   1   1   1.9e-20   4.2e-18   64.2   0.4    15    77     1    64     1    66 0.92 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c10_g2_i1:20-223|-     -             68 135676at6656         -             88   5.5e-10   38.1   0.0   1   1     3e-12   6.5e-10   37.9   0.0    12    68     5    65     2    67 0.83 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c10_g2_i2:7-210|-      -             68 135676at6656         -             88   6.3e-10   38.0   0.0   1   1   3.4e-12   7.3e-10   37.8   0.0    12    68     5    65     2    67 0.86 -
63193at6656_104452_0:000511|TRINITY_DN83493_c3_g1_i6:31-336|+      -            102 135676at6656         -             88   2.5e-09   36.0   0.0   1   1   1.5e-11   3.2e-09   35.7   0.0    12    76    18    88     3    99 0.75 -
63193at6656_104452_0:000511|TRINITY_DN83493_c3_g1_i1:104-409|+     -            102 135676at6656         -             88   2.7e-09   36.0   0.0   1   1   1.6e-11   3.4e-09   35.6   0.0    12    76    18    88     4    99 0.75 -
63193at6656_104452_0:000511|TRINITY_DN83493_c3_g1_i5:48-353|+      -            102 135676at6656         -             88   2.7e-09   36.0   0.0   1   1   1.6e-11   3.4e-09   35.6   0.0    12    76    18    88     4    99 0.75 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i2:133-438|+     -            102 135676at6656         -             88   8.4e-09   34.3   0.0   1   1   4.8e-11     1e-08   34.1   0.0    14    81    17    86    11    93 0.87 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i4:133-438|+     -            102 135676at6656         -             88   8.4e-09   34.3   0.0   1   1   4.8e-11     1e-08   34.1   0.0    14    81    17    86    11    93 0.87 -
63193at6656_168631_0:002082|TRINITY_DN88056_c14_g3_i2:600-1019|-   -            140 135676at6656         -             88   8.6e-09   34.3   0.0   1   1   5.9e-11   1.3e-08   33.8   0.0    14    86    17    91     5    93 0.82 -
63193at6656_74869_0:000da1|TRINITY_DN83493_c3_g1_i3:101-610|+      -            170 135676at6656         -             88   9.9e-09   34.1   0.0   1   1   7.3e-11   1.6e-08   33.5   0.0    12    75    19    88     5   100 0.75 -
63193at6656_168631_0:002082|TRINITY_DN83493_c3_g2_i2:247-540|+     -             98 135676at6656         -             88   2.5e-08   32.9   0.0   1   1   1.2e-10   2.7e-08   32.7   0.0    11    71    16    77     3    94 0.81 -
63193at6656_168631_0:002082|TRINITY_DN83493_c3_g2_i4:246-539|+     -             98 135676at6656         -             88   2.5e-08   32.9   0.0   1   1   1.2e-10   2.7e-08   32.7   0.0    11    71    16    77     3    94 0.81 -
135676at6656_1049336_0:004c49|TRINITY_DN89501_c6_g5_i1:3317-3622|- -            102 135676at6656         -             88   4.5e-08   32.0   0.0   1   1   3.4e-10   7.3e-08   31.3   0.0    10    78    11    87     3    95 0.83 -
135676at6656_1049336_0:004c49|TRINITY_DN89501_c6_g5_i2:3091-3396|- -            102 135676at6656         -             88   4.5e-08   32.0   0.0   1   1   3.4e-10   7.3e-08   31.3   0.0    10    78    11    87     3    95 0.83 -
63193at6656_438502_0:000276|TRINITY_DN85454_c9_g1_i5:115-1032|+    -            306 135676at6656         -             88   6.6e-08   31.5   0.0   1   1   6.7e-10   1.4e-07   30.4   0.0    15    81    24    92    18    99 0.87 -
63193at6656_438502_0:000276|TRINITY_DN85454_c9_g1_i6:115-1032|+    -            306 135676at6656         -             88   6.6e-08   31.5   0.0   1   1   6.7e-10   1.4e-07   30.4   0.0    15    81    24    92    18    99 0.87 -
63193at6656_438502_0:000276|TRINITY_DN85454_c9_g1_i8:115-1032|+    -            306 135676at6656         -             88   6.6e-08   31.5   0.0   1   1   6.7e-10   1.4e-07   30.4   0.0    15    81    24    92    18    99 0.87 -
63193at6656_286306_0:0036dd|TRINITY_DN88056_c14_g3_i1:311-541|-    -             77 135676at6656         -             88   1.2e-07   30.6   0.0   1   1   6.3e-10   1.3e-07   30.5   0.0    14    67    21    76     8    77 0.86 -
