#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89713at6656_294128_0:002b89|TRINITY_DN74774_c12_g2_i2:109-1770|- -            554 89713at6656          -            231  4.3e-103  343.0   1.2   1   1  8.9e-106    1e-102  341.7   1.2     1   231     1   281     1   281 0.89 -
89713at6656_7176_0:0002a3|TRINITY_DN86329_c7_g1_i2:660-1250|-    -            197 89713at6656          -            231     3e-11   42.4   0.1   1   1     1e-11   1.1e-08   34.0   0.1   120   226    65   196     1   197 0.74 -
89713at6656_516756_0:000916|TRINITY_DN86329_c7_g1_i1:649-1500|-  -            284 89713at6656          -            231   1.1e-10   40.6   0.1   1   1   2.7e-11   3.1e-08   32.6   0.1   121   226    66   196     1   199 0.76 -
89713at6656_516756_0:000916|TRINITY_DN86329_c7_g1_i3:649-1500|-  -            284 89713at6656          -            231   1.1e-10   40.6   0.1   1   1   2.7e-11   3.1e-08   32.6   0.1   121   226    66   196     1   199 0.76 -
101767at6656_126957_0:000b75|TRINITY_DN74568_c4_g1_i1:469-1941|+ -            491 89713at6656          -            231   3.5e-09   35.7   0.2   1   1     1e-10   1.2e-07   30.7   0.2   124   226   302   429   287   431 0.79 -
101767at6656_126957_0:000b75|TRINITY_DN74568_c4_g1_i2:258-1730|+ -            491 89713at6656          -            231   3.5e-09   35.7   0.2   1   1     1e-10   1.2e-07   30.7   0.2   124   226   302   429   287   431 0.79 -
101767at6656_126957_0:000b75|TRINITY_DN74568_c4_g1_i5:469-1941|+ -            491 89713at6656          -            231   3.5e-09   35.7   0.2   1   1     1e-10   1.2e-07   30.7   0.2   124   226   302   429   287   431 0.79 -
101767at6656_126957_0:000b75|TRINITY_DN74568_c4_g1_i7:469-1941|+ -            491 89713at6656          -            231   3.5e-09   35.7   0.2   1   1     1e-10   1.2e-07   30.7   0.2   124   226   302   429   287   431 0.79 -
101767at6656_126957_0:000b75|TRINITY_DN74568_c4_g1_i4:468-1667|+ -            400 89713at6656          -            231    0.0021   16.8   0.3   1   1     3e-05     0.034   12.8   0.3   124   163   302   341   287   392 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/89713at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/89713at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/89713at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:55 2026
# [ok]
