#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
125210at6656_211228_0:000329|TRINITY_DN77741_c9_g2_i1:155-652|-    -            166 125210at6656         -            136   9.2e-74  244.9   0.1   1   1   1.1e-76   1.3e-73  244.4   0.1     1   135     6   158     6   159 0.92 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i1:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i2:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i4:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i5:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i6:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i7:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i8:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i9:2112-2360|- -             83 125210at6656         -            136    0.0016   17.5   0.0   1   1   1.7e-06    0.0019   17.2   0.0    57    95    15    57     8    71 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/125210at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/125210at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/125210at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:45 2026
# [ok]
