#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 96592at6656          -            260  2.1e-118  393.7   4.3   1   1  1.4e-116  4.2e-115  382.9   4.3     1   260     1   321     1   321 0.87 -
96592at6656_168631_0:0016fb|TRINITY_DN71446_c0_g2_i1:5-415|+      -            137 96592at6656          -            260   3.9e-44  150.3   0.2   1   1   2.7e-44   7.8e-43  146.1   0.2   114   225     1   137     1   137 0.88 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260   6.8e-25   87.3   3.8   1   4   2.4e-12   7.1e-11   41.3   0.3     3    91     9   102     7   120 0.75 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260   6.8e-25   87.3   3.8   2   4     0.015      0.45    9.2   0.0     3    42   138   177   136   205 0.79 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260   6.8e-25   87.3   3.8   3   4       8.7   2.5e+02    0.2   0.0   227   245   226   244   221   256 0.82 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260   6.8e-25   87.3   3.8   4   4   9.6e-10   2.8e-08   32.8   0.1   215   251   256   292   244   301 0.87 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+   -            298 96592at6656          -            260   7.1e-23   80.7   5.9   1   5   1.4e-10     4e-09   35.6   0.9    15    89     4    80     1    95 0.74 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+   -            298 96592at6656          -            260   7.1e-23   80.7   5.9   2   5     0.071       2.1    7.0   0.1    23    70    54   103    45   118 0.78 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+   -            298 96592at6656          -            260   7.1e-23   80.7   5.9   3   5     0.014      0.42    9.3   0.0     3    42   118   157   116   183 0.79 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+   -            298 96592at6656          -            260   7.1e-23   80.7   5.9   4   5         8   2.3e+02    0.3   0.0   227   245   206   224   201   236 0.82 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+   -            298 96592at6656          -            260   7.1e-23   80.7   5.9   5   5   8.7e-10   2.6e-08   32.9   0.1   215   251   236   272   224   281 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
