10_S10	11_S11	12_S12	1_S1	2_S2	3_S3	4_S4	5_S5	6_S6	7_S7	8_S8	9_S9
TRINITY_DN89422_c5_g2_i2	-0.779971219300303	-0.534761602328575	-0.725684595527462	-0.828002297016276	-0.421343215536754	-1.35594879756575	0.982378970514255	1.11614658214949	1.19225814213061	1.2755121652553	0.688978712323817	-0.609562845098355
TRINITY_DN88709_c6_g1_i2	-0.145556259628044	-0.145556259628044	-0.145556259628044	-0.145556259628044	-0.145556259628044	-0.145556259628044	0.174061674572117	-0.145556259628044	0.31177536585697	0.32745130828813	0.351161728307133	-0.145556259628044
TRINITY_DN82695_c4_g1_i7	2.46246041528604	3.26216748785014	0.543016013761543	-0.591666692828847	1.58963228618199	2.34021472922266	-2.3154738236395	-2.26383024542931	-2.23824831181367	-2.81145497078514	-2.58999206113659	2.61317517333068
TRINITY_DN76587_c14_g3_i1	0.803231275272466	1.25657266272795	0.376501451420661	-0.070878471601616	1.70277109349325	0.580011960659447	-0.856753666248769	-1.11992437469884	-1.36056077012182	-0.987187140779517	-1.57925376516668	1.25546974504345
TRINITY_DN92758_c8_g2_i7	0.325999808023315	0.476212957019291	0.0724152088442096	-0.197673954523535	-0.0303228967450487	0.360467056287118	-0.18105433295405	-0.296107913594877	-0.312722627445774	-0.230183104729135	-0.308550976228116	0.321520776046601
TRINITY_DN87099_c12_g1_i3	-0.127947661845926	-0.215522309586102	-0.224101294474885	-0.640095171011748	-0.817694100339481	-0.817694100339481	0.925605427548775	0.377023362554118	0.375762265410104	-0.111937318289684	0.151686664602127	1.12491423577218
TRINITY_DN80672_c0_g1_i5	-1.33858989902235	-0.655847897605825	-1.17221515139508	-0.526409477792693	-0.461396903646802	-0.962818801464928	0.9893146152105	1.10326513133599	1.43167464044921	1.18845271049103	0.680156644253332	-0.275585610812396
TRINITY_DN86840_c3_g1_i1	-0.523941143727605	-0.826303218472276	-0.474449014726188	-2.33770974974463	-2.27700217796571	-1.14990083119364	1.18962631227666	2.10986397098543	1.89518720409123	1.52560081417677	0.840206516156021	0.0288213181439385
TRINITY_DN87542_c6_g1_i4	-0.169121727614613	0.416802249343988	-0.113926073372488	-0.169121727614613	-0.169121727614613	-0.169121727614613	0.150496206585548	0.15396006188912	-0.0056229953317333	-0.0836970713619352	0.327596260320564	-0.169121727614613
TRINITY_DN92211_c1_g5_i5	0.262097050333424	-0.285846260956926	0.467758275323069	-0.285846260956926	-0.285846260956926	-0.285846260956926	-0.0192096184429364	0.288497492963087	0.208825350690624	0.136386739726122	0.0848760141912412	-0.285846260956926
TRINITY_DN91002_c4_g1_i2	1.2675511360356	0.971383663903812	0.360625604537194	-0.431352239886649	1.02857421498973	-0.889990140950877	-0.455138492751015	-0.301291699322276	-0.643047379911266	-0.859148969880835	-0.751013727802067	0.702848031038648
TRINITY_DN88274_c1_g1_i1	-1.67358025067234	-0.70107086751838	-0.779582872726151	0.0824380949028685	-0.308259202080593	-0.804528347352378	0.811762383154183	0.768574700623192	1.25652409492724	1.02442101993472	0.795231868203609	-0.471930621395963
TRINITY_DN84821_c0_g1_i3	-1.81395417027627	-0.664266738436964	-1.33136335836414	-0.347712043713523	-0.823904710491043	-0.552644140768193	1.12382698562382	1.49998490072961	1.69374174125261	1.29226163760399	0.606286351458349	-0.682256454618249
TRINITY_DN74388_c9_g1_i1	-0.936342808425382	-0.573654750953281	-0.888648944028942	-1.10312992979099	-0.456336510811586	-0.750927521078304	0.711528646201964	0.959557215560081	1.41993096149712	1.2742198077702	0.815447597658557	-0.471643763599435
TRINITY_DN86954_c7_g2_i3	-1.05309723868422	-0.457691954988201	-1.07000814341246	-1.69132667773189	-0.738803283409229	-0.350104379681496	1.01963227132878	0.828489182849378	1.63866788001016	1.70158967689686	0.606127836409741	-0.433475169587425
TRINITY_DN74306_c1_g1_i2	-1.59577914991984	-0.441798688321041	-0.896685534366514	-0.255926611984727	0.0918715797332528	-0.683178990724416	0.631487834896991	1.12328033328597	0.650456515997874	1.4327177107942	0.670033215609562	-0.726478215001315
TRINITY_DN90695_c12_g1_i6	0.878606723206926	1.45764217714161	-0.248929770683415	-0.468909276257357	1.51699653357066	1.15119868926425	-0.618734792836798	-0.943068540638128	-0.990733337073868	-1.09106443820571	-1.63348484417749	0.990480876689317
TRINITY_DN85820_c0_g1_i9	-1.61851775566362	-1.25630080911598	-1.27867819073626	-0.524015089589978	-0.841699985770271	-0.768562369673259	1.28714200827942	1.40601705221925	1.68612075632082	1.26459613113129	1.23359535165286	-0.589697099054287
TRINITY_DN93024_c5_g1_i3	-0.692068787910891	-0.684249283451592	-0.834808960026974	-0.782393065875835	-0.676471932859873	-0.834808960026974	1.82168741052652	0.792330910938577	0.223853879351586	1.24038135412825	1.00555355863146	-0.579006123424256
TRINITY_DN84821_c0_g1_i10	-1.36422628828071	-0.393250929071856	-1.1504567367322	-0.237160095670092	-0.470807892163161	-2.77619479864085	1.04071204944316	1.57154171520494	1.63929347240885	1.20875905274449	0.778762353691701	0.153028097065728
TRINITY_DN93681_c4_g1_i6	-0.489932668206483	-0.925305631877699	-0.740842606925566	-1.38221588983576	-0.443504714123513	-1.06063508919935	0.801570984882392	1.1531615061357	1.46214378910708	1.07888788482558	1.19491219714048	-0.648239761922865
TRINITY_DN83438_c11_g2_i3	-0.708894204220095	-0.26809167562296	-0.558027538593467	-0.696712147174728	-0.423604019327826	-0.973852320315253	0.584974965560957	0.527164910300855	1.13919979140524	0.965294855240125	0.473501653195761	-0.0609542704486119
TRINITY_DN90630_c9_g1_i2	-0.24042086159034	-0.46692939139902	-0.46692939139902	-0.0685790210530552	-0.46692939139902	0.295206778502092	0.536672845281176	0.0123011698073162	0.21204391645515	0.785849560129164	0.334643178064578	-0.46692939139902
TRINITY_DN76399_c10_g1_i2	-0.623045987793156	-0.918818812814356	-0.686158056024081	-0.707648188773469	-0.890369530589063	-2.15760567240147	1.38811563872892	1.37096564646929	1.53660593536642	1.37246506982361	0.99749588572423	-0.682001927716873
